name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,business_status,has_website,search_term,vertical,scraped_at,place_id
Midtown Auto Service & Repair,"4510 Almeda Rd, Houston, TX 77004, USA",Houston,TX,(713) 523-2886,http://midtownautoservice.net/,4.8,529,"car_repair, store, service, point_of_interest, establishment",Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=1404312565902727185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951255,ChIJTY4WtnW_QIYREdg_nNYefRM
RMS Auto Care,"1759 Westheimer Rd, Houston, TX 77098, USA",Houston,TX,(713) 529-5855,https://rmsautocare.com/,4.8,1170,"car_repair, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: Closed,https://maps.google.com/?cid=12206653582968654919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951290,ChIJxUzZAZrAQIYRR4wYlcK-Zqk
Heights Auto Repair,"735 W 19th St, Houston, TX 77008, USA",Houston,TX,(713) 880-2440,http://heightsautorepair.com/,4.5,418,"car_repair, service, point_of_interest, establishment",Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: Closed,https://maps.google.com/?cid=2122915953944444674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951299,ChIJ-e9QrG3HQIYRAj_e-s8cdh0
Montrose Automotive,"4720 Montrose Blvd, Houston, TX 77006, USA",Houston,TX,(713) 523-4406,http://www.montroseautocenter.com/,4.6,898,"tire_shop, auto_parts_store, car_repair, store, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=18014468641372935267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951307,ChIJmZDvYX6_QIYRY5Ry2sg_APo
J&T Automotive,"9046 Westview Dr, Houston, TX 77055, USA",Houston,TX,(713) 464-2312,https://jntautomotive.com/?utm_source=lnm_gbp&utm_medium=website_link,4.9,1523,"truck_dealer, car_repair, car_dealer, store, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=13938089418709718814&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951314,ChIJ3zuwFVzEQIYRHtfSqXoKbsE
Little Shop of Motors LLC,"9315 Alberene Dr, Houston, TX 77074, USA",Houston,TX,(713) 729-1313,https://www.littleshopofmotors.com/,4.8,352,"car_repair, service, point_of_interest, establishment",Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 9:00 AM – 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=9356118234739919624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951322,ChIJgz5gByDoQIYRCEs6svab14E
Yes Auto Fix | Best Collision repair | Transmission repair Expert | Best Automobile repair |,"9115 Stella Link Rd, Houston, TX 77025, USA",Houston,TX,(346) 246-3077,https://www.yesautofix.com/,4.9,701,"car_repair, service, point_of_interest, establishment",Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=11032512308871050008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951333,ChIJudvHCNvBQIYRGDNi_n1bG5k
Auto World Houston,"2805 W Loop S, Houston, TX 77027, USA",Houston,TX,(713) 623-4418,http://autoworldhouston.com/,4.8,387,"chauffeur_service, transportation_service, car_repair, car_dealer, store, service, point_of_interest, establishment",Monday: 8:30 AM – 5:00 PM | Tuesday: 8:30 AM – 5:00 PM | Wednesday: 8:30 AM – 5:00 PM | Thursday: 8:30 AM – 5:00 PM | Friday: 8:30 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=2418601830032592314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951341,ChIJY1Uu4WzBQIYRus0z1IyZkCE
Master Car Care & Collision,"2305 Yale St, Houston, TX 77008, USA",Houston,TX,(713) 862-6630,https://mastercarcarehouston.com/,4.8,1319,"car_repair, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: Closed,https://maps.google.com/?cid=14423849974193818970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951347,ChIJ40ggXHvHQIYRWo1ZdSHPK8g
Orion Auto Service Inc.,"1542 Yale St, Houston, TX 77008, USA",Houston,TX,(713) 426-2299,http://www.orionautoservice.com/,4.9,387,"car_repair, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=2359713451042488029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Houston, TX",auto_repair,2026-03-11T15:48:00.951354,ChIJj8PnTWHHQIYR3T4ZpeFivyA
