name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,business_status,has_website,search_term,vertical,scraped_at,place_id
Jake's Auto Repair,"2516 W Bethany Home Rd, Phoenix, AZ 85017, USA",Phoenix,AZ,(602) 246-4900,https://www.jakesautorepair.net/,4.9,496,"car_repair, service, point_of_interest, establishment",Monday: 6:00 AM – 4:00 PM | Tuesday: 6:00 AM – 4:00 PM | Wednesday: 6:00 AM – 4:00 PM | Thursday: 6:00 AM – 4:00 PM | Friday: 6:00 AM – 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=3259891706789386517&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972117,ChIJ876eeMtsK4cRFVlsVTx2PS0
Half Price Auto Repair & Performance,"3800 N 7th St, Phoenix, AZ 85014, USA",Phoenix,AZ,(480) 686-8125,https://hpautorepair.com/,4.9,649,"tire_shop, auto_parts_store, car_repair, store, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 4:00 PM | Sunday: Closed,https://maps.google.com/?cid=12444368818897089064&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972135,ChIJX15PovgTK4cRKPJO-IFHs6w
25th Street Automotive,"4112 N 25th St, Phoenix, AZ 85016, USA",Phoenix,AZ,(602) 955-2637,http://www.25thstreetautomotive.com/,4.8,484,"car_repair, consultant, service, point_of_interest, establishment",Monday: 7:00 AM – 5:30 PM | Tuesday: 7:00 AM – 5:30 PM | Wednesday: 7:00 AM – 5:30 PM | Thursday: 7:00 AM – 5:30 PM | Friday: 7:00 AM – 5:30 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=2320489452179988618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972144,ChIJt6OUjHUNK4cRiqA6vtwINCA
Half Price Auto Repair & Performance,"7329 W Indian School Rd, Phoenix, AZ 85033, USA",Phoenix,AZ,(623) 848-1970,https://hpautorepair.com/,4.6,1414,"tire_shop, auto_parts_store, car_repair, store, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 4:00 PM | Sunday: Closed,https://maps.google.com/?cid=16930663446967917072&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972151,ChIJaVFfjDAVK4cREJo22LPM9eo
Half Price Auto Repair & Performance,"15812 N 32nd St A-1, Phoenix, AZ 85032, USA",Phoenix,AZ,(602) 935-3551,https://hpautorepair.com/,4.9,736,"tire_shop, auto_parts_store, car_repair, store, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 4:00 PM | Sunday: Closed,https://maps.google.com/?cid=12755591394472574196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972158,ChIJcf_mJ-txK4cR9DyRj8r2BLE
Autocare Air Conditioning & Auto Repair,"4223 E Bell Rd, Phoenix, AZ 85032, USA",Phoenix,AZ,(602) 569-0871,http://www.autocareacandbrakeinc.com/,4.9,539,"car_repair, service, point_of_interest, establishment",Monday: 7:30 AM – 5:00 PM | Tuesday: 7:30 AM – 5:00 PM | Wednesday: 7:30 AM – 5:00 PM | Thursday: 7:30 AM – 5:00 PM | Friday: 7:30 AM – 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=14177130068834453672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972165,ChIJ-Q_Sg8xzK4cRqAhjF69Iv8Q
Virginia Auto Service,"386 E Virginia Ave, Phoenix, AZ 85004, USA",Phoenix,AZ,(602) 266-0200,https://virginiaautoservice.com/?utm_source=google&utm_medium=gmb,4.7,622,"car_repair, service, point_of_interest, establishment",Monday: 7:30 AM – 5:30 PM | Tuesday: 7:30 AM – 5:30 PM | Wednesday: 7:30 AM – 5:30 PM | Thursday: 7:30 AM – 5:30 PM | Friday: 7:30 AM – 5:30 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=277054818060591012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972172,ChIJpcbJrWgSK4cRpN_PneNL2AM
J’s mobile auto repair,"1010 W Vogel Ave, Phoenix, AZ 85021, USA",Phoenix,AZ,(480) 322-4012,,4.9,96,"car_repair, service, point_of_interest, establishment",Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=11949170132227545105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,no,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972178,ChIJ649nS71tK4cREVghBO3606U
National Automotive Repair,"2723 W Sweetwater Ave, Phoenix, AZ 85029, USA",Phoenix,AZ,(480) 462-6199,http://www.narepair.com/,4.9,407,"car_repair, service, point_of_interest, establishment",Monday: 7:30 AM – 5:30 PM | Tuesday: 7:30 AM – 5:30 PM | Wednesday: 7:30 AM – 5:30 PM | Thursday: 7:30 AM – 5:30 PM | Friday: 7:30 AM – 5:30 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=486051840750959009&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972184,ChIJIxzgSiBsK4cRobli7pLNvgY
Tony's Service Center,"5352 N 16th St, Phoenix, AZ 85016, USA",Phoenix,AZ,(602) 264-9866,http://www.tonysservicecenter.com/,4.5,198,"car_repair, service, point_of_interest, establishment",Monday: 6:30 AM – 5:30 PM | Tuesday: 6:30 AM – 5:30 PM | Wednesday: 6:30 AM – 5:30 PM | Thursday: 6:30 AM – 5:30 PM | Friday: 6:30 AM – 5:30 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=3012725830957439392&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"auto repair shop Phoenix, AZ",auto_repair,2026-03-11T15:48:41.972191,ChIJQUVHnKASK4cRoJncXy5azyk
