segment,segment_name,name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,neighborhood,has_website,search_term,vertical,scraped_at,place_id,review1_name,review1_stars,review1_text,review2_name,review2_stars,review2_text,review3_name,review3_stars,review3_text,review4_name,review4_stars,review4_text,review5_name,review5_stars,review5_text,facebook_url,instagram_url,email
4b,No Website + Good,Wheel Master,"7440 W Van Buren St, Phoenix, AZ 85043",Phoenix,Arizona,(623) 478-8063,,4.7,993,Used tire shop,Monday: 8 AM to 6 PM | Tuesday: 8 AM to 7 PM | Wednesday: 8 AM to 7 PM | Thursday: 8 AM to 7 PM | Friday: 8 AM to 7 PM | Saturday: 8 AM to 7 PM | Sunday: 8 AM to 6 PM,https://www.google.com/maps/search/?api=1&query=Wheel%20Master&query_place_id=ChIJcfixcZkVK4cRZ3xAiPXLooM,Estrella Village,no,auto repair shop,auto_repair,2026-03-11T16:22:23.947Z,ChIJcfixcZkVK4cRZ3xAiPXLooM,Nancy Marie,5,"⭐⭐⭐⭐⭐
I had an amazing experience here! The team went above and beyond — they set me up with Goodyear tires, matched all of them perfectly, and balanced them for an …",shalonda scott,5,Came in needing 4 tires got the best customer service and tires at a great price. Everyone was very friendly and helpful. Yuri was amazing from start to finish got us in and out quick definitely recommend 10/10 !!! I’ll be back to get some rims soon,Helen Geddes,5,"I had an excellent experience &amp; service @ Wheel Master on 75th &amp; Van Buren! Had tires put on &amp; balanced, break check, &amp; alignment. They discovered a leaking CV Axle &amp; 40% break pads left on front &amp; 60% break pads left on back. They gave a …",Dina Stone,5,"I got a wheel alignment done here and have a great experience. The service was quick and professional, and they explained everything clearly. My steering wheel wasn’t straight before, but now my car drives smooth and straight. The price was …",Christina Carrizoza,5,"If I could rate 10 stars, I would 100%. This llantra shop deserves it. Very welcoming and great customer service. The owner hooked me up. Thank you, Gustavo!",https://www.facebook.com/p/Wheel-Master-Inc-100080954663523,https://www.instagram.com/wheel_masterss,wheelmaster75@gmail.com
4b,No Website + Good,Pedro's Tire Shop,"1802 N Main St, Houston, TX 77009",Houston,Texas,(832) 876-3728,,4.8,533,Tire shop,Monday: 8:30 AM to 6 PM | Tuesday: 8:30 AM to 6 PM | Wednesday: 8:30 AM to 6 PM | Thursday: 8:30 AM to 6 PM | Friday: 8:30 AM to 6 PM | Saturday: 8:30 AM to 6 PM | Sunday: 11 AM to 5:30 PM,https://www.google.com/maps/search/?api=1&query=Pedro's%20Tire%20Shop&query_place_id=ChIJL4CF8tK4QIYR3S3WDFD63zA,Northside,no,auto repair shop,auto_repair,2026-03-11T16:22:23.859Z,ChIJL4CF8tK4QIYR3S3WDFD63zA,Jordan Williams,4,The price of my tire he told me was $60. Plus tax was 64.95. He then gave himself a tip. I did not authorize. Making it come out to $68. The service wasn’t bad at all but they could have been honest about the price. Great service for the most part.,Francisco Ybarra,5,"Came in for Front Brake changes, they were able to take me in as soon as I pulled in and had me out in about 20 minutes for the full job.
Victor works very well, he’s honest and the prices here are much better than any …",Maya Daniels,5,this is it! this is where you need to get your tires when/if the time comes. they don’t overcharge (i only paid $70 +tax for a used tire + the work done) like these corporations and you’ll be in and out in 10 minutes. big ups to victor for helping me out and keeping it real,Audrey Davis,5,"I was on my way to work when I got a nail in my tire and had to find the closest shop fast. I came across Pedro’s Tire Shop and I’m so glad I did! Victor and his team were incredibly welcoming, quick, and professional. They got me taken …",rick,5,The guys there were super helpful and fast! They patched up my tire and I think it may have taken less than 10 mins. Unlike some other tire shope they do take cards. Hope to never get another nail in my tire but if I do I'm coming back to get it patched up.,https://www.facebook.com/ptireshop,https://www.instagram.com/pedrosbodyshop,support@giftly.com
4b,No Website + Good,Texas Radiators & Mufflers & Vehicles Emissions Inspection,"10923 Fuqua St, Houston, TX 77089",Houston,Texas,(713) 941-2323,,4.9,502,"Vehicle inspection service, Muffler shop, Radiator shop",Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: 8 AM to 2:30 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Texas%20Radiators%20%26%20Mufflers%20%26%20Vehicles%20Emissions%20Inspection&query_place_id=ChIJ1QsomuGZQIYR7Fri-jqAKGg,South Belt / Ellington,no,auto repair shop,auto_repair,2026-03-11T16:23:05.080Z,ChIJ1QsomuGZQIYR7Fri-jqAKGg,francisco guerra,5,These guys did a great job taking care of my exhaust leak and even let me take a look at the finished work great technicians that stand behind their work,Brandon Rodriguez,5,What Amazing and friendly experience! These guys got me in and out the shop efficiently and with care. Would recommend to anyone looking for a shop with great prices. Chris is the guy you want to see. A true Professional.,Crystal Richardson,5,Greeted me as soon as I walked up. I came in for a state inspection before work and it was fairly quick. Definitely recommend this location if you’re looking for quick and friendly service.,L G,3,"For a Muffler Shop, it's unsettling to see the amount of 4+ star reviews for INSPECTIONS (which require ZERO mechanical aptitude).  Then I see they share an office space with another specialty Tech shop. NO BUENO.  Looks like a franchised …",Brandon S,5,"With no line, Chris had me in and out in about 5 minutes for state inspection!!!
Inquired about custom exhaust and he quoted a good price. Will probably have it …",https://www.facebook.com/Texasradiatormuffler,,medcentermuffler23@gmail.com
4b,No Website + Good,Houston Mobile Mechanic & Diesel Repair llc,"3105 Norfolk St, Houston, TX 77098, USA",Houston,TX,(832) 249-1533,,4.8,405,"auto_parts_store, car_repair, store, service, point_of_interest, establishment",Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=16172382930587708651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no,"car mechanic Houston, TX",auto_repair,2026-03-11T15:48:02.828587,ChIJcV_ilnrBQIYR62xFJZfYb-A,Tristan Forbes,5,"Anthony is a good, HONEST, human. A better mechanic. And is timely with everything him and his team does. …",G Funk,5,"FAST, AFFORDABLE, and PROFESSIONAL
Anthony and his Crew at Houston Mobile Mechanic &amp; Diesel Repair are awesome to work with. Here are some of the details from my recent emergency situation. …",Emmanuel Arellano,5,Coolant leak from def return line. Boss came out in 30min diagnosed the issue and got the part. Quick service and easy to talk to. Glad I called them and didnt go with other road service.,Kakki Love,5,"Anthony and Ronnie showed up very quickly after the call.  They came out to jump start a vehicle that had been sitting over a year, change a tire, and repair a battery cable shortage that had been draining brand new batteries.  They are …",Daisy Zavala,1,"I would give them 0 stars. This mechanic came out and replaced the alternator, and we paid over $600 for the repair.
Our car had a brand new battery that was only a couple of months old. When they …",https://www.facebook.com/people/Houston-Mobile-Mechanic/61568151550802,,daveguerrero324@gmail.com
4b,No Website + Good,Triple J Auto,"1919 E Jefferson St, Phoenix, AZ 85034",Phoenix,Arizona,(480) 206-2852,,5,367,"Auto body shop, Auto glass shop",Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: 8 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Triple%20J%20Auto&query_place_id=ChIJM4dEmX8RK4cRYkm9XRknEx0,Central City,no,auto repair shop,auto_repair,2026-03-11T16:22:37.349Z,ChIJM4dEmX8RK4cRYkm9XRknEx0,Xuleima Torres,5,"Triple J Auto Shop did an excellent job color-matching and repairing my bumper. The team was professional, efficient, and detail-oriented. Julio kept me informed throughout the entire process, which I really appreciated. Best of all, the turnaround time was fast without sacrificing quality. I highly recommend their services.",nadia navarro,5,"Triple J Auto was extremely professional and fast. They fixed my trunk and charged me a very fair price. I was super happy with their service and had my car back the next day. Other places quoted me a ridiculous amount, so I really …",Christina Rodriguez,5,"I recently had my rear bumper and light repaired at Triple J Auto, and I couldn’t be more impressed with the results. The team did a fantastic job the repair work was flawless, and my car looks as good as new. They were professional, …",Rolo,5,"I had my 2012 Chevy Tahoe detailed at Triple J Auto and met with Julio—what an incredible job they did! The interior looked spotless, smelled fresh, and felt like a brand-new vehicle. My wife was blown away by the transformation. …",Carlo,5,"Had Triple J Auto detail the interior and exterior of my car. They also helped with some auto body repair that my car needed, specifically cosmetic repair. Highly recommend them, I’m so very satisfied with their service. It’s such a blessing!",https://www.facebook.com/triplejautoaz,https://www.instagram.com/triplejautoglass,ojeda669@hotmail.com
4b,No Website + Good,STARS Auto Repair,"12490 Northwest Fwy, Houston, TX 77092",Houston,Texas,(713) 476-0771,,4.8,353,"Auto repair shop, Auto glass shop, Brake shop, Car inspection station, Car repair and maintenance service, Oil change service, Transmission shop, Vehicle inspection service",Monday: 8 AM to 3 PM | Tuesday: 8 AM to 3 PM | Wednesday: 8 AM to 3 PM | Thursday: 8 AM to 3 PM | Friday: 8 AM to 3 PM | Saturday: 9 AM to 1 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=STARS%20Auto%20Repair&query_place_id=ChIJm5zmCujFQIYREm0D9qFkHvs,Northside,no,auto repair shop,auto_repair,2026-03-11T16:22:57.998Z,ChIJm5zmCujFQIYREm0D9qFkHvs,Melissa Walter,5,"We needed our car looked at because since being at the dealership with a previous repair, the car started making this sound anytime you went over a bump on the road so we took it here. I saw the great reviews and Ken was great with us. We …",Laura,5,5 Stars for Stars Auto Repair!  Ken and Cynthia were very knowledgeable and professional about the new laws on the inspections of vehicles.  They got my vehicle in and thoroughly examined all components.  I barely had a wait time.  I was …,Angela Castillo,5,"Great service, was able to get my inspection done during my lunch break!",Ed Cortez,5,"Ken and the STARS team have always done a great job and fast work each time I've visited. Whether inspections or regular/minor maintenance/repairs, their team has always been great to work with and have fair pricing. Great communication as well. I definitely plan to continue to leverage their services.",CarisaD,5,I called to inquire about the process and what documentation was needed for a vehicle inspection. The lady ( sorry I don’t know her name) was very knowledgeable about the recent changes in requirements for Texas and was very pleasant when I …,https://www.facebook.com/p/Star-Auto-Collision-Repair-100064281634438,https://www.instagram.com/7stars_transmissions,mario@carstarshouston.com
4b,No Website + Good,Juan's Auto Glass,"6111 N Shepherd Dr, Houston, TX 77091",Houston,Texas,(713) 699-2182,,4.6,342,Auto glass shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 6 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Juan's%20Auto%20Glass&query_place_id=ChIJJVKkt-fHQIYRHjAUegAcWfU,Acres Home,no,auto repair shop,auto_repair,2026-03-11T16:22:25.728Z,ChIJJVKkt-fHQIYRHjAUegAcWfU,Pablo Trevino,1,"I don’t recommend this windshield shop. Went a couple days ago they ended up breaking a sensor for my windshield and the shop didn’t say anything about the broken sensor, but left it on the passenger seat. I didn’t notice the broken sensor until after I was gone from the shop. I have the picture to show the broken sensor.",Robin Prather,5,Fast and exceptional work! Great price! Thank you for making my windshield look amazing! Done in 30 minutes!,Steve Woodruff,5,"Definitely my go-to auto glass shop from now on. Since my truck is not ""mobile install"" serviceable by the service I've used for decades, I gave this shop a try.  Knowing they would have to retrieve the glass from the warehouse after I …",Joel Sumanth,5,"Juan’s Auto Glass did an outstanding job on my windshield replacement! The service was quick, affordable, and very professionally done. They handled everything efficiently, and the results speak for themselves—clean, secure, and perfectly …",Caroline Mattioli,5,"Awesome! Had a scumbag break into my car and needed a back passenger window replaced. Called Juan’s Auto Glass, got an excellent quote at $130.00 for my 2017 Ford Escape. They got it done in an hour. Really nice guys, quick service, and great price! Highly recommend them if you need a car window replacement. Thanks!",https://www.facebook.com/pages/Juans-Auto-Glass/159041577450952,https://www.instagram.com/juans_auto_glass,onlinehelp@safelite.com
4b,No Website + Good,Quick Auto Service & State Inspection,"14009-B, 14009 FM 1464 D, Sugar Land, TX 77498, USA",Houston,TX,(832) 382-4155,,4.8,291,"car_repair, point_of_interest, service, establishment",Monday: 8:30 AM – 5:30 PM | Tuesday: 8:30 AM – 5:30 PM | Wednesday: 8:30 AM – 5:30 PM | Thursday: 8:30 AM – 5:30 PM | Friday: 8:30 AM – 5:30 PM | Saturday: 8:30 AM – 4:30 PM | Sunday: Closed,https://maps.google.com/?cid=12469657232009236919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no,"auto repair shop Sugar Land, TX",auto_repair,2026-03-11T15:48:34.192882,ChIJK6hfcgbhQIYRt5HKeC8fDa0,Meghan Silva,5,Great and fast service! They were very helpful and honest with their repairs. I will definitely use them again in the future,M SC,5,"Adnan and the guys always do great fast professional service, they are upfront and they will tell you in advance if your stuff is good to go.",Austin C,5,"Their service was excellent. I'm happy no one tried to up-sell me on anything(I was having a bad day). I got the oil change I came for and decided to do an inspection as well. They seem happy to help you check most issues your car might have, if you ask. Worth the stop.",Cassandra Truan,5,"I needed to get my inspection done quickly, so I called and was welcomed right away. Waited maybe 2 minutes and I was right in. He also mentioned my air filters (which I knew needed changing) and charged me a THIRD of the price I was given …",Alomari,5,Nice place come see them they will take care of your car make sure you drive safe on the road,https://www.facebook.com/2QuickAutomotive,,info@2Quickauto.com
4b,No Website + Good,Byrds,"8033 Lockwood Dr, Houston, TX 77016",Houston,Texas,(713) 633-1822,,4.7,290,"Car inspection station, Auto repair shop",Monday: 9 AM to 5:30 PM | Tuesday: 9 AM to 5:30 PM | Wednesday: 9 AM to 5:30 PM | Thursday: 9 AM to 5:30 PM | Friday: 9 AM to 5:30 PM | Saturday: 8:30 AM to 1 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Byrds&query_place_id=ChIJdYjg6o-5QIYR7PX8Mpl8Qjg,Northeast Houston,no,auto repair shop,auto_repair,2026-03-11T16:22:19.940Z,ChIJdYjg6o-5QIYR7PX8Mpl8Qjg,Charles Taylor,5,Mr Byrd has inspected my truck for the last several years. I went there yesterday for an emissions inspection. I was there for a very short time. I recommend him to anyone that needs an inspection or anything else that he does.,Terrance Smith,5,They do a great inspection I get my two vehicles inspected every year,Toi,5,"I received Great Customer Service from the owner Byrd, he was fast and efficient! He showed out to be trustworthy and professional , I always respect professionalism! Thanks for the Great service!",Javi Kawasaki,5,"I live nearby and have been coming here for about 6yrs for inspections and other miscellaneous work
Always treated well and prices are fair and transparent.",Metro Customer,5,"This establishment is friendly, fast and efficient. I was able to get my inspection done rather quickly with no wait. The parking lot was clean. The owner has a pleasant attitude. They accept cash and credit. Please ALWAYS remember to …",https://www.facebook.com/twolittlebyrds,https://www.instagram.com/itstbyrds,info@byrdsplumbing.com
4b,No Website + Good,Rogel's Auto Alignment LLC,"1406 E Washington St, Phoenix, AZ 85034",Phoenix,Arizona,(602) 254-3058,,4.8,250,"Auto repair shop, Auto air conditioning service, Wheel alignment service, Auto tune up service, Brake shop, Mechanic, Muffler shop",Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9:30 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Rogel's%20Auto%20Alignment%20LLC&query_place_id=ChIJSbP_2wESK4cRCADJKMgByt0,Eastlake Park,no,auto repair shop,auto_repair,2026-03-11T16:22:34.756Z,ChIJSbP_2wESK4cRCADJKMgByt0,Derek Steele,5,Great location right in downtown phoenix. Have multiple vehicles i get serviced here regularly. You can always count on these guys. Javier and Chris are great mechanics and have the experience i need. They have a great waiting area with …,AstraCare Transport,5,"I’ve been a loyal customer of Regal’s Auto Alignment Shop for over four to five years now, and they consistently impress me every single time. Chris and Edwin are the backbone of the shop. They’re not only incredibly skilled and …",Jackie Wetenkamp,5,"If you’re looking for a mechanic you can trust, Rogel’s Auto Care &amp; Alignment is the place to go. The team is friendly, knowledgeable, and explains everything clearly, making the whole process easy and stress-free. …",Brenda Arrieta,5,Came in for an oil change and was very impressed. They did a complimentary preventative inspection and checked my brakes because they were squeaking after being replaced recently. They suggested replacing my air filter and gave me a …,karina leyva,5,"Best auto repairs in Phoenix, AZ. All the staff are friendly, nice, and honest. Did an amazing job on my car! Most definitely would recommend to anyone!",https://www.facebook.com/Rogels.Auto.Alignment,https://www.instagram.com/rogelsauto,isTreyday63@gmail.com
