segment,segment_name,name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,neighborhood,has_website,search_term,vertical,scraped_at,place_id,review1_name,review1_stars,review1_text,review2_name,review2_stars,review2_text,review3_name,review3_stars,review3_text,review4_name,review4_stars,review4_text,review5_name,review5_stars,review5_text,facebook_url,instagram_url,email
4a,No Website + Some,quality auto service,"7676 North Fwy, Houston, TX 77037",Houston,Texas,(281) 809-6177,,5,5,Auto repair shop,Monday: 10 AM to 7 PM | Tuesday: 10 AM to 7 PM | Wednesday: 10 AM to 7 PM | Thursday: 10 AM to 7 PM | Friday: 10 AM to 7 PM | Saturday: 10 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=quality%20auto%20service&query_place_id=ChIJATLiionJQIYR2XXteNyGfMs,Northside / Northline,no,auto repair shop,auto_repair,2026-03-11T16:22:19.940Z,ChIJATLiionJQIYR2XXteNyGfMs,,,,,,,,,,,,,,,,https://www.facebook.com/p/Quality-Auto-Care-61560732991605,https://www.instagram.com/qualityauto_25,contact@qachouston.com
4a,No Website + Some,Minor Adjustments Auto Care,"6832 Landor St, Houston, TX 77028",Houston,Texas,(346) 504-3626,,5,4,Mechanic,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Minor%20Adjustments%20Auto%20Care&query_place_id=ChIJsYdvKSm6QIYRs4a2Mo7FtDk,Northeast Houston,no,auto repair shop,auto_repair,2026-03-11T16:22:21.113Z,ChIJsYdvKSm6QIYRs4a2Mo7FtDk,L Teamer,5,Customer service is a priority!!!,,,,,,,,,,,,,https://www.facebook.com/p/Houston-Texas-Auto-Care-100067535329980,,
4a,No Website + Some,SILVA'S AUTO MECHANIC,"221 W Canino Rd unit B, Houston, TX 77037",Houston,Texas,(832) 206-9754,,5,4,Auto repair shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=SILVA'S%20AUTO%20MECHANIC&query_place_id=ChIJHXyFyf7JQIYRmUN3Zv3j_cA,Northside / Northline,no,auto repair shop,auto_repair,2026-03-11T16:22:21.113Z,ChIJHXyFyf7JQIYRmUN3Zv3j_cA,Miranda Silva,5,"I’ve been taking my car to Silva’s Auto Mechanic for the past year, and I can honestly say they’re the best mechanic shop in Houston. From the moment I walked in, I felt like they really cared, not just about fixing my car, but about doing …",R&amp;R UNDERGROUND UTILITIES,5,Reyes has been working on our vehicles   for over 16 years he is a great mechanic he is  up front and reasonable with his prices. We highly recommend for all your automotive repairs.,Alex Lara,5,"I know that Reyes has spent many years honing  his skills as a mechanic, he is dedicated to understanding every detail of automotive repair and maintenance. His journey in the automotive field has been lifelong, filled with hands-on …",Esau A,5,Great mechanic with good prices. Very knowledgeable and always upfront with service time expectations.,,,,https://www.facebook.com/p/Silvas-auto-mechanic-100063754590509,,
4a,No Website + Some,M & R Auto Service,"6722 Arabella St, Houston, TX 77091",Houston,Texas,,,5,4,Auto repair shop,,https://www.google.com/maps/search/?api=1&query=M%20%26%20R%20Auto%20Service&query_place_id=ChIJT-iWI9jHQIYRK_qKq_sVP04,Acres Home,no,auto repair shop,auto_repair,2026-03-11T16:22:23.859Z,ChIJT-iWI9jHQIYRK_qKq_sVP04,Ronnie Stoerner,5,Couldn't be happier. Felt good supporting a friend from back in the school days. It was even better getting good service in a family setting. I would highly recommend M &amp; R for all your automotive needs.,Christina W,5,Good service!,Victor Johnsonpwe,5,Good,,,,,,,https://www.facebook.com/mrautoservicesllc,https://www.instagram.com/mr_auto_collision,mandrauto.connect@gmail.com
4a,No Website + Some,Auto Repair,"13917 Aldine Westfield Rd, Houston, TX 77039",Houston,Texas,,,5,4,Car repair and maintenance service,Monday: 9 AM to 2 AM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Auto%20Repair&query_place_id=ChIJNYVXIFS2QIYResBKhdPwRDc,Magnolia Gardens,no,auto repair shop,auto_repair,2026-03-11T16:22:27.803Z,ChIJNYVXIFS2QIYResBKhdPwRDc,Jaylon Reed,5,"Replaced my valve cover gasket that was leaking, replaced both catalytic converters and completed a tune up on my 06 sonata and my car has been running like a champ ever since. it has been over a year with service done at 140k. great …",charles fielder,5,Inexpensive professional quality auto repairs.,Carloss Mireless,5,Good servuce,Hiram Oviedo,5,Oh,,,,https://www.facebook.com/NorthwestAutoHouston,https://www.instagram.com/herfavmechanic_,houston@fixautousa.com
4a,No Website + Some,Venegas Auto Repair,"12959 W Hardy Rd, Houston, TX 77037",Houston,Texas,(346) 314-7305,,5,4,Auto repair shop,Monday: 9 AM to 7 PM | Tuesday: 9 AM to 7 PM | Wednesday: 9 AM to 7 PM | Thursday: 9 AM to 7 PM | Friday: 9 AM to 7 PM | Saturday: 9 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Venegas%20Auto%20Repair&query_place_id=ChIJH3Is1KK3QIYRnmoJek-JtoY,Meadowviewland,no,auto repair shop,auto_repair,2026-03-11T16:22:29.458Z,ChIJH3Is1KK3QIYRnmoJek-JtoY,Paula Bajos,5,"They replaced brakes ans rotors, coming back to do suspension next month. They work good.",,,,,,,,,,,,,https://www.facebook.com/VenegasGarage/videos/2060385254741835,https://www.instagram.com/venegasautocarecenter,moises@venegasintegra.com
4a,No Website + Some,P&A Complete Auto Repair,"13670 Westheimer Rd, Houston, TX 77077",Houston,Texas,(347) 500-0054,,5,6,"Auto repair shop, Brake shop, Car battery store, Mechanic, Transmission shop, Welder",Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=P%26A%20Complete%20Auto%20Repair&query_place_id=ChIJFSlrGIrdQIYRCNgrvrk-pV4,Westside,no,auto repair shop,auto_repair,2026-03-11T16:22:50.949Z,ChIJFSlrGIrdQIYRCNgrvrk-pV4,Ahmed Abu Mazen,5,"Extremely professional, honest, and takes the time to explain what is needed. Prices are fair too. I always have a great experience. Definitely recommend!",Jeremy C,5,Car window just decided to not roll back up one day and searched for a place that was close and picked here. Great decision! The man sourced the part I needed had it shipped and installed before noon next day. Great price would of been triple at dealership and definitely going back,Roberto Carlos Campos,5,100% recommend honestly and excellent quality. Excelente servicio.,Chruisteen P,5,"Friendly service, efficient, clean. Definitely recommend!",shirley santos,5,Customer service was wonderful. Very pleased with the service I received.,https://www.facebook.com/p/AA-Complete-Auto-Repair-100047005789355,,mrossum25@gmail.com
4a,No Website + Some,HE automotive repair,"13510 W Bellfort suite B22, Sugar Land, TX 77498",Sugar Land,Texas,(832) 330-1274,,5,10,Auto repair shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 2 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=HE%20automotive%20repair&query_place_id=ChIJITnCF7HnQIYRsMuel3H2oIQ,Westside,no,auto repair shop,auto_repair,2026-03-11T16:22:52.942Z,ChIJITnCF7HnQIYRsMuel3H2oIQ,Ammar Algburi,5,"“Excellent experience. Salam was perfect—very friendly and knowledgeable, and he explained the repair in detail. Prices were very reasonable, and the service was honest and quick.”",Vicky Graham,5,Salam does excellent work and he's very reliable. I wouldn't trust anyone else serving. my car.,ahmed salim,5,"They are very professional and well known of what they’re doing, i would come back i again for Auto service for my cars",Ayoub Ghalmi,5,Very honest ! Great guy over all and professional !!,Ibrahim Sameer,5,Highly skilled mechanic and electrician,https://www.facebook.com/p/HTH-Automotive-100084635772601,,
4a,No Website + Some,Alexandra Auto Repair & Body Shop,"10200 Synott Rd #3, Sugar Land, TX 77498",Sugar Land,Texas,(832) 884-2954,,5,5,Auto repair shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Alexandra%20Auto%20Repair%20%26%20Body%20Shop&query_place_id=ChIJF0HeA3rnQIYRcWKyGg-DOck,Westside,no,auto repair shop,auto_repair,2026-03-11T16:22:55.094Z,ChIJF0HeA3rnQIYRcWKyGg-DOck,Jay Fairladyz,5,Great service. Needed to get an estimate on my car because my provider tried to low ball me after an accident. Great people working there!,Genesis Hernandez,5,"🔧🚗 ALEXANDRA AUTO REPAIR &amp; BODY SHOP
Your best option!
Quality, trust, and commitment in every service. …",Eva Hernandez,5,"I loved the service they provided for my car, 100% recommended.",Johana Barrera,5,Excellent service 👍🏼 …,Yamileth López,5,Excellent service and attention,https://www.facebook.com/p/Alexandra-Auto-Repair-100063969435013,,
4a,No Website + Some,Space city auto repair,"8620 Richmond Ave. suite h, Houston, TX 77063",Houston,Texas,(713) 903-6252,,5,10,Mechanic,Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 6 PM | Saturday: 8 AM to 5 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Space%20city%20auto%20repair&query_place_id=ChIJCxrmB97DQIYR_PGXSByYZuA,Westside,no,auto repair shop,auto_repair,2026-03-11T16:23:03.407Z,ChIJCxrmB97DQIYR_PGXSByYZuA,mohammed hassan,5,Went for brake job. Amer is friendly and provided great service! I recommend coming here. They will check your car issues and give you honest advice with what needs to be done.,Molly Griffey,5,"I have to brag about this place! I had issues with my truck this morning and Amer saved me from the start by towing my truck to his shop, figuring out the issue, getting me the best deal on parts and getting everything replaced and fixed by …",31ibrahim 31pro69,5,"I had a great experience at this shop! They worked on my car and got everything fixed quickly and efficiently. The service was top-notch, and the pricing was very affordable—no surprises or upsells. The team was professional, honest, and …",Abdulraouf Haj,5,Very good mechanic shop. Hard working people that can be trusted with your vehicles. I truly recommend them.,Amer Daher,5,The best mechanic shop i been to fast serves great treatment  if you looking for the best this the right place,https://www.facebook.com/spacecityautocare,https://www.instagram.com/spacecityac1,spacecityas@aol.com
