segment,segment_name,name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,neighborhood,has_website,search_term,vertical,scraped_at,place_id
4a,No Website + Some,quality auto service,"7676 North Fwy, Houston, TX 77037",Houston,Texas,(281) 809-6177,,5,5,Auto repair shop,Monday: 10 AM to 7 PM | Tuesday: 10 AM to 7 PM | Wednesday: 10 AM to 7 PM | Thursday: 10 AM to 7 PM | Friday: 10 AM to 7 PM | Saturday: 10 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=quality%20auto%20service&query_place_id=ChIJATLiionJQIYR2XXteNyGfMs,Northside / Northline,no,auto repair shop,auto_repair,2026-03-11T16:22:19.940Z,ChIJATLiionJQIYR2XXteNyGfMs
4a,No Website + Some,Minor Adjustments Auto Care,"6832 Landor St, Houston, TX 77028",Houston,Texas,(346) 504-3626,,5,4,Mechanic,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Minor%20Adjustments%20Auto%20Care&query_place_id=ChIJsYdvKSm6QIYRs4a2Mo7FtDk,Northeast Houston,no,auto repair shop,auto_repair,2026-03-11T16:22:21.113Z,ChIJsYdvKSm6QIYRs4a2Mo7FtDk
4a,No Website + Some,SILVA'S AUTO MECHANIC,"221 W Canino Rd unit B, Houston, TX 77037",Houston,Texas,(832) 206-9754,,5,4,Auto repair shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=SILVA'S%20AUTO%20MECHANIC&query_place_id=ChIJHXyFyf7JQIYRmUN3Zv3j_cA,Northside / Northline,no,auto repair shop,auto_repair,2026-03-11T16:22:21.113Z,ChIJHXyFyf7JQIYRmUN3Zv3j_cA
4a,No Website + Some,M & R Auto Service,"6722 Arabella St, Houston, TX 77091",Houston,Texas,,,5,4,Auto repair shop,,https://www.google.com/maps/search/?api=1&query=M%20%26%20R%20Auto%20Service&query_place_id=ChIJT-iWI9jHQIYRK_qKq_sVP04,Acres Home,no,auto repair shop,auto_repair,2026-03-11T16:22:23.859Z,ChIJT-iWI9jHQIYRK_qKq_sVP04
4a,No Website + Some,Auto Repair,"13917 Aldine Westfield Rd, Houston, TX 77039",Houston,Texas,,,5,4,Car repair and maintenance service,Monday: 9 AM to 2 AM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Auto%20Repair&query_place_id=ChIJNYVXIFS2QIYResBKhdPwRDc,Magnolia Gardens,no,auto repair shop,auto_repair,2026-03-11T16:22:27.803Z,ChIJNYVXIFS2QIYResBKhdPwRDc
4a,No Website + Some,Venegas Auto Repair,"12959 W Hardy Rd, Houston, TX 77037",Houston,Texas,(346) 314-7305,,5,4,Auto repair shop,Monday: 9 AM to 7 PM | Tuesday: 9 AM to 7 PM | Wednesday: 9 AM to 7 PM | Thursday: 9 AM to 7 PM | Friday: 9 AM to 7 PM | Saturday: 9 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Venegas%20Auto%20Repair&query_place_id=ChIJH3Is1KK3QIYRnmoJek-JtoY,Meadowviewland,no,auto repair shop,auto_repair,2026-03-11T16:22:29.458Z,ChIJH3Is1KK3QIYRnmoJek-JtoY
4a,No Website + Some,P&A Complete Auto Repair,"13670 Westheimer Rd, Houston, TX 77077",Houston,Texas,(347) 500-0054,,5,6,"Auto repair shop, Brake shop, Car battery store, Mechanic, Transmission shop, Welder",Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=P%26A%20Complete%20Auto%20Repair&query_place_id=ChIJFSlrGIrdQIYRCNgrvrk-pV4,Westside,no,auto repair shop,auto_repair,2026-03-11T16:22:50.949Z,ChIJFSlrGIrdQIYRCNgrvrk-pV4
4a,No Website + Some,HE automotive repair,"13510 W Bellfort suite B22, Sugar Land, TX 77498",Sugar Land,Texas,(832) 330-1274,,5,10,Auto repair shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 2 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=HE%20automotive%20repair&query_place_id=ChIJITnCF7HnQIYRsMuel3H2oIQ,Westside,no,auto repair shop,auto_repair,2026-03-11T16:22:52.942Z,ChIJITnCF7HnQIYRsMuel3H2oIQ
4a,No Website + Some,Alexandra Auto Repair & Body Shop,"10200 Synott Rd #3, Sugar Land, TX 77498",Sugar Land,Texas,(832) 884-2954,,5,5,Auto repair shop,Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: 9 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Alexandra%20Auto%20Repair%20%26%20Body%20Shop&query_place_id=ChIJF0HeA3rnQIYRcWKyGg-DOck,Westside,no,auto repair shop,auto_repair,2026-03-11T16:22:55.094Z,ChIJF0HeA3rnQIYRcWKyGg-DOck
4a,No Website + Some,Space city auto repair,"8620 Richmond Ave. suite h, Houston, TX 77063",Houston,Texas,(713) 903-6252,,5,10,Mechanic,Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 6 PM | Saturday: 8 AM to 5 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Space%20city%20auto%20repair&query_place_id=ChIJCxrmB97DQIYR_PGXSByYZuA,Westside,no,auto repair shop,auto_repair,2026-03-11T16:23:03.407Z,ChIJCxrmB97DQIYR_PGXSByYZuA
