name,address,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,easy_url,easy_score,easy_review_count,google_review_count,facebook_review_count,madreviews_count,doctor_count,staff_count,site_score,comments
"רשת שיניים ד""ר בוחניק","
צייטלין 1, תל אביב-יפו",תל אביב,03-535-9115,https://shinaim.net/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA-%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D-%D7%91%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/,4.5,55,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%A8%D7%A9%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%91%D7%95%D7%97%D7%A0%D7%99%D7%A7%E2%80%AD/data=!4m7!3m6!1s0x151d4b5e6c6eeadf:0x11a66d487de1bafb!8m2!3d32.0796301!4d34.7815548!16s%2Fg%2F11gm8drn69!19sChIJ3-pubF5LHRUR-7rhfUhtphE?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:12.980935,https://www.facebook.com/reshetshinaim,,,https://easy.co.il/page/25984898,9.2,93,30,17,,17,36,9,Has online booking; Large team (17 doctors); Facebook only
"ד""ר לוי מיכאל- רופא שיניים","
בארי 11, תל אביב-יפו, 6468211",תל אביב,03-522-6691,http://www.levymichael.co.il/,4.8,38,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9C%D7%95%D7%99+%D7%9E%D7%99%D7%9B%D7%90%D7%9C-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b91945dbc21:0xb287102121dd847e!8m2!3d32.0834733!4d34.7868306!16s%2Fg%2F1tg9730q!19sChIJIbxdlJFLHRURfoTdISEQh7I?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:17.508480,,,,https://easy.co.il/page/2768909,9.1,41,12,,,6,1,8,Has online booking; Large team (6 doctors); No social media
tel-aviv dental clinic,"
צייטלין 1, תל אביב-יפו",תל אביב,03-691-5159,http://www.telavivdental.com/,4.7,40,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/tel-aviv+dental+clinic/data=!4m7!3m6!1s0x151d4b85bc7dad15:0x750c866ad3bf6a4d!8m2!3d32.0795853!4d34.7814627!16s%2Fg%2F119v57l1b!19sChIJFa19vIVLHRURTWq_02qGDHU?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:20.888682,https://www.facebook.com/1187831011317185,,,https://easy.co.il/page/10028641,8.2,40,27,63,,9,2,6,Has online booking; Large team (9 doctors); Facebook only
מרפאת שיניים,"
ויצמן‬ 14, תל אביב-יפו",תל אביב,03-523-2722,,3.0,,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4bb6b592ec39:0xafa514613d1b412d!8m2!3d32.081588!4d34.7892127!16s%2Fg%2F11k9myxhdp!19sChIJOeyStbZLHRURLUEbPWEUpa8?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:24.798991,https://www.facebook.com/136184163160008,,,https://easy.co.il/page/2661203,9.7,350,22,31,,,,0,No website
"ד""ר בן מילר, רופא שיניים בתל אביב -Tel Aviv Dentist Dr. Ben Miller","
ויצמן‬ 14, תל אביב-יפו, 6971017",תל אביב,053-773-6646,https://drbenmiller.com/en/home,4.9,123,רופא שיניים,שעות פעילות,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%91%D7%9F+%D7%9E%D7%99%D7%9C%D7%A8,+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-Tel+Aviv+Dentist+Dr.+Ben+Miller%E2%80%AD/data=!4m7!3m6!1s0x151d4bec01b207f1:0xd5a9992981acc02b!8m2!3d32.081588!4d34.7892127!16s%2Fg%2F1hhx9h947!19sChIJ8QeyAexLHRURK8CsgSmZqdU?authuser=0&hl=iw&rclk=1",מרפאת שיניים תל אביב יפו,2026-02-22T18:50:29.337459,https://www.facebook.com/Dr.Ben.Miller.TLV.Dental.Center,,,https://easy.co.il/page/27356172,,120,8,,,9,,8,Has online booking; Large team (9 doctors); Facebook only
"מרפאת שיניים ד""ר פוקס","
ר'ח, דובנוב 2, תל אביב-יפו",תל אביב,03-523-2414,,5.0,127,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%A4%D7%95%D7%A7%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x1502b357ed1de489:0xf09362d5f0f7811c!8m2!3d32.0752719!4d34.7835313!16s%2Fg%2F1vh7jx3w!19sChIJieQd7VezAhURHIH38NVik_A?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:32.960201,,,,,,,,,,,,0,No website
"ד""ר רון יהב - מרפאת אמייזינג סמייל, מרפאת שיניים בתל אביב","
משה שרת 66, תל אביב-יפו, 6250418",תל אביב,03-602-2922,http://www.amazing-smile.com/,5.0,306,רופא שיניים,שעות פעילות,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A8%D7%95%D7%9F+%D7%99%D7%94%D7%91+-+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%90%D7%9E%D7%99%D7%99%D7%96%D7%99%D7%A0%D7%92+%D7%A1%D7%9E%D7%99%D7%99%D7%9C,+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91%E2%80%AD/data=!4m7!3m6!1s0x151d4bec01adf96b:0xbea22cb7baba887e!8m2!3d32.0876716!4d34.7919328!16s%2Fg%2F11b86rlvz4!19sChIJa_mtAexLHRURfoi6urcsor4?authuser=0&hl=iw&rclk=1",מרפאת שיניים תל אביב יפו,2026-02-22T18:50:36.765964,,,,,,,,,,8,14,8,Has online booking; Large team (8 doctors); No social media
"דנטל פוטו-מכון לצילומי שיניים - סניף תל אביב - ויצמן 14, קומה 19","
IL 6423914, ויצמן‬ 14, תל אביב-יפו",תל אביב,03-778-3733,http://www.dentalphoto.co.il/,4.8,51,צילום שיניים,שעות פעילות,"https://www.google.com/maps/place/%D7%93%D7%A0%D7%98%D7%9C+%D7%A4%D7%95%D7%98%D7%95-%D7%9E%D7%9B%D7%95%D7%9F+%D7%9C%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+-+%D7%A1%D7%A0%D7%99%D7%A3+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%95%D7%99%D7%A6%D7%9E%D7%9F+14,+%D7%A7%D7%95%D7%9E%D7%94+19%E2%80%AD/data=!4m7!3m6!1s0x151d4b9122aa4be9:0xe7f0757a95196b33!8m2!3d32.081678!4d34.789278!16s%2Fg%2F11gffpvwps!19sChIJ6UuqIpFLHRURM2sZlXp18Oc?authuser=0&hl=iw&rclk=1",מרפאת שיניים תל אביב יפו,2026-02-22T18:50:40.378518,https://www.facebook.com/dentalphoto8/?fref=ts,,,https://easy.co.il/page/10017014,8.9,24,,03,,,,5,Has online booking; Facebook only
מכבידנט תל אביב - ויצמן,"
ויצמן‬ 14, תל אביב-יפו",תל אביב,03-697-0000,,3.0,26,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%9B%D7%91%D7%99%D7%93%D7%A0%D7%98+%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-+%D7%95%D7%99%D7%A6%D7%9E%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4bb959e88efb:0x546215dc41fd34b7!8m2!3d32.0814278!4d34.7898728!16s%2Fg%2F11rq2nz4w1!19sChIJ-47oWblLHRURtzT9QdwVYlQ?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:44.466373,,,,https://easy.co.il/page/27153488,6.8,26,3,,,,,0,No website
"ד""ר אריה מימון","
צייטלין 1, תל אביב-יפו, 6495601",תל אביב,03-691-5159,http://www.telavivdental.com/,4.9,41,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%A8%D7%99%D7%94+%D7%9E%D7%99%D7%9E%D7%95%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4b7c866961f3:0xc5af764d9b692206!8m2!3d32.0796301!4d34.7815548!16s%2Fg%2F11f5t3pkcf!19sChIJ82FphnxLHRURBiJpm012r8U?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:49.885591,,,,https://easy.co.il/page/3438320,9.0,49,20,,,9,2,6,Has online booking; Large team (9 doctors); No social media
