segment,segment_name,name,city,phone,website,rating,review_count,site_score,facebook_url,instagram_url,easy_url,easy_score,doctor_count,google_maps_url,comments
1,Leaky Funnel,"ד""ר מיטל שגב נויהוף Dr. Meital Segev רופאת שיניים מומחית לילדים ונוער",תל אביב,055-936-6609,https://instagram.com/dr.meital.segev,5.0,24,8,https://developers.facebook.com/docs/instagram,https://about.instagram.com/,https://easy.co.il/page/26585514,9.3,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9E%D7%99%D7%98%D7%9C+%D7%A9%D7%92%D7%91+%D7%A0%D7%95%D7%99%D7%94%D7%95%D7%A3+Dr.+Meital+Segev+%D7%A8%D7%95%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%AA+%D7%9C%D7%99%D7%9C%D7%93%D7%99%D7%9D+%D7%95%D7%A0%D7%95%D7%A2%D7%A8%E2%80%AD/data=!4m7!3m6!1s0x151d4bb6eff4716f:0x6a37eedae8172962!8m2!3d32.0900539!4d34.7794553!16s%2Fg%2F11frdzgg50!19sChIJb3H077ZLHRURYikX6NruN2o?authuser=0&hl=iw&rclk=1,Has online booking
1,Leaky Funnel,"מרפאת שיניים בבת ים - רופא שיניים בבת ים: ד""ר עמוס בוחניק",בת ים,074-774-6118,https://shinaim.net/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA-%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D-%D7%91%D7%91%D7%AA-%D7%99%D7%9D/,5.0,24,9,https://www.facebook.com/reshetshinaim,,,,33,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%91%D7%AA+%D7%99%D7%9D+-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%91%D7%AA+%D7%99%D7%9D:+%D7%93%22%D7%A8+%D7%A2%D7%9E%D7%95%D7%A1+%D7%91%D7%95%D7%97%D7%A0%D7%99%D7%A7%E2%80%AD/data=!4m7!3m6!1s0x1502b3aea90af5ff:0xf1e1f112f3a3ffd8!8m2!3d32.0147904!4d34.763117!16s%2Fg%2F11k9kdtr9z!19sChIJ__UKqa6zAhUR2P-j8xLx4fE?authuser=0&hl=iw&rclk=1,Has online booking; Large team (33 doctors); Facebook only
1,Leaky Funnel,מרפאת הלפרין,בני ברק,03-578-0088,http://m-halprin.co.il/,5.0,20,9,https://www.facebook.com/profile.php?id=61554576972728,,,,24,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%94%D7%9C%D7%A4%D7%A8%D7%99%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4a3b41473ef1:0x42016fadb58ab5ef!8m2!3d32.0836262!4d34.833706!16s%2Fg%2F11fnwhczz4!19sChIJ8T5HQTtKHRUR77WKta1vAUI?authuser=0&hl=iw&rclk=1,Has online booking; Large team (24 doctors); Facebook only
1,Leaky Funnel,"Kaplavi Medical השתלות שיניים, שתלים דנטליים ושיקום הפה",בני ברק,03-679-0790,http://www.kaplavimedical.com/,5.0,28,7,https://www.facebook.com/DrKaplavi/?hc_ref=NEWSFEED&fref=nf,,,,4,"https://www.google.com/maps/place/Kaplavi+Medical+%D7%94%D7%A9%D7%AA%D7%9C%D7%95%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D,+%D7%A9%D7%AA%D7%9C%D7%99%D7%9D+%D7%93%D7%A0%D7%98%D7%9C%D7%99%D7%99%D7%9D+%D7%95%D7%A9%D7%99%D7%A7%D7%95%D7%9D+%D7%94%D7%A4%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151d4a2be79befb7:0xd08d2f4ec3b3c5f7!8m2!3d32.094068!4d34.823238!16s%2Fg%2F11d_1rynky!19sChIJt--b5ytKHRUR98Wzw04vjdA?authuser=0&hl=iw&rclk=1",Facebook only
1,Leaky Funnel,"ד""ר רונן אופק - מרפאת שיניים TLV Smile",תל אביב,077-804-4909,https://www.tlvsmile.co.il/,4.9,27,9,https://www.facebook.com/101560268306622,https://www.instagram.com/telavivsmile/,https://easy.co.il/page/3581987,8.6,14,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A8%D7%95%D7%A0%D7%9F+%D7%90%D7%95%D7%A4%D7%A7+-+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+TLV+Smile%E2%80%AD/data=!4m7!3m6!1s0x151d4bf3727ed913:0x9d46b431839103c0!8m2!3d32.0701122!4d34.786004!16s%2Fg%2F1thsztnj!19sChIJE9l-cvNLHRURwAORgzG0Rp0?authuser=0&hl=iw&rclk=1,Has online booking; Large team (14 doctors)
1,Leaky Funnel,"ד""ר יעקב בן אבו Dr. Yaakov Benabou",גבעתיים,054-969-8400,http://dr-yaakovbenabou.com/,4.9,28,7,,,,,5,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%99%D7%A2%D7%A7%D7%91+%D7%91%D7%9F+%D7%90%D7%91%D7%95+Dr.+Yaakov+Benabou%E2%80%AD/data=!4m7!3m6!1s0x151d4bda9ac6faff:0x1a7b680dc2949804!8m2!3d32.074798!4d34.8092655!16s%2Fg%2F11tmyzj436!19sChIJ__rGmtpLHRURBJiUwg1oexo?authuser=0&hl=iw&rclk=1,Has online booking; Large team (5 doctors); No social media
1,Leaky Funnel,"Dental Aviv Dr Leslie Chen Mrejen - רופא שיניים דנטל אביב ד""ר לסלי חן מרג'ן",תל אביב,053-230-5127,https://dentalaviv.com/,4.9,28,8,,,,,,https://www.google.com/maps/place/Dental+Aviv+Dr+Leslie+Chen+Mrejen+-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%D7%A0%D7%98%D7%9C+%D7%90%D7%91%D7%99%D7%91+%D7%93%22%D7%A8+%D7%9C%D7%A1%D7%9C%D7%99+%D7%97%D7%9F+%D7%9E%D7%A8%D7%92%27%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4d1ae3665ee3:0x88b190f9d88ee84b!8m2!3d32.0721969!4d34.7734718!16s%2Fg%2F11pr3l6ggh!19sChIJ415m4xpNHRURS-iO2PmQsYg?authuser=0&hl=iw&rclk=1,Has online booking; No social media
1,Leaky Funnel,"ד""ר הרציאנו מורן - מומחית לטיפולי שורש במבוגרים וילדים, אנדודונטית",תל אביב,03-544-0396,https://herteanu.co.il/,4.8,23,10,https://www.facebook.com/,https://www.instagram.com//,,,8,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%94%D7%A8%D7%A6%D7%99%D7%90%D7%A0%D7%95+%D7%9E%D7%95%D7%A8%D7%9F+-+%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%AA+%D7%9C%D7%98%D7%99%D7%A4%D7%95%D7%9C%D7%99+%D7%A9%D7%95%D7%A8%D7%A9+%D7%91%D7%9E%D7%91%D7%95%D7%92%D7%A8%D7%99%D7%9D+%D7%95%D7%99%D7%9C%D7%93%D7%99%D7%9D,+%D7%90%D7%A0%D7%93%D7%95%D7%93%D7%95%D7%A0%D7%98%D7%99%D7%AA%E2%80%AD/data=!4m7!3m6!1s0x151d4c7873fe624d:0xaaa86160e61aa212!8m2!3d32.0702285!4d34.7838706!16s%2Fg%2F1tg0b21s!19sChIJTWL-c3hMHRUREqIa5mBhqKo?authuser=0&hl=iw&rclk=1",Has online booking; Large team (8 doctors)
1,Leaky Funnel,"מרפאת שיניים ד""ר ברון רפאל",בני ברק,03-616-5352,http://www.refael4u.co.il/,4.8,22,9,https://www.facebook.com/%D7%94%D7%A9%D7%AA%D7%9C%D7%95%D7%AA-%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D-%D7%95%D7%A9%D7%AA%D7%9C%D7%99%D7%9D-%D7%96%D7%99%D7%92%D7%95%D7%9E%D7%98%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%9D-%D7%90%D7%97%D7%93-%D7%93%D7%A8-%D7%91%D7%91%D7%A7%D7%95%D7%91-%D7%A8%D7%A4%D7%90%D7%9C-106350111089940/,https://www.instagram.com/drbaron_clinic/?igsh=ajUxdXdyN3hrM2hy,,,5,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%91%D7%A8%D7%95%D7%9F+%D7%A8%D7%A4%D7%90%D7%9C%E2%80%AD/data=!4m7!3m6!1s0x151d4bf6a2f79397:0x85602c6d0722e153!8m2!3d32.0817479!4d34.8298979!16s%2Fg%2F11g2zyttkk!19sChIJl5P3ovZLHRURU-EiB20sYIU?authuser=0&hl=iw&rclk=1,Has online booking; Large team (5 doctors)
1,Leaky Funnel,מרפאת שיניים ד״ר סייף (המרכז להשתלות שיניים ושיקום הפה),פתח תקווה,03-600-6252,http://www.drsaif.co.il/,4.7,20,7,https://www.facebook.com/SaifDentalClinic/?fref=ts,https://www.instagram.com/drsaifclinic1?igsh=dmJmcThjenVmMHFi&utm_source=qr,,,7,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%D7%B4%D7%A8+%D7%A1%D7%99%D7%99%D7%A3+%28%D7%94%D7%9E%D7%A8%D7%9B%D7%96+%D7%9C%D7%94%D7%A9%D7%AA%D7%9C%D7%95%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%95%D7%A9%D7%99%D7%A7%D7%95%D7%9D+%D7%94%D7%A4%D7%94%29%E2%80%AD/data=!4m7!3m6!1s0x151d37ea5979f7ff:0x7ae7b1087bd4dd42!8m2!3d32.0914882!4d34.8815695!16s%2Fg%2F11grvkck2x!19sChIJ__d5Weo3HRURQt3Uewix53o?authuser=0&hl=iw&rclk=1,Has online booking; Large team (7 doctors)
1,Leaky Funnel,Стоматологическая клиника доктора Островского,בת ים,052-912-2882,https://implant-center.co.il/ru/,4.6,28,7,https://www.facebook.com/implant.center.co.il,,,,,https://www.google.com/maps/place/%D0%A1%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F+%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0+%D0%B4%D0%BE%D0%BA%D1%82%D0%BE%D1%80%D0%B0+%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE/data=!4m7!3m6!1s0x1502b36d2befd95f:0x90d067074aabdcdf!8m2!3d32.0123923!4d34.7520464!16s%2Fg%2F11dfj0gpmp!19sChIJX9nvK22zAhUR39yrSgdn0JA?authuser=0&hl=iw&rclk=1,Has online booking; Facebook only
1,Leaky Funnel,ההסתדרות לרפואת שיניים בישראל,תל אביב,03-628-3700,http://www.ida.org.il/,4.5,24,8,https://www.facebook.com/Israel.dental.association,https://www.instagram.com/israel.dental.association/,https://easy.co.il/page/26804652,,,https://www.google.com/maps/place/%D7%94%D7%94%D7%A1%D7%AA%D7%93%D7%A8%D7%95%D7%AA+%D7%9C%D7%A8%D7%A4%D7%95%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%99%D7%A9%D7%A8%D7%90%D7%9C%E2%80%AD/data=!4m7!3m6!1s0x151d4c7f513377a3:0xbe52e34e0e58b304!8m2!3d32.077919!4d34.7736473!16s%2Fg%2F1tfq1_w4!19sChIJo3czUX9MHRURBLNYDk7jUr4?authuser=0&hl=iw&rclk=1,Has online booking
