name,address,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,easy_url,easy_score,easy_review_count,google_review_count,facebook_review_count,madreviews_count,doctor_count,staff_count,site_score,comments,segment,segment_name
ויצמן 14,"
ויצמן‬ 14, תל אביב-יפו",תל אביב,03-609-5257,,4.4,353,לינה וארוחת בוקר,,https://www.google.com/maps/place/%D7%95%D7%99%D7%A6%D7%9E%D7%9F+14%E2%80%AD/data=!4m7!3m6!1s0x151d4b9117a03afd:0x1f44388038a11d2a!8m2!3d32.0816348!4d34.7892261!16s%2Fg%2F11fnwhhsrs!19sChIJ_TqgF5FLHRURKh2hOIA4RB8?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:03:45.123254,,,,https://easy.co.il/page/27439357,,343,10,,,,,0,No website,4b,Invisible Good - High Reviews
דר פרייס אריאלה רופאת שיניים - מומחית לשיקום הפה,"
ברודצקי 43 א, קומה 3, תל אביב-יפו",תל אביב,03-534-0604,,4.1,,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%A8+%D7%A4%D7%A8%D7%99%D7%99%D7%A1+%D7%90%D7%A8%D7%99%D7%90%D7%9C%D7%94+%D7%A8%D7%95%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+-+%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%AA+%D7%9C%D7%A9%D7%99%D7%A7%D7%95%D7%9D+%D7%94%D7%A4%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151d4966c3277243:0xe05f5bf04a77eb4c!8m2!3d32.1118678!4d34.7974995!16s%2Fg%2F11svbv_vy8!19sChIJQ3Inw2ZJHRURTOt3SvBbX-A?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:04:06.996137,,,,,,,,,,,,0,No website,4,Invisible Good Clinics
"ד""ר אסא אלון","
דר אסא אלון קליני מוס 10, תל אביב-יפו",תל אביב,03-523-2722,,4.3,6,רופא שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%A1%D7%90+%D7%90%D7%9C%D7%95%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4b1045578465:0x73533f2c118feffb!8m2!3d32.051832!4d34.805155!16s%2Fg%2F11b6v6jhzl!19sChIJZYRXRRBLHRUR---PESw_U3M?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:04:55.575802,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"מרפאת שיניים רמת גן - סיון שן בע""מ","
ארלוזורוב 11, רמת גן",רמת גן,03-673-6556,,4.0,40,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%A8%D7%9E%D7%AA+%D7%92%D7%9F+-+%D7%A1%D7%99%D7%95%D7%9F+%D7%A9%D7%9F+%D7%91%D7%A2%22%D7%9E%E2%80%AD/data=!4m7!3m6!1s0x151d4bb5acfa3e79:0xa2539a6a781558a8!8m2!3d32.0793749!4d34.8134905!16s%2Fg%2F1td3bgpl!19sChIJeT76rLVLHRURqFgVeGqaU6I?authuser=0&hl=iw&rclk=1,מרפאת שיניים רמת גן גבעתיים,2026-02-22T19:05:53.771682,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
"ד""ר לאה קידר - רופאת שיניים","
בלפור 79, בת ים",בת ים,052-912-5352,,4.3,6,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9C%D7%90%D7%94+%D7%A7%D7%99%D7%93%D7%A8+-+%D7%A8%D7%95%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x1502b3071026c017:0x304aed27995fd516!8m2!3d32.0219154!4d34.745649!16s%2Fg%2F11fs__j0_z!19sChIJF8AmEAezAhURFtVfmSftSjA?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:09:42.244918,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"מרפאת שיניים ד""ר בליק","
ירושלים 69, בת ים",בת ים,054-203-9957,,4.1,16,רופא שיניים,,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%91%D7%9C%D7%99%D7%A7%E2%80%AD/data=!4m7!3m6!1s0x1502b33da8a58ea9:0x1dec50d91c053401!8m2!3d32.026234!4d34.753289!16s%2Fg%2F11bx4lld21!19sChIJqY6lqD2zAhURATQFHNlQ7B0?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:10:33.140134,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
מרפאת שיניים,"
בלפור 78, בת ים",בת ים,03-506-9928,,4.1,,רופא שיניים,,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x1502b32d49bc67ab:0x86ca1af20891f38d!8m2!3d32.0203196!4d34.7453278!16s%2Fg%2F11fn98ltpv!19sChIJq2e8SS2zAhURjfORCPIayoY?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:11:18.064514,,,,,,,,,,,,0,No website,4,Invisible Good Clinics
הוריקו,"
יוספטל 21, בת ים",בת ים,03-506-3949,,4.0,4,מרפאת שיניים,,https://www.google.com/maps/place/%D7%94%D7%95%D7%A8%D7%99%D7%A7%D7%95%E2%80%AD/data=!4m7!3m6!1s0x1502b317380be901:0x59deeebb3c5fa88d!8m2!3d32.0188933!4d34.742882!16s%2Fg%2F1tgc1_nb!19sChIJAekLOBezAhURjahfPLvu3lk?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:13:21.128016,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר אילטוב מיכאל","
הרב ניסנבאום 37, בת ים",בת ים,054-527-8181,,4.0,8,רופא שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%99%D7%9C%D7%98%D7%95%D7%91+%D7%9E%D7%99%D7%9B%D7%90%D7%9C%E2%80%AD/data=!4m7!3m6!1s0x1502b33e6d6a1cb3:0x8167d2f4c17f7fb7!8m2!3d32.013338!4d34.752433!16s%2Fg%2F1w0mdztn!19sChIJsxxqbT6zAhURt39_wfTSZ4E?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:13:28.509157,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"חיוך פור יו בע""מ","
ירושלים 69, בת ים",בת ים,03-508-1212,,4.0,,רופא שיניים,,https://www.google.com/maps/place/%D7%97%D7%99%D7%95%D7%9A+%D7%A4%D7%95%D7%A8+%D7%99%D7%95+%D7%91%D7%A2%22%D7%9E%E2%80%AD/data=!4m7!3m6!1s0x1502b347474060bd:0xa31fe377c45d4850!8m2!3d32.0259818!4d34.7532255!16s%2Fg%2F1thkp13_!19sChIJvWBAR0ezAhURUEhdxHfjH6M?authuser=0&hl=iw&rclk=1,מרפאת שיניים חולון בת ים,2026-02-22T19:15:43.395336,,,,,,,,,,,,0,No website,4,Invisible Good Clinics
