name,address,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,easy_url,easy_score,easy_review_count,google_review_count,facebook_review_count,madreviews_count,doctor_count,staff_count,site_score,comments,segment,segment_name
"מרפאת שיניים ד""ר פוקס","
ר'ח, דובנוב 2, תל אביב-יפו",תל אביב,03-523-2414,,5.0,127,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%A4%D7%95%D7%A7%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x1502b357ed1de489:0xf09362d5f0f7811c!8m2!3d32.0752719!4d34.7835313!16s%2Fg%2F1vh7jx3w!19sChIJieQd7VezAhURHIH38NVik_A?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:50:32.960201,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
איאן מרכז לרפואת שיניים AYAN Dental Center,"
יגאל אלון 157, כניסה א, תל אביב-יפו, 6744365",תל אביב,052-305-7440,,4.8,59,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%90%D7%99%D7%90%D7%9F+%D7%9E%D7%A8%D7%9B%D7%96+%D7%9C%D7%A8%D7%A4%D7%95%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+AYAN+Dental+Center%E2%80%AD/data=!4m7!3m6!1s0x151d4b63aa5c9f43:0xd988bd6eda6b0321!8m2!3d32.0786917!4d34.7972495!16s%2Fg%2F11mx3r8l19!19sChIJQ59cqmNLHRURIQNr2m69iNk?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T18:51:22.886006,https://www.facebook.com/2329831123749697,,,https://easy.co.il/page/10057808,9.2,60,08,11,,,,0,No website,4b,Invisible Good - High Reviews
Dr. Evgenia Zaikin - ד”ר יבגניה זאיקין,"
מגדל אקרו, יצחק שדה 8, 18th floor, תל אביב-יפו, 6777508",תל אביב,055-997-9788,,5.0,5,רופא שיניים,שעות פעילות,https://www.google.com/maps/place/Dr.+Evgenia+Zaikin+-+%D7%93%E2%80%9D%D7%A8+%D7%99%D7%91%D7%92%D7%A0%D7%99%D7%94+%D7%96%D7%90%D7%99%D7%A7%D7%99%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x82b5ea921058c417:0x4b2f4a0e1d869b19!8m2!3d32.064921!4d34.7855908!16s%2Fg%2F11zhl_j6tc!19sChIJF8RYEJLqtYIRGZuGHQ5KL0s?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:00:47.435902,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
Dr.Michael Perez Davidi מישל פרץ דוידי,"
שדרות דוד בן גוריון 92, תל אביב-יפו, 6451513",תל אביב,03-603-8038,,5.0,8,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/Dr.Michael+Perez+Davidi+%D7%9E%D7%99%D7%A9%D7%9C+%D7%A4%D7%A8%D7%A5+%D7%93%D7%95%D7%99%D7%93%D7%99%E2%80%AD/data=!4m7!3m6!1s0x151d360654165ec7:0x4544956b7f9b4c3b!8m2!3d32.0817381!4d34.7784444!16s%2Fg%2F11c6ps2fx2!19sChIJx14WVAY2HRURO0ybf2uVREU?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:02:18.804401,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר שלומי לדרמן - מרכז רפואי מתקדם להשתלות שיניים ושיקום הפה","
דרך מנחם בגין 150, תל אביב-יפו, 6492105",תל אביב,,,4.6,38,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A9%D7%9C%D7%95%D7%9E%D7%99+%D7%9C%D7%93%D7%A8%D7%9E%D7%9F+-+%D7%9E%D7%A8%D7%9B%D7%96+%D7%A8%D7%A4%D7%95%D7%90%D7%99+%D7%9E%D7%AA%D7%A7%D7%93%D7%9D+%D7%9C%D7%94%D7%A9%D7%AA%D7%9C%D7%95%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%95%D7%A9%D7%99%D7%A7%D7%95%D7%9D+%D7%94%D7%A4%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151d4b321544244d:0x428ef6073992b834!8m2!3d32.078797!4d34.795095!16s%2Fg%2F11gnpkss4q!19sChIJTSREFTJLHRURNLiSOQf2jkI?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:02:25.685061,https://www.facebook.com/766400856758014,,,https://easy.co.il/page/9232308,9.0,79,21,03,,,,0,No website,4b,Invisible Good - High Reviews
"ד""ר קריאף אורית מרפאת שיניים","
בן יהודה 154, תל אביב-יפו, 63472",תל אביב,03-602-1299,,4.6,9,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A7%D7%A8%D7%99%D7%90%D7%A3+%D7%90%D7%95%D7%A8%D7%99%D7%AA+%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b8a80eb01b3:0x596fe7465cd2de75!8m2!3d32.0863713!4d34.7730348!16s%2Fg%2F11cphryxr4!19sChIJswHrgIpLHRURdd7SXEbnb1k?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:02:54.334300,,,,https://easy.co.il/page/10045773,8.7,6,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר רונית מאור","
דרך נמיר מרדכי 125, תל אביב-יפו",תל אביב,03-544-0185,,5.0,3,רופא שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%A8%D7%95%D7%A0%D7%99%D7%AA+%D7%9E%D7%90%D7%95%D7%A8%E2%80%AD/data=!4m7!3m6!1s0x151d495f1f379c9b:0x3b6cc78c7f051c4c!8m2!3d32.109816!4d34.792126!16s%2Fg%2F11b6v9x9lm!19sChIJm5w3H19JHRURTBwFf4zHbDs?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:04:45.165202,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
הירש עמי,"
בניין המגדל, דניאל פריש 3, תל אביב-יפו, 6473104",תל אביב,03-528-2772,,4.6,17,רופא,,https://www.google.com/maps/place/%D7%94%D7%99%D7%A8%D7%A9+%D7%A2%D7%9E%D7%99%E2%80%AD/data=!4m7!3m6!1s0x151d4b8048c6b0ef:0x5909d06fb89011ae!8m2!3d32.0745334!4d34.7825809!16s%2Fg%2F1tdtyfg3!19sChIJ77DGSIBLHRURrhGQuG_QCVk?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:04:49.476623,,,,,,,,,,,,0,No website,4b,Invisible Good - High Reviews
דר בשארה עבד רופא שיניים,"
תוצרת הארץ.3 פתח תקווה, אורי צבי גרינברג 25, תל אביב-יפו",תל אביב,050-747-9648,,5.0,6,מרפאת שיניים,שעות פעילות,https://www.google.com/maps/place/%D7%93%D7%A8+%D7%91%D7%A9%D7%90%D7%A8%D7%94+%D7%A2%D7%91%D7%93+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d49f8a36aab8f:0x5e7e321e171d08f2!8m2!3d32.1307366!4d34.7924874!16s%2Fg%2F11m_56y4bk!19sChIJj6tqo_hJHRUR8ggdFx4yfl4?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:04:52.550538,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
"ד""ר אסא אלון","
דר אסא אלון קליני מוס 10, תל אביב-יפו",תל אביב,03-523-2722,,4.3,6,רופא שיניים,,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%90%D7%A1%D7%90+%D7%90%D7%9C%D7%95%D7%9F%E2%80%AD/data=!4m7!3m6!1s0x151d4b1045578465:0x73533f2c118feffb!8m2!3d32.051832!4d34.805155!16s%2Fg%2F11b6v6jhzl!19sChIJZYRXRRBLHRUR---PESw_U3M?authuser=0&hl=iw&rclk=1,מרפאת שיניים תל אביב יפו,2026-02-22T19:04:55.575802,,,,,,,,,,,,0,No website,4a,Invisible Good - Some Reviews
