clinic_name,reviewer_name,stars,review_text,review_date,google_maps_url
"ד""ר לוי מיכאל- רופא שיניים",נורית שמר,5,"תוצאה מושלמת לגשר של שלושה כתרים קידמיים, חזרתי לחייך (: תודה רבה מיכאל וולנטינה על עבודה מקצועית!",לפני 9 חודשים,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9C%D7%95%D7%99+%D7%9E%D7%99%D7%9B%D7%90%D7%9C-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b91945dbc21:0xb287102121dd847e!8m2!3d32.0834733!4d34.7868306!16s%2Fg%2F1tg9730q!19sChIJIbxdlJFLHRURfoTdISEQh7I?authuser=0&hl=iw&rclk=1
"ד""ר לוי מיכאל- רופא שיניים",משה דולב,5,"ממליץ, רופא בחסד עליון, אדם לבבי, ומחירים ממש טובים, מומלץ בחום.",תאריך העריכה: לפני 7 שנים,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9C%D7%95%D7%99+%D7%9E%D7%99%D7%9B%D7%90%D7%9C-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b91945dbc21:0xb287102121dd847e!8m2!3d32.0834733!4d34.7868306!16s%2Fg%2F1tg9730q!19sChIJIbxdlJFLHRURfoTdISEQh7I?authuser=0&hl=iw&rclk=1
"ד""ר לוי מיכאל- רופא שיניים",Eyal Rothfeld,5,"אשתי ואני לקוחות חוזרים  של ד""ר מיכאל לוי מזה כ-30 שנה. הוא היה שם תמיד עבורנו במקרי חירום וטיפל בנו תמיד במקצועיות,  תוך כדי מציאת פתרונות יצירתיים וזאת בזכות החשיבה יוצאת הדופן שלו מחוץ לקופסא. הוא ניחן בסבלנות אין קץ, דייקנות ועקשנות יוצאת דופן, ותמיד הוא עושה את האקסטרה מייל כדי לסיים לחלוטין  את הטיפול, גם אם זמן הטיפול מתארך מעל למצופה. אני כמובן ממליץ עליו בחום. הוא מאוד אנושי ושירותי. בנוסף, המחירים שהוא גובה הינם סבירים והוא מתגמש לטובת הלקוח ככל שהוא יכול.",לפני 2 שנים,https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%9C%D7%95%D7%99+%D7%9E%D7%99%D7%9B%D7%90%D7%9C-+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4b91945dbc21:0xb287102121dd847e!8m2!3d32.0834733!4d34.7868306!16s%2Fg%2F1tg9730q!19sChIJIbxdlJFLHRURfoTdISEQh7I?authuser=0&hl=iw&rclk=1
tel-aviv dental clinic,ע טרי,5,"ממליצה בחום על ד”ר אריה מימון – רופא מקצועי, בעל ידע נרחב, סבלני ואנושי. הגעתי אליו לאחר שביקרתי אצל מספר רופאי שיניים, והוא זה שאיתר במדויק את הבעיות בשיניים שלי. עברתי טיפול מקיף שכלל שתלים וכתרים בכל הפה, ואני מרוצה מאוד מהתוצאה הסופית. המרפאה נעימה, נקייה ומתקדמת. ממליצה מאוד",לפני חודש,https://www.google.com/maps/place/tel-aviv+dental+clinic/data=!4m7!3m6!1s0x151d4b85bc7dad15:0x750c866ad3bf6a4d!8m2!3d32.0795853!4d34.7814627!16s%2Fg%2F119v57l1b!19sChIJFa19vIVLHRURTWq_02qGDHU?authuser=0&hl=iw&rclk=1
tel-aviv dental clinic,אייל שוסטר,5,"יום שבת , התקשרתי לבדוק אם אפשר לקבל עזרה ראשונה , קיבלתי מענה מיידי , טיפול מקצועי  , ממליץ בחום . תודה רבה לכם",לפני 4 חודשים,https://www.google.com/maps/place/tel-aviv+dental+clinic/data=!4m7!3m6!1s0x151d4b85bc7dad15:0x750c866ad3bf6a4d!8m2!3d32.0795853!4d34.7814627!16s%2Fg%2F119v57l1b!19sChIJFa19vIVLHRURTWq_02qGDHU?authuser=0&hl=iw&rclk=1
tel-aviv dental clinic,Noy Stll,5,"מרפאת שיניים מעולה, תמיד מקבלים שירות מהיר, מקצועי והוגן.",לפני שבועיים,https://www.google.com/maps/place/tel-aviv+dental+clinic/data=!4m7!3m6!1s0x151d4b85bc7dad15:0x750c866ad3bf6a4d!8m2!3d32.0795853!4d34.7814627!16s%2Fg%2F119v57l1b!19sChIJFa19vIVLHRURTWq_02qGDHU?authuser=0&hl=iw&rclk=1
"ד""ר בן מילר, רופא שיניים בתל אביב -Tel Aviv Dentist Dr. Ben Miller",Ami Magori Cohen,5,בוקר טוב😊 אין מה לדבר הסד את המצב משפר יש להדגיש ולומר שכל זאת באופן ניכר עם הסד הדיגיטלי המצב נהיה נורמלי את השרירים הרפה את המצב ריפא הסד הקשיח את מצבי השביח ולא לשכוח מיד הרגשתי איתו נוח תודה מקרב לב🙏🏻 שבוע טוב ומלבב 🌻,לפני שבועיים,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%91%D7%9F+%D7%9E%D7%99%D7%9C%D7%A8,+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-Tel+Aviv+Dentist+Dr.+Ben+Miller%E2%80%AD/data=!4m7!3m6!1s0x151d4bec01b207f1:0xd5a9992981acc02b!8m2!3d32.081588!4d34.7892127!16s%2Fg%2F1hhx9h947!19sChIJ8QeyAexLHRURK8CsgSmZqdU?authuser=0&hl=iw&rclk=1"
"ד""ר בן מילר, רופא שיניים בתל אביב -Tel Aviv Dentist Dr. Ben Miller",Assaf Bin,5,עברתי עקירה. היה מושלם. ללא כאבים כלל. אפילו לא מיחוש קל. פשוט כלום. כמו אחרי תספורת. לא היו גם דימומים או נפיחות. ממליץ,לפני חודש,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%91%D7%9F+%D7%9E%D7%99%D7%9C%D7%A8,+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-Tel+Aviv+Dentist+Dr.+Ben+Miller%E2%80%AD/data=!4m7!3m6!1s0x151d4bec01b207f1:0xd5a9992981acc02b!8m2!3d32.081588!4d34.7892127!16s%2Fg%2F1hhx9h947!19sChIJ8QeyAexLHRURK8CsgSmZqdU?authuser=0&hl=iw&rclk=1"
"ד""ר בן מילר, רופא שיניים בתל אביב -Tel Aviv Dentist Dr. Ben Miller",נורית שאשא,5,"היום הגעתי לנקודת סיום של טפול  מורכב ומתמשך במרפאה של ד'ר מילר .חוויתי טפול מסור,מקצועי ,אדיב ומתחשב .צוות המרפאה הוא כזה שמאפשר זמינות של תורים .המרפאה עצמה מאירת עיניים בכל המובנים ,כך שהבקור במרפאת שיניים שבדרך כלל נחשב לארוע לא חביב ....,היה  בבחינת חוויה מתקנת .",לפני 3 חודשים,"https://www.google.com/maps/place/%D7%93%22%D7%A8+%D7%91%D7%9F+%D7%9E%D7%99%D7%9C%D7%A8,+%D7%A8%D7%95%D7%A4%D7%90+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%91%D7%AA%D7%9C+%D7%90%D7%91%D7%99%D7%91+-Tel+Aviv+Dentist+Dr.+Ben+Miller%E2%80%AD/data=!4m7!3m6!1s0x151d4bec01b207f1:0xd5a9992981acc02b!8m2!3d32.081588!4d34.7892127!16s%2Fg%2F1hhx9h947!19sChIJ8QeyAexLHRURK8CsgSmZqdU?authuser=0&hl=iw&rclk=1"
"מרפאת שיניים ד""ר פוקס",בצלאל קדם,5,היו לי כאבים בשן בינה וחיפשתי מקום שבו אני יכול להתייעץ עם הרופא. במקום לעקור העדפתי לשמור על השן ולטפל בה. ראיתי שמיקי הוא בן של רופא שיניים ויש לו הרבה ניסיון. ראיתי גם המון תגובות חיוביות והחלטתי להגיע לבדיקה. היחס היה חברי ונעים גם מצידו של מיקי וגם מצידו של אדם (הרופא הנוסף במרפאה) שגם הוא היה מקצוען ואדיב. אחרי הבדיקה ישבתי עם מיקי ושאלתי אותו שאלות הוא ענה לי אחת אחת וככה הצלחתי לבחור את הטיפול שהכי מתאים לי. הטיפול היה מהיר וללא כאב. עברו מאז כמה חודשים שבהם יישמתי את העצות של מיקי ואני שמח להגיד שהכאבים לא חזרו.  תודה מיקי תודה אדם ממליץ בחום,לפני 4 חודשים,https://www.google.com/maps/place/%D7%9E%D7%A8%D7%A4%D7%90%D7%AA+%D7%A9%D7%99%D7%A0%D7%99%D7%99%D7%9D+%D7%93%22%D7%A8+%D7%A4%D7%95%D7%A7%D7%A1%E2%80%AD/data=!4m7!3m6!1s0x1502b357ed1de489:0xf09362d5f0f7811c!8m2!3d32.0752719!4d34.7835313!16s%2Fg%2F1vh7jx3w!19sChIJieQd7VezAhURHIH38NVik_A?authuser=0&hl=iw&rclk=1
