name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,business_status,has_website,search_term,vertical,scraped_at,place_id
Outdoor Makeover and Living Spaces,"2852 Piedmont Rd NE, Atlanta, GA 30305, USA",Atlanta,GA,(470) 518-0445,https://outdoormakeover.net/,4.8,318,"roofing_contractor, swimming_pool, general_contractor, furniture_store, home_improvement_store, home_goods_store, service, store, sports_activity_location, point_of_interest, establishment",Monday: 8:30 AM – 5:30 PM | Tuesday: 8:30 AM – 5:30 PM | Wednesday: 8:30 AM – 5:30 PM | Thursday: 8:30 AM – 5:30 PM | Friday: 8:30 AM – 5:30 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=9476431740026614100&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688442,ChIJF0A8DqQI9YgRVPGFknUMg4M
Infantry Landscaping,"3355 Lenox Rd, Atlanta, GA 30326, USA",Atlanta,GA,(678) 539-8007,https://infantrylandscaping.com/,4.8,162,"general_contractor, service, point_of_interest, establishment",Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 7:00 AM – 7:00 PM | Sunday: 7:00 AM – 7:00 PM,https://maps.google.com/?cid=2283424507000890000&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688460,ChIJQ6FETtQP9YgRkKI1s31asB8
Wilson Bros. Landscape,"741 Piedmont Ave NE #700, Atlanta, GA 30308, USA",Atlanta,GA,(678) 809-6377,https://www.wilsonbroslandscape.com/,4.9,56,"general_contractor, service, point_of_interest, establishment",Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=5102004867898109122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688468,ChIJfx67sm4E9YgRwmxhUWX2zUY
Serene Green Landscape Co.,"2528 Lewfield Cir SE, Atlanta, GA 30316, USA",Atlanta,GA,(404) 916-3637,http://serenegreenlandscapes.com/,5,106,"general_contractor, service, point_of_interest, establishment",Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Closed,https://maps.google.com/?cid=3531111041330479693&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688474,ChIJOzdU1MYF9YgRTYL2kMgGATE
Affordable Landscaping Services LLC,"1155 Lavista Rd NE #1023, Atlanta, GA 30324, USA",Atlanta,GA,(404) 634-5100,http://www.affordablelandscapingservices.com/,4.3,36,"general_contractor, service, point_of_interest, establishment",Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 5:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: 7:00 AM – 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=6169592553860317256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688481,ChIJF7xXoHYG9YgRSEC9Zb3LnlU
Atlanta Landscape Co.LLC,"1450 Druid Valley Dr NE, Atlanta, GA 30329, USA",Atlanta,GA,(678) 200-4251,https://atlantalandscape.com/,4.9,74,"general_contractor, service, point_of_interest, establishment",Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 7:00 AM – 7:00 PM | Sunday: Closed,https://maps.google.com/?cid=14091670322459983258&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688487,ChIJjcfS4gsH9YgRmj0kVn-rj8M
"Atlanta Lawn Care Services, Inc","1201 W Peachtree St NW #2309, Atlanta, GA 30309, USA",Atlanta,GA,(404) 869-6396,https://www.atllawncareservices.com/,4.8,117,"general_contractor, supplier, food, service, point_of_interest, establishment",Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=6052144315459641108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688493,ChIJoxQysIsF9YgRFB9fdDCJ_VM
Beyond The Curb Landscaping,"2895 Buford Hwy NE, Atlanta, GA 30329, USA",Atlanta,GA,(404) 944-6696,http://www.beyondthecurb.com/,4.6,44,"general_contractor, service, point_of_interest, establishment",Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=8279476059998995241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688499,ChIJkU4luo8A9YgRKUOXKpyb5nI
Georgia Oak Landscaping,"4045 Five Forks Trickum Rd SW B 241, Lilburn, GA 30047, USA",Atlanta,GA,(770) 596-1911,http://www.georgiaoaklandscaping.com/,5,102,"general_contractor, supplier, service, point_of_interest, establishment",Monday: 7:30 AM – 5:00 PM | Tuesday: 7:30 AM – 5:00 PM | Wednesday: 7:30 AM – 5:00 PM | Thursday: 7:30 AM – 5:00 PM | Friday: 7:30 AM – 5:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=7157251367823341897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688505,ChIJYdxl-tC69YgRSflJwzKqU2M
Southern Outdoor Design,"2451 Cumberland Pkwy SE Suite 3162, Atlanta, GA 30339, USA",Atlanta,GA,(770) 591-1234,https://www.southernoutdoordesign.com/,5,36,"general_contractor, service, point_of_interest, establishment",Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: Closed,https://maps.google.com/?cid=17261473860331665895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Atlanta, GA",landscaping,2026-03-11T15:49:20.688511,ChIJycFthOA6Fo4R53nCUAUTje8
