name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,business_status,has_website,search_term,vertical,scraped_at,place_id
Southern Botanical Landscaping,"3151 Halifax St Suite 100, Dallas, TX 75247, USA",Dallas,TX,(214) 366-2103,https://southernbotanical.com/,4.6,201,"general_contractor, service, point_of_interest, establishment",Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=4607182187142903490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460014,ChIJwyjANmucToYRwvYoEMr_7z8
Higher Ground Lawn Care & Landscape Lighting,"3225 Southwestern Blvd, Dallas, TX 75225, USA",Dallas,TX,(214) 531-3369,https://highergroundlm.com/?utm_source=GMBlisting&utm_medium=organic,4.9,125,"general_contractor, consultant, service, point_of_interest, establishment",Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 7:00 PM | Saturday: 8:00 AM – 7:00 PM | Sunday: Closed,https://maps.google.com/?cid=5555289284496175991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460039,ChIJOwswENWFToYRd7PtyitaGE0
Lambert Landscape Company,"2950 Irving Blvd, Dallas, TX 75247, USA",Dallas,TX,(214) 350-8350,http://www.lamberts.net/,4.5,33,"general_contractor, service, point_of_interest, establishment",Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=15783104715867381671&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460050,ChIJMfco4iOcToYRp18R2h3aCNs
Texas Lawn Legends,"1606 Plantation Rd, Dallas, TX 75235, USA",Dallas,TX,(214) 617-7725,https://www.txlawnlegends.com/,4.9,145,"general_contractor, service, point_of_interest, establishment",Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=466355164073388572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460059,ChIJg26o_tqZToYRHGrDBY3TeAY
Complete Landscape & Design,"325 North St. Paul Street Suite 3100, Dallas, TX 75201, USA",Dallas,TX,(972) 200-0736,https://www.completelandscapetx.com/,4.9,39,"general_contractor, service, point_of_interest, establishment",Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=13059374628015461949&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460068,ChIJd2kSi7hvSYYRPVacWwg4PLU
Splendid Gardens Landscaping,"2116 Lancer Ln, Lewisville, TX 75056, USA",Dallas,TX,(972) 898-0030,https://splendidgardens.net/,4.9,235,"florist, general_contractor, store, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 – 11:30 AM | Sunday: Closed,https://maps.google.com/?cid=13675568658801374906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460077,ChIJg2j55ZEpTIYRujZSKT1hyb0
SIARA DESIGNS,"6720 Flanary Ln, Dallas, TX 75252, USA",Dallas,TX,(469) 666-4460,http://www.siaradesigns.com/,4.8,127,"general_contractor, service, point_of_interest, establishment",Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=9707107629812380933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460085,ChIJq6qaDogiTIYRBXVzd_WStoY
"Startex Landscaping LLC,","2802 Gooch St, Dallas, TX 75241, USA",Dallas,TX,(214) 929-6657,https://startexlandscaping.com/,4.8,26,"general_contractor, service, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=3458575793213839548&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460093,ChIJz1kKdN2XToYRvJhGD1xU_y8
Keane Landscaping,"2101 Parker Rd, Wylie, TX 75098, USA",Dallas,TX,(972) 424-4851,http://www.keanelandscaping.com/,4.1,338,"general_contractor, service, point_of_interest, establishment",Monday: 6:00 AM – 5:00 PM | Tuesday: 6:00 AM – 5:00 PM | Wednesday: 6:00 AM – 5:00 PM | Thursday: 6:00 AM – 5:00 PM | Friday: 6:00 AM – 5:00 PM | Saturday: 6:00 AM – 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=16924544248165461963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460102,ChIJPRUsGxwFTIYRy29I2VIP4Oo
Black Diamond Landscaping,"1525 Mariposa Dr #900, Mesquite, TX 75150, USA",Dallas,TX,(972) 214-6400,http://www.bdlandscaping.com/,4.9,44,"general_contractor, service, point_of_interest, establishment",Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=5802463411137510884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,yes,"landscaping company Dallas, TX",landscaping,2026-03-11T15:49:59.460110,ChIJ-SeLrPV9ToYR5H0Ny7p9hlA
