name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age
Dynamic 3 Med Spa,"
314 Pharr Rd NE, Atlanta, GA 30305, United States",Core Atlanta,Atlanta,+1 678-990-8462,https://skincareclinicatlanta.com/,4.8,25,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Dynamic+3+Med+Spa/data=!4m7!3m6!1s0x88f505322cc0810f:0x4c72356b66447331!8m2!3d33.837399!4d-84.377393!16s%2Fg%2F11yxzlvpvs!19sChIJD4HALDIF9YgRMXNEZms1ckw?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:04:44.910405,,,,25,,,2,no,No social media; No mobile viewport; Thin content,1,Leaky Funnel,Group,Fresh,35d ago
Crystal Ngozi Beauty & Esthetics,"
4135 Lavista Rd Suite 200, Tucker, GA 30084, United States",DeKalb,Atlanta,+1 404-919-4984,https://www.crystalngozibeauty.com/bookme,4.9,58,Skin care clinic,Show open hours for the week,https://www.google.com/maps/place/Crystal+Ngozi+Beauty+%26+Esthetics/data=!4m7!3m6!1s0x88f5abbce74571a7:0x2247f3cc5cbecad8!8m2!3d33.847004!4d-84.249781!16s%2Fg%2F11h4gvnb9d!19sChIJp3FF57yr9YgR2Mq-XMzzRyI?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:04:57.939119,https://www.facebook.com/CrystalNgoziBeauty,https://www.instagram.com/crystalngoziesthetics,,58,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,150d ago
The House of Wellness Med Spa,"
18 Marietta St NW, Atlanta, GA 30303, United States",Core Atlanta,Atlanta,+1 404-963-7531,https://thowmedspa.org/,5.0,49,Day spa,Show open hours for the week,https://www.google.com/maps/place/The+House+of+Wellness+Med+Spa/data=!4m7!3m6!1s0x88f50364418eee17:0xd01a3856f8fd7f22!8m2!3d33.7544572!4d-84.3904654!16s%2Fg%2F11yh8qxb5m!19sChIJF-6OQWQD9YgRIn_9-FY4GtA?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:05:04.253145,https://www.facebook.com/tr,https://www.instagram.com/thowmedspa,https://www.tiktok.com/@wix,49,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,120d ago
Radiance Medspa Atlanta,"
2810 Paces Ferry Rd SE #206, Atlanta, GA 30339, United States",Core Atlanta,Atlanta,+1 770-435-7700,http://www.radiancemedspaatlanta.com/,5.0,196,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Radiance+Medspa+Atlanta/data=!4m7!3m6!1s0x88f51065791db8a3:0x4d5e45a35d9705c1!8m2!3d33.8651749!4d-84.4697056!16s%2Fg%2F1tdpshn6!19sChIJo7gdeWUQ9YgRwQWXXaNFXk0?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:05:08.479612,https://www.facebook.com/RadianceMedspa,https://www.instagram.com/radiancemedspaatl,,196,,,9,yes,Has online booking; No SSL; Has online booking,1,Leaky Funnel,Group,Fresh,30d ago
Natural Body Spa + Med Spa | Morningside,"
1402 N Highland Ave NE Suite 1, Atlanta, GA 30306, United States",Core Atlanta,Atlanta,+1 404-872-1039,https://www.naturalbody.com/spa-locations/georgia-morningside,4.9,1441,Day spa,Show open hours for the week,https://www.google.com/maps/place/Natural+Body+Spa+%2B+Med+Spa+%7C+Morningside/data=!4m7!3m6!1s0x88f50682f1251f2d:0xb9541935d4fcabd0!8m2!3d33.7929623!4d-84.352583!16s%2Fg%2F1tcxf0y2!19sChIJLR8l8YIG9YgR0Kv81DUZVLk?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:05:19.149092,https://www.facebook.com/NaturalBodySpaandShop,https://www.instagram.com/naturalbodyspaandshop,,1441,1,,10,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,No reviews,
LUX Med Spa,"
4684 Roswell Rd NE UNIT A1, Atlanta, GA 30342, United States",Core Atlanta,Atlanta,+1 404-465-1234,https://buckheadplasticsurgery.com/lux-med-spa/,4.8,168,Medical spa,Show open hours for the week,https://www.google.com/maps/place/LUX+Med+Spa/data=!4m7!3m6!1s0x88f50f19877f204d:0x5c121fd753cbf20!8m2!3d33.882839!4d-84.3803856!16s%2Fg%2F1tdhmnrw!19sChIJTSB_hxkP9YgRIL88df0hwQU?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:05:28.293236,https://www.facebook.com/BuckheadPlasticSurgery,https://www.instagram.com/buckheadplasticsurgery,,168,12,,10,yes,Has online booking; Large team (12 providers); Has online booking,1,Leaky Funnel,Group,Fresh,7d ago
Boutique Day Spa,"
884 Monroe Dr NE, Atlanta, GA 30308, United States",Core Atlanta,Atlanta,+1 770-886-0044,http://boutiquedayspa.com/,4.9,285,Day spa,Show open hours for the week,https://www.google.com/maps/place/Boutique+Day+Spa/data=!4m7!3m6!1s0x88f504418a2788c7:0x993a70174ba9ce7f!8m2!3d33.7788746!4d-84.3698352!16s%2Fg%2F12qfrvgt5!19sChIJx4gnikEE9YgRf86pSxdwOpk?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:05:41.075553,https://www.facebook.com/BoutiqueDaySpa,,,285,1,,6,yes,Has online booking; Single practitioner; Facebook only; No SSL; Thin content,1,Leaky Funnel,Solo,No reviews,
SLM Medspa,"
1465 Howell Ml Rd Ste 200A, Atlanta, GA 30318, United States",Core Atlanta,Atlanta,+1 678-820-1020,https://www.slmmedspa.com/,4.9,97,Medical spa,Show open hours for the week,https://www.google.com/maps/place/SLM+Medspa/data=!4m7!3m6!1s0x88f505101db3ebeb:0x1f084c0d1d888a25!8m2!3d33.7949441!4d-84.4147267!16s%2Fg%2F11gxsqy69k!19sChIJ6-uzHRAF9YgRJYqIHQ1MCB8?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:05:46.941905,,,,97,,,0,no,Website timeout,1,Leaky Funnel,Group,Aging,2yr 0mo ago
Ecobel Med Spa,"
3033 Maple Dr NE, Atlanta, GA 30305, United States",Core Atlanta,Atlanta,+1 404-960-0812,http://www.ecobelmedspa.com/,4.9,396,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Ecobel+Med+Spa/data=!4m7!3m6!1s0x88f50f68b1f914b3:0x62e4dd01e73de203!8m2!3d33.8377882!4d-84.3711662!16s%2Fg%2F1tfmd201!19sChIJsxT5sWgP9YgRA-I95wHd5GI?authuser=0&hl=en&rclk=1,med spa Downtown Atlanta GA,2026-03-04T20:05:54.903569,https://www.facebook.com/tr,https://www.instagram.com/ecobelmedspa,,396,11,,8,yes,Has online booking; Large team (11 providers); No SSL,1,Leaky Funnel,Group,Fresh,14d ago
"dermani MEDSPA® Summerhill (Atlanta), GA","
572 Hank Aaron Dr SW Suite 1100, Atlanta, GA 30303, United States",Core Atlanta,Atlanta,+1 678-261-7744,https://dermanimedspa.com/summerhill-atlanta-ga/best-medspa-services-in-south-fulton-county/,4.5,66,Medical spa,Show open hours for the week,"https://www.google.com/maps/place/dermani+MEDSPA%C2%AE+Summerhill+%28Atlanta%29,+GA/data=!4m7!3m6!1s0x88f50376e2b4d581:0x755b3671565ca18f!8m2!3d33.7393664!4d-84.3875796!16s%2Fg%2F11vslp1r15!19sChIJgdW04nYD9YgRj6FcVnE2W3U?authuser=0&hl=en&rclk=1",med spa Downtown Atlanta GA,2026-03-04T20:06:04.583179,https://www.facebook.com/dermanimedspasummerhill,https://www.instagram.com/dermanimedspa_summerhill,,66,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,7d ago
