name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age
Skin Lab,"
4915 Albemarle Rd, Charlotte, NC 28205, United States",Central Charlotte,Charlotte,+1 980-309-3768,https://skinlabnc.com/,4.8,75,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Skin+Lab/data=!4m7!3m6!1s0x8854211dfe38b5cd:0xe8bd352b8cefce68!8m2!3d35.200776!4d-80.764189!16s%2Fg%2F11x13ssgf9!19sChIJzbU4_h0hVIgRaM7vjCs1veg?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:05:12.045630,,,,75,,,0,no,Could not read website content,1,Leaky Funnel,Unknown,No reviews,
Tyme Day Spa,"
402 W Trade St Suite 102, Charlotte, NC 28202, United States",Central Charlotte,Charlotte,+1 704-621-2070,https://www.tymedayspa.com/,4.8,819,Day spa,Show open hours for the week,https://www.google.com/maps/place/Tyme+Day+Spa/data=!4m7!3m6!1s0x88569e54736d77d3:0x1b49b39080e506df!8m2!3d35.2298887!4d-80.8457795!16s%2Fg%2F11bbx0cxyh!19sChIJ03dtc1SeVogR3wblgJCzSRs?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:05:24.542476,https://www.facebook.com/TymeDaySpa,https://www.instagram.com/tyme_dayspa,,819,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,120d ago
Infinity MedSpa and Wellness,"
2809 Coltsgate Rd #100, Charlotte, NC 28211, United States",Central Charlotte,Charlotte,+1 704-733-9202,https://www.infinitymedspaandwellness.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,577,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Infinity+MedSpa+and+Wellness/data=!4m7!3m6!1s0x88569e1433cc0a1d:0x2a4dac6341b56d85!8m2!3d35.149241!4d-80.827589!16s%2Fg%2F11c1r274mx!19sChIJHQrMMxSeVogRhW21QWOsTSo?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:05:30.148646,https://www.facebook.com/infinitymedspaandwellness,https://www.instagram.com/infinitymedspaandwellness,https://www.tiktok.com/@infinitymedspa,577,8,,10,yes,Has online booking; Large team (8 providers); Has online booking,1,Leaky Funnel,Group,Fresh,7d ago
Plumped,"
1227 W Morehead St Suite 120, Charlotte, NC 28208, United States",Central Charlotte,Charlotte,+1 704-526-9321,http://www.plumpedclt.com/,4.9,604,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Plumped/data=!4m7!3m6!1s0x88569fb4e20b2fad:0xe08bffd326512303!8m2!3d35.2289027!4d-80.8620328!16s%2Fg%2F11fpjr3flx!19sChIJrS8L4rSfVogRAyNRJtP_i-A?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:05:37.221477,https://www.facebook.com/plumpedclt,https://www.instagram.com/plumpedclt,,604,2,,9,yes,Has online booking; No SSL; Has online booking,1,Leaky Funnel,Group,Fresh,7d ago
Jon 'Ric Medical Spa and Wellness Center,"
1600 E Woodlawn Rd #360, Charlotte, NC 28209, United States",Central Charlotte,Charlotte,+1 704-665-0058,https://jonriccharlottemedicalspa.com/,5.0,94,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Jon+%27Ric+Medical+Spa+and+Wellness+Center/data=!4m7!3m6!1s0x88569e54734697b7:0x87f87cff3d9325e3!8m2!3d35.171865!4d-80.849198!16s%2Fg%2F1ydpvb17j!19sChIJt5dGc1SeVogR4yWTPf98-Ic?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:05:44.879242,https://www.facebook.com/JonRicCharlotteMedicalSpa,https://www.instagram.com/jonricmedspa,,94,6,,9,no,Large team (6 providers),1,Leaky Funnel,Group,Fresh,30d ago
The Modern Aesthetic - Uptown,"
525 Ellis Ln Suite 105, Charlotte, NC 28202, United States",Central Charlotte,Charlotte,+1 704-291-1568,https://themodernaesthetic.co/uptown,5.0,13,Medical spa,Show open hours for the week,https://www.google.com/maps/place/The+Modern+Aesthetic+-+Uptown/data=!4m7!3m6!1s0x8856a1729931c7a3:0x9e2bf85f9c60b64f!8m2!3d35.2291043!4d-80.836194!16s%2Fg%2F11yg02723b!19sChIJo8cxmXKhVogRT7ZgnF_4K54?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:05:49.713233,https://www.facebook.com/tr,https://www.instagram.com/themodernaesthetic_,https://www.tiktok.com/@themodernaesthetic.clt,13,,,10,yes,Has online booking; Has online booking,2,"Warm Digital, No Proof",Unknown,Fresh,30d ago
Urban Medspa & Weight Loss Center,"
8535 Cliff Cameron Dr, Charlotte, NC 28269, United States",Central Charlotte,Charlotte,+1 704-971-9191,https://urbanmedspacharlotte.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.7,1832,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Urban+Medspa+%26+Weight+Loss+Center/data=!4m7!3m6!1s0x88541c5466205d49:0x6048ef984967d328!8m2!3d35.3230593!4d-80.7807566!16s%2Fg%2F1wrgkw6n!19sChIJSV0gZlQcVIgRKNNnSZjvSGA?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:05:55.159663,https://www.facebook.com/UrbanMedSpaNC,https://www.instagram.com/urbanmedspacharlotte,,1832,5,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,120d ago
Eden MedSpa,"
10614 Providence Rd Ste #4, Charlotte, NC 28277, United States",Central Charlotte,Charlotte,+1 980-272-5085,https://www.myedenmedspa.com/,5.0,95,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Eden+MedSpa/data=!4m7!3m6!1s0x88569fedb5f8ece3:0xd9bf847ef9a43e95!8m2!3d35.0663469!4d-80.7711964!16s%2Fg%2F11y4tnh6cn!19sChIJ4-z4te2fVogRlT6k-X6Ev9k?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:06:06.013408,,,,95,,,0,no,Website error: Page.goto: net::ERR_CONNECTION_RESET at https://ww,1,Leaky Funnel,Group,Fresh,7d ago
Evolve Medical Associates,"
5821 Fairview Rd #115, Charlotte, NC 28209, United States",Central Charlotte,Charlotte,+1 704-386-6695,https://www.evolvemetoday.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,5.0,240,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Evolve+Medical+Associates/data=!4m7!3m6!1s0x88569e683ee05adf:0xa88d77f27092d15b!8m2!3d35.1523245!4d-80.8415414!16s%2Fg%2F1tq8k7xk!19sChIJ31rgPmieVogRW9GScPJ3jag?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:06:09.648963,https://www.facebook.com/Evolve.Med,https://www.instagram.com/evolve_medical,,240,3,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,30d ago
Spa by JW Charlotte,"
600 S College St, Charlotte, NC 28202, United States",Central Charlotte,Charlotte,+1 704-499-6651,https://www.marriott.com/en-us/hotels/cltjw-jw-marriott-charlotte/experiences/spa-at-jw/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,4.5,74,Spa,,https://www.google.com/maps/place/Spa+by+JW+Charlotte/data=!4m7!3m6!1s0x8856a1a908e840f7:0xdcc6810303555040!8m2!3d35.2224618!4d-80.8479567!16s%2Fg%2F11sx277pg0!19sChIJ90DoCKmhVogRQFBVAwOBxtw?authuser=0&hl=en&rclk=1,med spa Uptown Charlotte NC,2026-03-04T20:06:16.849615,https://www.facebook.com/groups/marriottbonvoyinsiders,https://www.instagram.com/marriottbonvoy,,74,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,14d ago
