name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at
Mara's Med Spa,"
2222 McKinney Ave Unit 120, Dallas, TX 75201, United States",Dallas Core,DFW,+1 469-730-3333,https://www.marasmedspa.com/,4.8,594,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Mara%27s+Med+Spa/data=!4m7!3m6!1s0x864e992ffa023855:0x5fd1d5cf6e3c139e!8m2!3d32.7935315!4d-96.8022165!16s%2Fg%2F11b5pjlb0y!19sChIJVTgC-i-ZToYRnhM8bs_V0V8?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:46:40.779254
It's A Secret Med Spa,"
2935 Blackburn St Suite 100, Dallas, TX 75204, United States",Dallas Core,DFW,+1 469-789-0004,https://secretmedspa.com/dallas-tx/,4.6,570,Medical spa,Show open hours for the week,https://www.google.com/maps/place/It%27s+A+Secret+Med+Spa/data=!4m7!3m6!1s0x864e993186c72cb1:0xaf82fcfb90da3c35!8m2!3d32.8072812!4d-96.7944812!16s%2Fg%2F11c3y29sf0!19sChIJsSzHhjGZToYRNTzakPv8gq8?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:46:45.133424
Spa in the City,"
5009 W Lovers Ln, Dallas, TX 75209, United States",Dallas Core,DFW,+1 214-238-2251,https://spainthecitydallas.com/,4.9,347,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Spa+in+the+City/data=!4m7!3m6!1s0x864e9e7c24061a8f:0x297040175b68ae9!8m2!3d32.8514234!4d-96.824825!16s%2Fg%2F1jkys39y3!19sChIJjxoGJHyeToYR6Yq2dQEElwI?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:46:49.464036
Rejuvia Wellness and Medical Spa,"
2815 Allen St #122, Dallas, TX 75204, United States",Dallas Core,DFW,+1 214-833-7108,https://rejuviawellness.com/,4.6,401,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Rejuvia+Wellness+and+Medical+Spa/data=!4m7!3m6!1s0x864e992d908906bf:0x5bdf6d2856f22d5a!8m2!3d32.800605!4d-96.801201!16s%2Fg%2F11b6_k7f5g!19sChIJvwaJkC2ZToYRWi3yViht31s?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:46:54.850629
Bella MedSpa - Dallas MedSpa,"
412 S Llewellyn Ave #150, Dallas, TX 75208, United States",Dallas Core,DFW,+1 972-762-4636,http://www.bellamedspadfw.com/,4.8,490,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Bella+MedSpa+-+Dallas+MedSpa/data=!4m7!3m6!1s0x864e99638b437085:0xd35d6e86a8d10778!8m2!3d32.7418026!4d-96.8319669!16s%2Fg%2F11j8v610tg!19sChIJhXBDi2OZToYReAfRqIZuXdM?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:46:58.308767
Modern Medical Spa,"
5422 Alpha Rd, Dallas, TX 75240, United States",Dallas Core,DFW,+1 972-331-7727,http://www.modernmedicalspa.com/,4.9,109,Medical spa,,https://www.google.com/maps/place/Modern+Medical+Spa/data=!4m7!3m6!1s0x864c214c0350f417:0x6c67d36aea8039fd!8m2!3d32.9326022!4d-96.8144327!16s%2Fg%2F11mtjdgq64!19sChIJF_RQA0whTIYR_TmA6mrTZ2w?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:58:33.026395
The Science of Beauty,"
4101 Bryan St #100, Dallas, TX 75204, United States",Dallas Core,DFW,+1 214-272-9240,https://www.thescienceofbeauty.co/,5.0,197,Medical spa,Show open hours for the week,https://www.google.com/maps/place/The+Science+of+Beauty/data=!4m7!3m6!1s0x864e996fac051695:0xc249d730f4e80ef1!8m2!3d32.7978875!4d-96.7810704!16s%2Fg%2F11vwzft7d0!19sChIJlRYFrG-ZToYR8Q7o9DDXScI?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:58:37.112718
Sanjiva Medical Spa,"
5633 W Lovers Ln, Dallas, TX 75209, United States",Dallas Core,DFW,+1 469-336-6769,https://sanjivamedspa.com/,5.0,215,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Sanjiva+Medical+Spa/data=!4m7!3m6!1s0x864e9f5738501635:0x726ddcb3053202a0!8m2!3d32.8514633!4d-96.8163101!16s%2Fg%2F11s84k83rf!19sChIJNRZQOFefToYRoAIyBbPcbXI?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:58:39.842893
SkinSpaMED,"
5330 Alpha Rd #100, Dallas, TX 75240, United States",Dallas Core,DFW,+1 972-392-3895,http://skinspamed.com/,4.9,416,Medical spa,Show open hours for the week,https://www.google.com/maps/place/SkinSpaMED/data=!4m7!3m6!1s0x864c20de824566c3:0x62fbd85937a92411!8m2!3d32.9326207!4d-96.816754!16s%2Fg%2F1w97vsv2!19sChIJw2ZFgt4gTIYRESSpN1nY-2I?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:58:43.205993
the L.A.B. med spa Dallas,"
111 W Davis St suite 160 Loft 7, Dallas, TX 75208, United States",Dallas Core,DFW,+1 817-251-1000,https://www.thelabmedspa.com/,5.0,57,Medical spa,Show open hours for the week,https://www.google.com/maps/place/the+L.A.B.+med+spa+Dallas/data=!4m7!3m6!1s0x864e990d5d62bcd1:0xc2ebece80fa38bcb!8m2!3d32.7500981!4d-96.8234154!16s%2Fg%2F11ybdfk773!19sChIJ0bxiXQ2ZToYRy4ujD-js68I?authuser=0&hl=en&rclk=1,med spa Downtown Dallas TX,2026-03-04T19:58:48.149362
