name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age
Aesthetica Organic Spa,"
6550 Mapleridge St Suite 124, Houston, TX 77081, United States",Core Houston,Houston,+1 346-610-8432,https://aestheticaorganicspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website&utm_content=website_link,4.9,140,Day spa,Show open hours for the week,https://www.google.com/maps/place/Aesthetica+Organic+Spa/data=!4m7!3m6!1s0x8640c157b429633f:0x5b7ec2581a37761d!8m2!3d29.710064!4d-95.474818!16s%2Fg%2F11l6ynzrcm!19sChIJP2MptFfBQIYRHXY3GljCfls?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:04:11.101865,https://www.facebook.com/profile.php,https://www.instagram.com/aestheticaorganic,https://www.tiktok.com/@aestheticaorganic,140,,,8,no,,1,Leaky Funnel,Group,Fresh,21d ago
Amerejuve Medspa Shepherd,"
2621 S Shepherd Dr Suite 260, Houston, TX 77098, United States",Core Houston,Houston,+1 713-960-6262,http://www.amerejuve.com/,4.7,56,Laser hair removal service,Show open hours for the week,https://www.google.com/maps/place/Amerejuve+Medspa+Shepherd/data=!4m7!3m6!1s0x8640c093e7d83efd:0xac1b402cbf691617!8m2!3d29.740959!4d-95.410312!16s%2Fg%2F11c1wlj6n3!19sChIJ_T7Y55PAQIYRFxZpvyxAG6w?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:04:17.709700,https://www.facebook.com/AmerejuveMedSpa,https://www.instagram.com/amerejuve,https://www.tiktok.com/@amerejuve,56,,,8,no,No SSL,1,Leaky Funnel,Group,Stale,3yr ago
Tru Essence Cosmetic and Medical Spa,"
2000 Crawford St Suite 107, Houston, TX 77002, United States",Core Houston,Houston,+1 713-485-5200,http://truessencespa.com/,4.3,66,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Tru+Essence+Cosmetic+and+Medical+Spa/data=!4m7!3m6!1s0x8640bf15f155490f:0xff03c5c1b01ddf83!8m2!3d29.7460822!4d-95.3663001!16s%2Fg%2F11ghn7442r!19sChIJD0lV8RW_QIYRg98dsMHFA_8?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:04:23.012711,,,,66,,,0,no,Website timeout,1,Leaky Funnel,Group,Aging,2yr 0mo ago
"Artavi Med Spa- Dr. Tarina Desai, MD","
714 Yale St #2k, Houston, TX 77007, United States",Core Houston,Houston,+1 832-649-7266,http://www.artavimedspa.com/,4.8,251,Medical spa,Show open hours for the week,"https://www.google.com/maps/place/Artavi+Med+Spa-+Dr.+Tarina+Desai,+MD/data=!4m7!3m6!1s0x8640c7295bb1ee99:0x2bee83490574d2ed!8m2!3d29.7839085!4d-95.3985614!16s%2Fg%2F11f6385fq6!19sChIJme6xWynHQIYR7dJ0BUmD7is?authuser=0&hl=en&rclk=1",med spa Downtown Houston TX,2026-03-04T20:04:34.477632,http://www.facebook.com/2008/fbml,https://www.instagram.com/artavimedspa,,251,4,,8,yes,Has online booking; No SSL; Has online booking,1,Leaky Funnel,Group,No reviews,
Houston Medical Spa,"
5151 Katy Fwy Suite 311, Houston, TX 77007, United States",Core Houston,Houston,+1 832-776-1537,https://thehoustonmedspa.glossgenius.com/,4.7,38,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Houston+Medical+Spa/data=!4m7!3m6!1s0x8640c7df520821f3:0xf69fc952a414eee2!8m2!3d29.7767076!4d-95.4132382!16s%2Fg%2F11w2hzz28k!19sChIJ8yEIUt_HQIYR4u4UpFLJn_Y?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:04:42.252184,https://www.facebook.com/profile.php,https://www.instagram.com/thehoustonmedspa,,38,,,7,yes,Has online booking; Has online booking; Thin content,1,Leaky Funnel,Group,No reviews,
Elevate Wellness & Med Spa,"
Louisiana St #910, Houston, TX 77002, United States",Core Houston,Houston,+1 832-430-3119,https://www.elevatewellmedspa.com/,4.6,9,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Elevate+Wellness+%26+Med+Spa/data=!4m7!3m6!1s0x8640bfd262159d5d:0xfbffd243c1cbae6d!8m2!3d29.7591146!4d-95.3676617!16s%2Fg%2F11xdb4c6g8!19sChIJXZ0VYtK_QIYRba7LwUPS__s?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:04:48.052911,https://www.facebook.com/tr,https://www.instagram.com/elevatewellnesshtx,,9,5,,9,yes,Has online booking; Has online booking,2,"Warm Digital, No Proof",Group,Fresh,150d ago
It's A Secret Med Spa - Houston,"
4525 Washington Ave Suite 200, Houston, TX 77007, United States",Core Houston,Houston,+1 713-452-1860,https://secretmedspa.com/houston-tx/,4.4,302,Medical spa,Show open hours for the week,https://www.google.com/maps/place/It%27s+A+Secret+Med+Spa+-+Houston/data=!4m7!3m6!1s0x8640c1d9ac05f431:0xc91577693e7f95b!8m2!3d29.7703927!4d-95.4069895!16s%2Fg%2F11fdy88x2f!19sChIJMfQFrNnBQIYRW_nnk3ZXkQw?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:04:53.406056,https://www.facebook.com/Itsasecretmedspa,https://www.instagram.com/itsasecretmedspa,https://www.tiktok.com/@itsasecretmedspa,302,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,60d ago
River Oaks Galleria Medspa,"
2111 W Loop S Ste 370, Houston, TX 77027, United States",Core Houston,Houston,+1 346-741-6772,http://www.rogmedspa.com/,4.9,167,Medical spa,Show open hours for the week,https://www.google.com/maps/place/River+Oaks+Galleria+Medspa/data=!4m7!3m6!1s0x8640c11f796cdeaf:0x53bd973b75edea5d!8m2!3d29.7452397!4d-95.4562115!16s%2Fg%2F11w9h5761d!19sChIJr95seR_BQIYRXertdTuXvVM?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:05:02.102552,https://www.facebook.com/tr,https://www.instagram.com/riveroaksgalleriamedspa,https://www.tiktok.com/@rog_medspa,167,5,,8,yes,Has online booking; No SSL; Has online booking,1,Leaky Funnel,Group,Fresh,14d ago
Montrose Med Spa,"
2505 Dunlavy St, Houston, TX 77006, United States",Core Houston,Houston,+1 713-485-5027,https://www.montrosemedspa.com/,4.8,132,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Montrose+Med+Spa/data=!4m7!3m6!1s0x8640c1de81a4e139:0xff43f2315803d2b2!8m2!3d29.7434947!4d-95.4018423!16s%2Fg%2F11m__jpgzt!19sChIJOeGkgd7BQIYRstIDWDHyQ_8?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:05:06.383807,https://www.facebook.com/montrosemedspahouston,https://www.instagram.com/montrosemedspa,https://www.tiktok.com/@montrosemedspa,132,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,14d ago
Alabama Med Spa By Voupre,"
3701 W Alabama St #388, Houston, TX 77027, United States",Core Houston,Houston,+1 832-504-0575,https://www.alabamaspahtx.com/,4.7,341,Spa,Show open hours for the week,https://www.google.com/maps/place/Alabama+Med+Spa+By+Voupre/data=!4m7!3m6!1s0x8640c132cee7bc2f:0xd12cba313a8f9478!8m2!3d29.7380024!4d-95.4370225!16s%2Fg%2F11w1lhgfv1!19sChIJL7znzjLBQIYReJSPOjG6LNE?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:05:16.448759,,,,341,,,0,no,Website timeout,1,Leaky Funnel,Group,Fresh,60d ago
Tulum Wellness Spa,"
1223 W 34th St Suite A-600, Houston, TX 77018, United States",Core Houston,Houston,+1 832-707-0407,https://tulumwellness.com/,4.8,428,Massage spa,Show open hours for the week,https://www.google.com/maps/place/Tulum+Wellness+Spa/data=!4m7!3m6!1s0x8640c750bc863beb:0xdf3ba76a54611601!8m2!3d29.8170257!4d-95.4214733!16s%2Fg%2F11smdzctn7!19sChIJ6zuGvFDHQIYRARZhVGqnO98?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:05:25.503685,https://www.facebook.com/tulum.wellness,https://www.instagram.com/tulumwellnessofficial,,428,1,,10,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,Fresh,14d ago
Sunsetbodyworksdayspa,"
817 Milam St, Houston, TX 77002, United States",Core Houston,Houston,+1 713-223-5900,http://sunsetbodyworksdayspa.com/,4.7,81,Massage spa,Show open hours for the week,https://www.google.com/maps/place/Sunsetbodyworksdayspa/data=!4m7!3m6!1s0x8640bf3ab5ced623:0xbcafbc90f5c0f731!8m2!3d29.7588859!4d-95.365862!16s%2Fg%2F1tpc8bp2!19sChIJI9bOtTq_QIYRMffA9ZC8r7w?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:05:30.336331,http://www.facebook.com/2008/fbml,,,81,,,8,yes,Has online booking; Facebook only; No SSL; Has online booking,1,Leaky Funnel,Group,Fresh,60d ago
Miliv Med Spa & Facials,"
524 Waugh Dr, Houston, TX 77019, United States",Core Houston,Houston,+1 713-585-0715,https://milivmed-spa.com/,4.7,313,Facial spa,Show open hours for the week,https://www.google.com/maps/place/Miliv+Med+Spa+%26+Facials/data=!4m7!3m6!1s0x8640c170e14e0321:0xbc140c22ed4f38c3!8m2!3d29.7605734!4d-95.398583!16s%2Fg%2F11x0bqs55t!19sChIJIQNO4XDBQIYRwzhP7SIMFLw?authuser=0&hl=en&rclk=1,med spa Downtown Houston TX,2026-03-04T20:05:34.869417,,,,313,,,0,no,Website timeout,1,Leaky Funnel,Group,Fresh,7d ago
