name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age
BeRejuved Medical Spa & Wellness Studio - NYC,"
363 7th Ave Suite 11R, New York, NY 10001, United States",Manhattan,New York,+1 646-992-2122,https://berejuvednyc.zoca.com/?utm_source=googlemaps&utm_medium=googlemapsprofile&utm_campaign=googlemaps,4.9,611,Medical spa,Open · Closes 7 pm,https://www.google.com/maps/place/BeRejuved+Medical+Spa+%26+Wellness+Studio+-+NYC/data=!4m7!3m6!1s0x89c259a3d5330933:0xa7c44e9f02ae85b3!8m2!3d40.7484743!4d-73.9920519!16s%2Fg%2F11rvb_9dmj!19sChIJMwkz1aNZwokRs4WuAp9OxKc?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:05:59.416262,https://www.facebook.com/BeRejuved,,,611,2,,10,yes,Has online booking; Facebook only; Has online booking,1,Leaky Funnel,Group,No reviews,
Perfect Med Spa,"
109 E 36th St Ground floor, New York, NY 10016, United States",Manhattan,New York,+1 212-901-0656,https://www.perfectmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Perfect-Med-Spa&utm_content=website,4.8,184,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Perfect+Med+Spa/data=!4m7!3m6!1s0x89c258fa90bbf2b1:0xdbb4de1082c659f0!8m2!3d40.7482439!4d-73.9797201!16s%2Fg%2F11f3hh4_7k!19sChIJsfK7kPpYwokR8FnGghDetNs?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:06:10.405374,https://www.facebook.com/tr,https://www.instagram.com/perfectmedspa,,184,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,30d ago
Manhattan Medspa,"
220 Madison Ave Penthouse C, New York, NY 10016, United States",Manhattan,New York,+1 212-729-5797,https://www.manhattan-medspa.com/,4.5,135,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Manhattan+Medspa/data=!4m7!3m6!1s0x89c259a0df7c65cf:0x858db894dac8c8bf!8m2!3d40.7495372!4d-73.9819791!16s%2Fg%2F11h5q8kwqf!19sChIJz2V836BZwokRv8jI2pS4jYU?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:06:15.600683,,,,135,,,0,no,Website timeout,1,Leaky Funnel,Group,Fresh,90d ago
MCNYC - The Medical Clinic Spa New York,"
365 W 49th St, New York, NY 10019, United States",Manhattan,New York,+1 646-647-9163,http://www.mcnyc.net/,5.0,32,Medical spa,Show open hours for the week,https://www.google.com/maps/place/MCNYC+-+The+Medical+Clinic+Spa+New+York/data=!4m7!3m6!1s0x89c2597a2468a0dd:0x87aebc36c459fbb0!8m2!3d40.7626236!4d-73.9885226!16s%2Fg%2F11xf43ysdr!19sChIJ3aBoJHpZwokRsPtZxDa8roc?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:06:26.314619,https://www.facebook.com/people/MCNYC-The-Medical-Clinic-NYC/61568956107111,https://www.instagram.com/mcnycmedspa,https://www.tiktok.com/@mcnycmedspa,32,3,,8,no,No SSL,1,Leaky Funnel,Group,Fresh,90d ago
M Beauty Studio & Spa,"
143 W 29th St Suite 205, New York, NY 10001, United States",Manhattan,New York,+1 347-538-4243,https://mbeauty.studio/,4.9,268,Spa,Show open hours for the week,https://www.google.com/maps/place/M+Beauty+Studio+%26+Spa/data=!4m7!3m6!1s0x89c2591963c65743:0x498abb869afc82f!8m2!3d40.7475437!4d-73.9916158!16s%2Fg%2F11rtvgh1yt!19sChIJQ1fGYxlZwokRL8ivabirmAQ?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:06:31.651708,https://www.facebook.com/profile.php,https://www.instagram.com/m_beauty_studio_spa,,268,,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,7d ago
Skin City Lab,"
21 W 39th St # 2A, New York, NY 10018, United States",Manhattan,New York,+1 646-761-3610,http://www.skincitylab.com/,4.9,308,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Skin+City+Lab/data=!4m7!3m6!1s0x85850ecac115237b:0xfeb9ddf74d2825e4!8m2!3d40.7522794!4d-73.9835984!16s%2Fg%2F11kbb90qhp!19sChIJeyMVwcoOhYUR5CUoTffduf4?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:06:36.845566,https://www.facebook.com/skincitylab,https://www.instagram.com/skincitylabnyc,,308,1,,9,yes,Has online booking; Single practitioner; No SSL; Has online booking,1,Leaky Funnel,Solo,Fresh,30d ago
Revival Med Spa,"
24 E 36th St, New York, NY 10016, United States",Manhattan,New York,+1 347-542-5895,https://revivalmedicalspa.com/,4.8,126,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Revival+Med+Spa/data=!4m7!3m6!1s0x89c259bf121b5361:0x7483466d4a1739b7!8m2!3d40.7487964!4d-73.9817563!16s%2Fg%2F11tjpj6fz2!19sChIJYVMbEr9ZwokRtzkXSm1Gg3Q?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:06:48.929083,https://www.facebook.com/revivalmedspa.nyc,https://www.instagram.com/revival_medspa_salon,https://www.tiktok.com/@revivalmedspa_,126,1,,10,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,Fresh,30d ago
LM Medical Spa,"
22 E 41st St 4th Floor, New York, NY 10017, United States",Manhattan,New York,+1 212-901-0700,http://lmmedspanyc.com/,5.0,37,Medical spa,Show open hours for the week,https://www.google.com/maps/place/LM+Medical+Spa/data=!4m7!3m6!1s0x89c259e6d62feaa7:0x42c12c27addcd99f!8m2!3d40.7520122!4d-73.9804098!16s%2Fg%2F11hctk99lq!19sChIJp-ov1uZZwokRn9ncrScswUI?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:06:54.516999,,https://www.instagram.com/lmmedspanyc,,37,3,,9,yes,Has online booking; No SSL; Has online booking,1,Leaky Funnel,Group,Stale,6yr ago
Skin Deep NYC,"
39 W 56th St, New York, NY 10019, United States",Manhattan,New York,+1 646-692-3330,https://www.skindeepnyc.com/,4.9,59,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Skin+Deep+NYC/data=!4m7!3m6!1s0x89c25908556b0d4f:0xecc044fb24cd1fd3!8m2!3d40.7633801!4d-73.9763535!16s%2Fg%2F11fpmd3vgr!19sChIJTw1rVQhZwokR0x_NJPtEwOw?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:07:06.739482,,,,59,,,8,yes,Has online booking; No social media; Has online booking,1,Leaky Funnel,Unknown,Aging,2yr 0mo ago
Trifecta Med Spa 57,"
200 W 57th St #1107, New York, NY 10019, United States",Manhattan,New York,+1 212-247-4148,https://trifectamedspanyc.com/,4.8,96,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Trifecta+Med+Spa+57/data=!4m7!3m6!1s0x89c258f79953bad5:0x694f9c76882bea4!8m2!3d40.7653794!4d-73.9806833!16s%2Fg%2F11b6z3g3qt!19sChIJ1bpTmfdYwokRpL6CaMf5lAY?authuser=0&hl=en&rclk=1,med spa Midtown Manhattan New York,2026-03-04T20:07:10.347314,https://www.facebook.com/TrifectaMedSpaNYC,https://www.instagram.com/trifectamedspa,,96,2,,10,yes,Has online booking; Has online booking,1,Leaky Funnel,Group,Fresh,14d ago
