name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at
NakedMD Med Spa Phoenix,"
4602 N 16th St Suite 100, Phoenix, AZ 85016, United States",Central Phoenix,Phoenix,+1 602-461-8883,https://www.nakedmd.com/pages/nakedmd-phoenix-az,4.9,459,Medical spa,Show open hours for the week,https://www.google.com/maps/place/NakedMD+Med+Spa+Phoenix/data=!4m7!3m6!1s0x872b1308b9beb80f:0xec7265fa16bda2e9!8m2!3d33.5040046!4d-112.0478699!16s%2Fg%2F11wn5vql_q!19sChIJD7i-uQgTK4cR6aK9Fvplcuw?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:05:22.504209
Vjuv Medspa Downtown Phoenix,"
350 E Virginia Ave, Phoenix, AZ 85004, United States",Central Phoenix,Phoenix,+1 480-796-5628,https://www.vjuvdowntownphx.com/,5.0,10,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Vjuv+Medspa+Downtown+Phoenix/data=!4m7!3m6!1s0x872b131f0d11a7a7:0x44e83b6996fd96af!8m2!3d33.4771066!4d-112.0670833!16s%2Fg%2F11mcl3z59w!19sChIJp6cRDR8TK4cRr5b9lmk76EQ?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:05:30.427147
Uptown,"
1825 E Northern Ave Suite 200, Phoenix, AZ 85020, United States",Central Phoenix,Phoenix,+1 626-714-1070,http://www.uptownmedispa.com/,4.8,73,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Uptown/data=!4m7!3m6!1s0x872b7298a90389ff:0x5cb6c67c34cc173!8m2!3d33.5567987!4d-112.0409767!16s%2Fg%2F11c1p3b2tg!19sChIJ_4kDqZhyK4cRc8FMw2dsywU?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:05:41.219438
It's A Secret Med Spa - Phoenix,"
4637 N 24th St, Phoenix, AZ 85016, United States",Central Phoenix,Phoenix,+1 480-923-3668,https://secretmedspa.com/phoenix/,4.7,120,Medical spa,Show open hours for the week,https://www.google.com/maps/place/It%27s+A+Secret+Med+Spa+-+Phoenix/data=!4m7!3m6!1s0x872b0dacb2fbe405:0xea362972038da82d!8m2!3d33.5049406!4d-112.0298918!16s%2Fg%2F11kjy11hyc!19sChIJBeT7sqwNK4cRLaiNA3IpNuo?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:05:47.114268
Suddenly Slimmer Med Spa,"
3313 E Indian School Rd, Phoenix, AZ 85018, United States",Central Phoenix,Phoenix,+1 602-952-8446,https://www.suddenlyslimmer.com/,4.7,1061,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Suddenly+Slimmer+Med+Spa/data=!4m7!3m6!1s0x872b0da8f1ad9449:0xc3aae1a82678c0d5!8m2!3d33.4948347!4d-112.0097843!16s%2Fg%2F1w0r0cjh!19sChIJSZSt8agNK4cR1cB4JqjhqsM?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:05:51.654480
Phoenix Wellness and Rejuvenation,"
2230 N 15th Ave, Phoenix, AZ 85007, United States",Central Phoenix,Phoenix,+1 602-898-6977,https://www.pwrlivewell.com/,4.9,206,Wellness center,Show open hours for the week,https://www.google.com/maps/place/Phoenix+Wellness+and+Rejuvenation/data=!4m7!3m6!1s0x872b0dddc1a4760b:0x858c35b4fe87960f!8m2!3d33.47209!4d-112.0917199!16s%2Fg%2F11tcfkvjwk!19sChIJC3akwd0NK4cRD5aH_rQ1jIU?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:05:56.890747
Moon Valley Medspa,"
15414 N 7th St suite 3, Phoenix, AZ 85022, United States",Central Phoenix,Phoenix,+1 602-391-8889,https://moonvalleymedspa.com/,5.0,121,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Moon+Valley+Medspa/data=!4m7!3m6!1s0x872b6f7cec7b665f:0xaa071547d7477729!8m2!3d33.6264584!4d-112.0662919!16s%2Fg%2F11ty75kt4d!19sChIJX2Z77HxvK4cRKXdH10cVB6o?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:06:01.353292
The JuJu Room Med Spa + Wellness,"
3030 N Central Ave Ste 410, Phoenix, AZ 85012, United States",Central Phoenix,Phoenix,+1 480-779-8812,http://thejujuroommedspa.com/,5.0,28,Medical spa,Show open hours for the week,https://www.google.com/maps/place/The+JuJu+Room+Med+Spa+%2B+Wellness/data=!4m7!3m6!1s0x872b13ba04b60d19:0x8f85a39e03813540!8m2!3d33.4819538!4d-112.0743086!16s%2Fg%2F11wbsv8pfx!19sChIJGQ22BLoTK4cRQDWBA56jhY8?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:06:12.310835
Bella,"
125 W McDowell Rd Suite B, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 480-420-8067,https://bellamedicalspaarizona.com/,5.0,20,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Bella/data=!4m7!3m6!1s0x872b13baa155410f:0x3e4c07984a430074!8m2!3d33.4655298!4d-112.0770296!16s%2Fg%2F11sy01zfg_!19sChIJD0FVoboTK4cRdABDSpgHTD4?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:06:20.421946
Vibrant Skin Bar,"
4325 E Indian School Rd Suite 130, Phoenix, AZ 85018, United States",Central Phoenix,Phoenix,+1 480-691-3900,https://vibrantskinbar.com/,5.0,150,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Vibrant+Skin+Bar/data=!4m7!3m6!1s0x872b0da85f2790b3:0xe9cd3591a4297348!8m2!3d33.4941043!4d-111.988346!16s%2Fg%2F11fmlgktfy!19sChIJs5AnX6gNK4cRSHMppJE1zek?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:06:24.667229
SkinLab Laser Aesthetics & Wellness,"
610 E Roosevelt St UNIT 148, Phoenix, AZ 85004, United States",Central Phoenix,Phoenix,+1 480-418-6000,https://skinlab.net/,4.8,32,Medical spa,Show open hours for the week,https://www.google.com/maps/place/SkinLab+Laser+Aesthetics+%26+Wellness/data=!4m7!3m6!1s0x872b135f7597061d:0xf6fc10a6de45b99a!8m2!3d33.458833!4d-112.066184!16s%2Fg%2F11v45bfjzg!19sChIJHQaXdV8TK4cRmrlF3qYQ_PY?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:06:31.688087
Sculpt AZ Medspa,"
3121 E Lincoln Dr, Phoenix, AZ 85016, United States",Central Phoenix,Phoenix,+1 602-699-3311,https://www.sculptazmedspa.com/,5.0,140,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Sculpt+AZ+Medspa/data=!4m7!3m6!1s0x872b0d8d34e17d43:0xc37b469b943a471d!8m2!3d33.5302697!4d-112.0139425!16s%2Fg%2F11ry6tf3r3!19sChIJQ33hNI0NK4cRHUc6lJtGe8M?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:06:38.535833
Innova MedSpa,"
1530 W Glendale Ave #106, Phoenix, AZ 85021, United States",Central Phoenix,Phoenix,+1 602-973-1774,http://www.inmedspa.com/,5.0,200,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Innova+MedSpa/data=!4m7!3m6!1s0x872b6d27009ff343:0x97e6349a4a07bd51!8m2!3d33.538994!4d-112.092675!16s%2Fg%2F11fzpv8y08!19sChIJQ_OfACdtK4cRUb0HSpo05pc?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:06:46.975801
Phoenix Skin Spa,"
5060 N Central Ave, Phoenix, AZ 85012, United States",Central Phoenix,Phoenix,+1 602-604-9111,http://www.phoenixskinspa.com/,4.9,1326,Spa,Show open hours for the week,https://www.google.com/maps/place/Phoenix+Skin+Spa/data=!4m7!3m6!1s0x872b12c0fc9da845:0x3cf2e81c6d57b8d5!8m2!3d33.5109265!4d-112.0740097!16s%2Fg%2F11cmygw2xw!19sChIJRaid_MASK4cR1bhXbRzo8jw?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:06:54.993252
Units Injection Spa,"
14 W Camelback Rd Suite A, Phoenix, AZ 85013, United States",Central Phoenix,Phoenix,+1 602-730-0751,http://www.unitsinjectionspa.com/,5.0,183,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Units+Injection+Spa/data=!4m7!3m6!1s0x872b1300542933b9:0xbe721fa7d614b3fd!8m2!3d33.509536!4d-112.074767!16s%2Fg%2F11pzkt1m1w!19sChIJuTMpVAATK4cR_bMU1qcfcr4?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:07:04.960479
BeautyBorn MedSpa,"
2200 E Camelback Rd Suite 102, Phoenix, AZ 85016, United States",Central Phoenix,Phoenix,+1 602-962-3838,https://beautybornmedspa.com/,5.0,77,Medical spa,Show open hours for the week,https://www.google.com/maps/place/BeautyBorn+MedSpa/data=!4m7!3m6!1s0x872b0d2dce03714f:0x13b77dd0c3113c9e!8m2!3d33.5099379!4d-112.0340562!16s%2Fg%2F11hfn51n9k!19sChIJT3EDzi0NK4cRnjwRw9B9txM?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:07:10.161626
Reflejo Med Spa,"
1130 E Missouri Ave Suite 180, Phoenix, AZ 85014, United States",Central Phoenix,Phoenix,+1 602-689-7795,https://reflejomedspa.com/?utm_source=gbp&utm_medium=organic&utm_campaign=localsearch,5.0,48,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Reflejo+Med+Spa/data=!4m7!3m6!1s0x872b131ccc07b6b3:0x1c3fa6df2f0af0de!8m2!3d33.5170576!4d-112.0571411!16s%2Fg%2F11l2_lr6ch!19sChIJs7YHzBwTK4cR3vAKL9-mPxw?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:07:15.026588
Torstveit Medical Aesthetics + TMA Med Spa,"
4520 N 12th St Suite 103, Phoenix, AZ 85014, United States",Central Phoenix,Phoenix,+1 602-354-3100,http://www.tmamedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,148,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Torstveit+Medical+Aesthetics+%2B+TMA+Med+Spa/data=!4m7!3m6!1s0x872b13304ce7f319:0x30c2c17d1f4e1337!8m2!3d33.5028055!4d-112.0565329!16s%2Fg%2F11j2c45t8_!19sChIJGfPnTDATK4cRNxNOH33BwjA?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:07:29.236228
Royal Aesthetics & Injectables,"
609 E Oregon Ave # 100, Phoenix, AZ 85012, United States",Central Phoenix,Phoenix,+1 602-730-5767,http://www.royalaestheticsaz.com/,5.0,173,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Royal+Aesthetics+%26+Injectables/data=!4m7!3m6!1s0x872b13463ace031b:0x2acd321748fedcf0!8m2!3d33.5134464!4d-112.0655082!16s%2Fg%2F11lrg43mw9!19sChIJGwPOOkYTK4cR8Nz-SBcyzSo?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:07:35.168892
Scottsdale Med Spa,"
7045 E 3rd Ave, Scottsdale, AZ 85251, United States",Scottsdale,Phoenix,+1 480-454-6959,https://scottsdalemedspa.beauty/?utm_source=GBP,4.9,133,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Scottsdale+Med+Spa/data=!4m7!3m6!1s0x872b0bb7ed25324f:0xdb912980f4503a7d!8m2!3d33.4961275!4d-111.9293828!16s%2Fg%2F11h7b5t_ck!19sChIJTzIl7bcLK4cRfTpQ9IApkds?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:07:45.769893
Dash of Fab Med Spa,"
2929 E Camelback Rd STE 114, Phoenix, AZ 85016, United States",Central Phoenix,Phoenix,+1 602-361-1209,http://dashoffabmedspa.com/,4.9,55,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Dash+of+Fab+Med+Spa/data=!4m7!3m6!1s0x872b0d0d08bcb6d5:0x1e94ce30ffc141d1!8m2!3d33.5093544!4d-112.0184807!16s%2Fg%2F11m2nl688g!19sChIJ1ba8CA0NK4cR0UHB_zDOlB4?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:07:49.881173
Look Lab Med Spa,"
3545 E Indian School Rd Suite C, Phoenix, AZ 85018, United States",Central Phoenix,Phoenix,+1 602-854-5665,https://looklab.com/locations/arcadia-az/,5.0,1173,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Look+Lab+Med+Spa/data=!4m7!3m6!1s0x872b0d4e0cfb6fed:0xc695a2577247583d!8m2!3d33.4948445!4d-112.004579!16s%2Fg%2F11s7cn79sw!19sChIJ7W_7DE4NK4cRPVhHcleilcY?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:07:57.996680
Look Better Naked MedSpa,"
620 W Adams St, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 480-522-6518,http://lookbetternakedspa.com/,5.0,30,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Look+Better+Naked+MedSpa/data=!4m7!3m6!1s0x872b09b6da7c14eb:0x9e55125766d0c002!8m2!3d33.4495824!4d-112.0819212!16s%2Fg%2F11rtqlfr2b!19sChIJ6xR82rYJK4cRAsDQZlcSVZ4?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:08:05.422953
Body Beautiful Day and Med Spa,"
4449 N 24th St, Phoenix, AZ 85016, United States",Central Phoenix,Phoenix,+1 602-522-9222,https://bodybeautifulspa.net/,4.6,185,Facial spa,Show open hours for the week,https://www.google.com/maps/place/Body+Beautiful+Day+and+Med+Spa/data=!4m7!3m6!1s0x872b0d71675e30fb:0xf889b4a1f4ab120d!8m2!3d33.5018697!4d-112.0298991!16s%2Fg%2F1w0j01xk!19sChIJ-zBeZ3ENK4cRDRKr9KG0ifg?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:08:09.287495
Results Med Spa & Post-Op Recovery,"
4501 N 22nd St STE 190, Phoenix, AZ 85016, United States",Central Phoenix,Phoenix,+1 602-396-0123,http://resultsmedspa.com/,4.9,54,Medical spa,Show open hours for the week,https://www.google.com/maps/place/Results+Med+Spa+%26+Post-Op+Recovery/data=!4m7!3m6!1s0x872b0bc1f2dceecf:0x61c7f10be745359a!8m2!3d33.5026188!4d-112.0343549!16s%2Fg%2F1ydpvch3x!19sChIJz-7c8sELK4cRmjVF5wvxx2E?authuser=0&hl=en&rclk=1,med spa Downtown Phoenix AZ,2026-03-04T20:08:15.019279
