,,Tactic,What needs to be done
Linkedin,Post come to join our beta,Make the post viral,Video
,,people commenting and reporsting,Write Post
,,,make list of people before hand with comments
,Posts by other people - showing scalefox capabilities,I made this under 5 minutes - showing creatives,Make a list of relevant people for this
,,Call to action - if you want early access -  comment,Write posts
,,,Create them creatives to show
,Scarcity - posts by other people ,How do i get an invite for scalefox,Make a list of people who can post this
,,,
X,Posts by other people - showing scalefox capabilities,I made this under 5 minutes - showing creatives,Make a list of relevant people for this
,,Call to action - if you want early access -  comment,Write posts
,,,Create them creatives to show
,Scarcity - posts by other people ,How do i get an invite for scalefox,Make a list of people who can post this
,,,
Communities,Whatsapp communties,"Write a post inviting people to join the beta, and get an invite code",Make list of communities
,,,Create post
,,,Videos
,Slack communities,post in general channels,List of slack communtiies
,,invite all communitiy members with automations,Join communitites
,,,Create bot - and test it
,,,Create post for general
,,,Create invite post
