name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at
Downtown Dental Center,"
75 Marietta St #100, Atlanta, GA 30303, United States",Core Atlanta,Atlanta,+1 404-577-0868,http://www.downtowndentalcenter.com/,4.7,159,Dentist,Show open hours for the week,https://www.google.com/maps/place/Downtown+Dental+Center/data=!4m7!3m6!1s0x88f50380d12f789d:0x9cd3ce37c85b9cbf!8m2!3d33.7562611!4d-84.3914923!16s%2Fg%2F1hc3wc8m1!19sChIJnXgv0YAD9YgRv5xbyDfO05w?authuser=0&hl=en&rclk=1,dentist Downtown Atlanta GA,2026-02-27T16:35:14.379532
Downtown Atlanta Dentistry,"
229 Peachtree Rd NE #206, Atlanta, GA 30303, United States",Core Atlanta,Atlanta,+1 404-999-1436,https://www.downtownatlantadentistry.com/,4.7,803,Dentist,Show open hours for the week,https://www.google.com/maps/place/Downtown+Atlanta+Dentistry/data=!4m7!3m6!1s0x88f504782317e3eb:0x60e15f1a7702760c!8m2!3d33.759834!4d-84.386437!16s%2Fg%2F1tdlw33l!19sChIJ6-MXI3gE9YgRDHYCdxpf4WA?authuser=0&hl=en&rclk=1,dentist Downtown Atlanta GA,2026-02-27T16:35:20.544696
Baumrind Family Dentistry,"
100 Peachtree St #1820, Atlanta, GA 30303, United States",Core Atlanta,Atlanta,+1 404-659-4222,http://drbaumrind.com/,4.9,160,Dentist,Show open hours for the week,https://www.google.com/maps/place/Baumrind+Family+Dentistry/data=!4m7!3m6!1s0x88f503870bd829fd:0xae5c8d396db4c8aa!8m2!3d33.756774!4d-84.388577!16s%2Fg%2F1tmcn1zx!19sChIJ_SnYC4cD9YgRqsi0bTmNXK4?authuser=0&hl=en&rclk=1,dentist Downtown Atlanta GA,2026-02-27T16:35:30.435389
Atlanta Dental Center,"
620 Peachtree St NE suite 204, Atlanta, GA 30308, United States",Core Atlanta,Atlanta,+1 404-600-1446,https://atlantadentalcenter.com/?utm_medium=organic&utm_source=googlebusiness&utm_campaign=GBP,4.8,909,Dentist,Show open hours for the week,https://www.google.com/maps/place/Atlanta+Dental+Center/data=!4m7!3m6!1s0x88f5046f880d43f5:0x764d6037443408a2!8m2!3d33.7715416!4d-84.3851508!16s%2Fg%2F1tgnmxvx!19sChIJ9UMNiG8E9YgRogg0RDdgTXY?authuser=0&hl=en&rclk=1,dentist Downtown Atlanta GA,2026-02-27T16:35:38.475600
Broad Street Dental Center,"
103 Broad St SW, Atlanta, GA 30303, United States",Core Atlanta,Atlanta,+1 404-577-4691,,4.6,30,Dentist,Show open hours for the week,https://www.google.com/maps/place/Broad+Street+Dental+Center/data=!4m7!3m6!1s0x88f50383caee00f7:0x7a615d084e3cfeec!8m2!3d33.7518746!4d-84.3935003!16s%2Fg%2F1w347fyj!19sChIJ9wDuyoMD9YgR7P48TghdYXo?authuser=0&hl=en&rclk=1,dentist Downtown Atlanta GA,2026-02-27T16:35:45.373394
Modern Dental,"
545 Edgewood Ave SE, Atlanta, GA 30312, United States",Core Atlanta,Atlanta,+1 404-589-0900,http://www.moderndentalatlanta.com/,4.7,500,Dentist,Show open hours for the week,https://www.google.com/maps/place/Modern+Dental/data=!4m7!3m6!1s0x88f503f69b227cd7:0x4296abdfd8940517!8m2!3d33.7541114!4d-84.3695349!16s%2Fg%2F12hlbzz8_!19sChIJ13wim_YD9YgRFwWU2N-rlkI?authuser=0&hl=en&rclk=1,dentist Downtown Atlanta GA,2026-02-27T16:35:55.131420
Thomas W Kauffman DDS PC,"
133 Peachtree St #4050, Atlanta, GA 30303, United States",Core Atlanta,Atlanta,+1 404-524-1981,https://www.atlantasedationdentistry.org/,4.9,410,Dentist,Show open hours for the week,https://www.google.com/maps/place/Thomas+W+Kauffman+DDS+PC/data=!4m7!3m6!1s0x88f50383b0597d37:0xdfc7de3effc5df84!8m2!3d33.7574527!4d-84.3864832!16s%2Fg%2F1tkc2yr9!19sChIJN31ZsIMD9YgRhN_F_z7ex98?authuser=0&hl=en&rclk=1,dentist Downtown Atlanta GA,2026-02-27T16:35:59.459264
Dentistry for Midtown Atlanta,"
1401 Peachtree St NE Suite 100, Atlanta, GA 30309, United States",Core Atlanta,Atlanta,+1 470-795-7537,https://www.dentistryformidtown.com/?utm_source=GoogleOrganic&utm_medium=GMBwebsite&utm_campaign=GMBWebsiteLink,4.8,529,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dentistry+for+Midtown+Atlanta/data=!4m7!3m6!1s0x88f5046982378fe9:0xa1e13666f2fcd5d!8m2!3d33.793209!4d-84.3861618!16s%2Fg%2F1q6jb2rnm!19sChIJ6Y83gmkE9YgRXc0vb2YTHgo?authuser=0&hl=en&rclk=1,dentist Midtown Atlanta GA,2026-02-27T16:37:09.227059
Ansley Midtown Dental,"
222 12th St NE #1a, Atlanta, GA 30309, United States",Core Atlanta,Atlanta,+1 404-873-2957,http://www.ansleymidtowndental.com/,4.9,732,Dentist,Show open hours for the week,https://www.google.com/maps/place/Ansley+Midtown+Dental/data=!4m7!3m6!1s0x88f50436adf84aa5:0x2dadcd4415bf474!8m2!3d33.7844208!4d-84.3801158!16s%2Fg%2F1thr7_tg!19sChIJpUr4rTYE9YgRdPRbQdTc2gI?authuser=0&hl=en&rclk=1,dentist Midtown Atlanta GA,2026-02-27T16:37:17.135361
Midtown Dental Center,"
650 Ponce De Leon Ave NE #600B, Atlanta, GA 30308, United States",Core Atlanta,Atlanta,+1 404-874-0800,https://www.midtowndentalatl.com/,4.9,528,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Center/data=!4m7!3m6!1s0x88f50410b463c0e9:0xb31a4128ee35376e!8m2!3d33.7744292!4d-84.3657883!16s%2Fg%2F1v1kqpy0!19sChIJ6cBjtBAE9YgRbjc17ihBGrM?authuser=0&hl=en&rclk=1,dentist Midtown Atlanta GA,2026-02-27T16:37:29.151253
