name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age
Meadows Dental Care & Orthodontics,"
9600 S I-35 Frontage Rd Bldg S #275, Austin, TX 78748, United States",Central Austin,Austin,+1 737-263-1581,https://themeadowsdentalcare.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=gmb,4.1,266,Dentist,Show open hours for the week,https://www.google.com/maps/place/Meadows+Dental+Care+%26+Orthodontics/data=!4m7!3m6!1s0x865b4cd65b6356f5:0xd2c305273fcbbc82!8m2!3d30.158739!4d-97.790959!16s%2Fg%2F1262bckmh!19sChIJ9VZjW9ZMW4YRgrzLPycFw9I?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:44:42.451285,https://www.facebook.com/meadowsdentalcaretx,https://www.instagram.com/stories/meadows_dentalcare,,266,1,,10,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,Fresh,3d ago
Smile 360,"
1509 S Lamar Blvd #675, Austin, TX 78704, United States",Central Austin,Austin,+1 512-444-4746,https://www.smile360atx.com/locations/austin-office/?y_source=1_ODIzNTM1NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.9,144,Dentist,Show open hours for the week,https://www.google.com/maps/place/Smile+360/data=!4m7!3m6!1s0x8644b520068078b5:0xc154141007f64528!8m2!3d30.2519455!4d-97.7637587!16s%2Fg%2F1262y4fz8!19sChIJtXiABiC1RIYRKEX2BxAUVME?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:45:06.390943,https://www.facebook.com/SMILE360,https://www.instagram.com/smile360atx,,144,36,,10,yes,Has online booking; Large team (36 doctors); Has online booking,1,Leaky Funnel,Group,Fresh,21d ago
Breeze Dental,"
1601 S Lamar Blvd, Austin, TX 78704, United States",Central Austin,Austin,+1 512-745-8825,https://www.breezeoralcare.com/,4.8,795,Dentist,Show open hours for the week,https://www.google.com/maps/place/Breeze+Dental/data=!4m7!3m6!1s0x8644b4df8ca136ad:0xb8adae0e500a1372!8m2!3d30.2512668!4d-97.764823!16s%2Fg%2F11gtyt3hnm!19sChIJrTahjN-0RIYRchMKUA6urbg?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:45:30.866471,https://www.facebook.com/breezeoralcare,https://www.instagram.com/breezeoralcare,,795,1,,9,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,Fresh,14d ago
Lady Bird Dental,"
3115 S Lamar Blvd, Austin, TX 78704, United States",Central Austin,Austin,+1 512-640-4090,https://www.ladybirddental.com/,4.9,413,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Lady+Bird+Dental/data=!4m7!3m6!1s0x8644b5e00133a11d:0xae4beb39d04cd4c5!8m2!3d30.2415391!4d-97.784855!16s%2Fg%2F11gjsr04yf!19sChIJHaEzAeC1RIYRxdRM0DnrS64?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:45:57.010857,https://www.facebook.com/tr,https://www.instagram.com/ladybirddental,,413,1,,10,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,Fresh,30d ago
Ideal Dental South Lamar,"
2330 S Lamar Blvd #300, Austin, TX 78704, United States",Central Austin,Austin,+1 512-337-8226,https://www.myidealdental.com/south-lamar/?utm_source=organic&utm_medium=soci&utm_campaign=websiteurl,4.5,510,Dentist,Show open hours for the week,https://www.google.com/maps/place/Ideal+Dental+South+Lamar/data=!4m7!3m6!1s0x8644b50dea74ee7b:0xe8e2586a034fa41c!8m2!3d30.2474245!4d-97.7763077!16s%2Fg%2F11f8h4prft!19sChIJe-506g21RIYRHKRPA2pY4ug?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:46:24.190955,https://facebook.com/DecaDentalGroup,https://instagram.com/decadentalgroup,,510,17,,9,no,Large team (17 doctors),1,Leaky Funnel,Group,Fresh,7d ago
Enamel Dentistry South Lamar,"
2717 S Lamar Blvd #1086, Austin, TX 78704, United States",Central Austin,Austin,+1 512-588-5231,https://enameldentistry.com/south-lamar-dentist/,4.8,1026,Dentist,Show open hours for the week,https://www.google.com/maps/place/Enamel+Dentistry+South+Lamar/data=!4m7!3m6!1s0x8644b4d3bf31ca55:0xe3a40370fc4c24e!8m2!3d30.2440387!4d-97.7811444!16s%2Fg%2F11cm_v20pk!19sChIJVcoxv9O0RIYRTsLEDzdAOg4?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:46:45.173243,https://www.facebook.com/enameldentistry,https://www.instagram.com/enameldentistry,,1026,22,,10,yes,Has online booking; Large team (22 doctors); Has online booking,1,Leaky Funnel,Group,Fresh,7d ago
South Austin Dentist,"
3901 S Lamar Blvd Ste 480, Austin, TX 78704, United States",Central Austin,Austin,+1 737-437-3801,http://southaustindentist.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,4.9,146,Dentist,Show open hours for the week,https://www.google.com/maps/place/South+Austin+Dentist/data=!4m7!3m6!1s0x865b4b5e859f967f:0x38deff12e0bdefcb!8m2!3d30.237324!4d-97.790252!16s%2Fg%2F11kh_3g55b!19sChIJf5afhV5LW4YRy--94BL_3jg?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:47:08.942354,,,,146,,,2,no,No social media; No SSL; No mobile viewport; Thin content,1,Leaky Funnel,Unknown,Fresh,30d ago
little house dentistry,"
2205 S Lamar Blvd, Austin, TX 78704, United States",Central Austin,Austin,+1 512-443-6167,http://www.littlehousedentistry.com/,5.0,400,Dentist,Show open hours for the week,https://www.google.com/maps/place/little+house+dentistry/data=!4m7!3m6!1s0x8644b4d9dad49b31:0xba2b46e3fb04f2b4!8m2!3d30.2472912!4d-97.7735894!16s%2Fg%2F1tp27nzc!19sChIJMZvU2tm0RIYRtPIE--NGK7o?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:47:30.018216,https://www.facebook.com/Little-House-Dentistry-1581190805427178,,,400,9,,6,no,Large team (9 doctors); Facebook only; No SSL; No mobile viewport,1,Leaky Funnel,Group,Fresh,21d ago
Toothbar,"
211 Walter Seaholm Dr LR 160, Austin, TX 78701, United States",Central Austin,Austin,+1 512-607-4268,https://www.toothbar.com/,4.9,708,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Toothbar/data=!4m7!3m6!1s0x8644b511d14d4c3b:0x3062648265433120!8m2!3d30.2671177!4d-97.7527535!16s%2Fg%2F11hbll8k8x!19sChIJO0xN0RG1RIYRIDFDZYJkYjA?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:48:15.038073,,,,708,,,0,no,Website timeout,1,Leaky Funnel,Unknown,Fresh,7d ago
Bell Dental Studio,"
2525 Wallingwood Dr Building 11, Austin, TX 78746, United States",Central Austin,Austin,+1 512-327-7750,https://belldentalstudio.com/?utm_source=google&utm_medium=social&utm_campaign=Bell+Dental+Studio&utm_term=Dentist+Barton+Hills+Austin,4.9,327,Dentist,Show open hours for the week,https://www.google.com/maps/place/Bell+Dental+Studio/data=!4m7!3m6!1s0x8644b53295dd5153:0x8faad247ae3d4b6d!8m2!3d30.2633231!4d-97.7836255!16s%2Fg%2F1v2jd99l!19sChIJU1HdlTK1RIYRbUs9rkfSqo8?authuser=0&hl=en&rclk=1,dentist Zilker Austin TX,2026-03-02T13:48:42.089698,https://www.facebook.com/BellDentalStudio,https://www.instagram.com/belldentalstudio,,327,1,,10,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,Fresh,90d ago
