name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at
Advanced Dentistry of Charlotte - Dr Chris Bowman,"
1618 E Morehead St #100, Charlotte, NC 28207, United States",Central Charlotte,Charlotte,+1 704-859-8961,https://www.smilesatisfaction.com/?utm_source=GoogleBusinessProfile&utm_medium=Organic&utm_campaign=Website,4.9,410,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Advanced+Dentistry+of+Charlotte+-+Dr+Chris+Bowman/data=!4m7!3m6!1s0x88569f9312a6cd35:0x8f3e431085637b5!8m2!3d35.203265!4d-80.834344!16s%2Fg%2F1tg79rlm!19sChIJNc2mEpOfVogRtTdWCDHk8wg?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:37:14.927832
Uptown Charlotte Smiles,"
128 S Tryon St 860 Ste 860, Charlotte, NC 28202, United States",Central Charlotte,Charlotte,+1 704-342-3213,https://www.uptowncharlottesmiles.com/,5.0,552,Dentist,Show open hours for the week,https://www.google.com/maps/place/Uptown+Charlotte+Smiles/data=!4m7!3m6!1s0x8856a02f764a5ed7:0xefb5aeff62c74944!8m2!3d35.2267341!4d-80.844223!16s%2Fg%2F1tppsp4t!19sChIJ115Kdi-gVogRREnHYv-ute8?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:37:33.450249
Dentistry of Uptown Charlotte,"
112 S Tryon St STE 650, Charlotte, NC 28284, United States",Central Charlotte,Charlotte,+1 704-375-0050,https://uptowncharlottedentistry.com/,5.0,269,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dentistry+of+Uptown+Charlotte/data=!4m7!3m6!1s0x8856a02f7f4c4445:0xc3b99c1920e1cfb4!8m2!3d35.2271648!4d-80.8437783!16s%2Fg%2F1vyxk3fk!19sChIJRURMfy-gVogRtM_hIBmcucM?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:37:39.673531
Skyview Dentistry,"
210 E Trade St Suite E-484, Charlotte, NC 28202, United States",Central Charlotte,Charlotte,+1 980-303-3594,https://www.skyviewdentistrycharlotte.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,4.9,728,Dentist,Show open hours for the week,https://www.google.com/maps/place/Skyview+Dentistry/data=!4m7!3m6!1s0x8856a025e94c5e1b:0xc77d0254d9376901!8m2!3d35.2255923!4d-80.8421685!16s%2Fg%2F11b7_1p936!19sChIJG15M6SWgVogRAWk32VQCfcc?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:37:48.983781
Pearl. Dentistry Reimagined,"
200 S Tryon St #110, Charlotte, NC 28202, United States",Central Charlotte,Charlotte,+1 980-350-7456,https://pearlcharlotte.com/,4.9,1331,Dentist,Show open hours for the week,https://www.google.com/maps/place/Pearl.+Dentistry+Reimagined/data=!4m7!3m6!1s0x8856a02f6d55cdb1:0xf874ad4fe4c103ff!8m2!3d35.2268881!4d-80.8448424!16s%2Fg%2F11c1_vqb3g!19sChIJsc1VbS-gVogR_wPB5E-tdPg?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:38:09.874553
Fourth Ward Dentistry,"
620 N Church St #113, Charlotte, NC 28202, United States",Central Charlotte,Charlotte,+1 704-538-4977,https://fourthwarddentistry.com/,4.7,539,Dentist,Show open hours for the week,https://www.google.com/maps/place/Fourth+Ward+Dentistry/data=!4m7!3m6!1s0x8856a137366bacd9:0x14e11cdb05898678!8m2!3d35.2317856!4d-80.8382546!16s%2Fg%2F11h75zs094!19sChIJ2axrNjehVogReIaJBdsc4RQ?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:38:19.177234
Uptown Premier Dental,"
1520 South Blvd Suite 110, Charlotte, NC 28203, United States",Central Charlotte,Charlotte,+1 704-375-7711,https://uptownpremierdental.com/,4.3,235,Dentist,Show open hours for the week,https://www.google.com/maps/place/Uptown+Premier+Dental/data=!4m7!3m6!1s0x8856a02ec8f802f5:0xd2ab7f6c8f95665e!8m2!3d35.2142391!4d-80.855509!16s%2Fg%2F11g8vn__9_!19sChIJ9QL4yC6gVogRXmaVj2x_q9I?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:38:31.896081
Pearl. Dentistry Reimagined,"
150 N College St #1100, Charlotte, NC 28202, United States",Central Charlotte,Charlotte,+1 980-480-8316,https://pearlcharlotte.com/,4.8,602,Dentist,Show open hours for the week,https://www.google.com/maps/place/Pearl.+Dentistry+Reimagined/data=!4m7!3m6!1s0x8856a025ab996edf:0x7c452cd974d285ad!8m2!3d35.2266817!4d-80.8406133!16s%2Fg%2F11b72s4b5r!19sChIJ326ZqyWgVogRrYXSdNksRXw?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:38:35.848742
Charlotte Dentistry,"
201 Providence Rd, Charlotte, NC 28207, United States",Central Charlotte,Charlotte,+1 704-285-0846,https://www.charlottedentistry.com/,4.8,4732,Dentist,Show open hours for the week,https://www.google.com/maps/place/Charlotte+Dentistry/data=!4m7!3m6!1s0x88569ff0363c1d63:0x2cad0322fd910ee7!8m2!3d35.2079696!4d-80.8233135!16s%2Fg%2F119w6x50f!19sChIJYx08NvCfVogR5w6R_SIDrSw?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:38:51.237964
"Kalons, Glidewell & Grewal DDS PA","
201 S College St Suite #1465, Charlotte, NC 28244, United States",Central Charlotte,Charlotte,+1 704-378-6591,https://www.kalonsandglidewell.com/,5.0,383,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Kalons,+Glidewell+%26+Grewal+DDS+PA/data=!4m7!3m6!1s0x8856a02f5830c159:0x7772e844567414f9!8m2!3d35.2248896!4d-80.8433232!16s%2Fg%2F1tht24n9!19sChIJWcEwWC-gVogR-RR0VkTocnc?authuser=0&hl=en&rclk=1",dentist Uptown Charlotte NC,2026-02-27T16:39:09.682691
City Dental,"
1716 Kenilworth Ave #180, Charlotte, NC 28203, United States",Central Charlotte,Charlotte,+1 704-910-0144,https://citydentalclt.com/,4.9,736,Dentist,Show open hours for the week,https://www.google.com/maps/place/City+Dental/data=!4m7!3m6!1s0x88569f99f50d8c67:0xd4881a8be1e8134d!8m2!3d35.2023652!4d-80.844601!16s%2Fg%2F11bws7nlwt!19sChIJZ4wN9ZmfVogRTRPo4YsaiNQ?authuser=0&hl=en&rclk=1,dentist Uptown Charlotte NC,2026-02-27T16:39:18.722187
