name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age,review1_name,review1_rating,review1_text,review2_name,review2_rating,review2_text,review3_name,review3_rating,review3_text,review4_name,review4_rating,review4_text,review5_name,review5_rating,review5_text
Prestige Dental Dallas & Implant Center,"
12700 Midway Rd Ste. 104, Dallas, TX 75244, United States",Dallas Core,DFW,+1 214-702-0163,https://bestdentistindallas.com/,4.9,481,Dentist,Show open hours for the week,https://www.google.com/maps/place/Prestige+Dental+Dallas+%26+Implant+Center/data=!4m7!3m6!1s0x864c273307bf183b:0x88782faa1f66cb42!8m2!3d32.922298!4d-96.83781!16s%2Fg%2F11gfk3_vm3!19sChIJOxi_BzMnTIYRQstmH6oveIg?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:34:58.219183,https://www.facebook.com/flossandglossdental,,,481,18,,10,yes,Has online booking; Large team (18 doctors); Facebook only; Has online booking,1,Leaky Funnel,Group,No reviews,,,,,,,,,,,,,,,,
Ashar Dentistry,"
6201 S Custer Rd Suite 600, McKinney, TX 75070, United States",North Collin,DFW,+1 972-838-7009,https://www.ashardentistry.com/,4.9,158,Dentist,Show open hours for the week,https://www.google.com/maps/place/Ashar+Dentistry/data=!4m7!3m6!1s0x80f3afe689d698c9:0x3b242a675d62e539!8m2!3d33.141877!4d-96.73259!16s%2Fg%2F11vbclz01b!19sChIJyZjWieav84AROeViXWcqJDs?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:35:04.308215,https://www.facebook.com/ashardentistry,https://www.instagram.com/popular/mckinney-dentist,https://www.tiktok.com/@ashardentistry,158,1,,10,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,Fresh,60d ago,,,,,,,,,,,,,,,
Denson Downtown Dental,"
700 N Pearl St #218n, Dallas, TX 75201, United States",Dallas Core,DFW,+1 214-969-0280,https://www.densondowntowndental.com/,5.0,168,Doctor,Show open hours for the week,https://www.google.com/maps/place/Denson+Downtown+Dental/data=!4m7!3m6!1s0x864e99212f1684c9:0x93fe3f5ac1b14aa4!8m2!3d32.7871929!4d-96.7953451!16s%2Fg%2F11fxfd257b!19sChIJyYQWLyGZToYRpEqxwVo__pM?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:35:10.218340,https://www.facebook.com/densondowntowndental,https://www.instagram.com/densondowntowndental,,168,3,,9,yes,Has online booking,1,Leaky Funnel,Group,Fresh,150d ago,,,,,,,,,,,,,,,
Pro Dental Dallas Downtown,"
325 North St. Paul Street Suite 1150, Dallas, TX 75201, United States",Dallas Core,DFW,+1 214-871-1022,https://prodentaldallas.com/locations/downtown/?utm_campaign=gmb,4.9,217,Dentist,Show open hours for the week,https://www.google.com/maps/place/Pro+Dental+Dallas+Downtown/data=!4m7!3m6!1s0x864e99218b6e5493:0xa05e3fdf5c44792c!8m2!3d32.783133!4d-96.7974157!16s%2Fg%2F1wf39080!19sChIJk1RuiyGZToYRLHlEXN8_XqA?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:35:20.093914,,,,217,,,4,no,No social media; Thin content,1,Leaky Funnel,Unknown,Fresh,60d ago,,,,,,,,,,,,,,,
Dallas Dental Arts,"
2100 Ross Ave Suite 960, Dallas, TX 75201, United States",Dallas Core,DFW,+1 214-999-0110,http://dallasdentalspa.com/,4.9,387,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dallas+Dental+Arts/data=!4m7!3m6!1s0x864e9923ffce929b:0x2a7c98f62f83b709!8m2!3d32.7875079!4d-96.7975702!16s%2Fg%2F1tdx4jr1!19sChIJm5LO_yOZToYRCbeDL_aYfCo?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:35:24.520829,https://www.facebook.com/DallasDentalArts,https://www.instagram.com/dallasdentalarts,,387,12,,8,no,Large team (12 doctors); No SSL,1,Leaky Funnel,Group,Fresh,28d ago,,,,,,,,,,,,,,,
East Quarter Dental,"
2109 Commerce St Ste 100, Dallas, TX 75201, United States",Dallas Core,DFW,+1 469-240-1154,https://www.eastquarterdental.com/?utm_source=GBPlisting&utm_medium=organic,4.8,360,Dentist,Show open hours for the week,https://www.google.com/maps/place/East+Quarter+Dental/data=!4m7!3m6!1s0x864e9999ddbb1887:0xc6df4f7aa374ee09!8m2!3d32.7817017!4d-96.791774!16s%2Fg%2F11ry8hwlvr!19sChIJhxi73ZmZToYRCe50o3pP38Y?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:35:31.956274,https://www.facebook.com/EastQuarterDental,https://www.instagram.com/eastquarterdental,,360,8,,10,yes,Has online booking; Large team (8 doctors); Has online booking,1,Leaky Funnel,Group,Fresh,14d ago,,,,,,,,,,,,,,,
MINT dentistry | Uptown,"
2520 Fairmount St Suite 100, Dallas, TX 75201, United States",Dallas Core,DFW,+1 469-440-7149,https://mintdentistry.com/dentist/dfw/uptown,4.7,1005,Doctor,Show open hours for the week,https://www.google.com/maps/place/MINT+dentistry+%7C+Uptown/data=!4m7!3m6!1s0x864e99302cb23ecf:0x9c8a8bc5d917301!8m2!3d32.7958488!4d-96.802803!16s%2Fg%2F11bz_42ddw!19sChIJzz6yLDCZToYRAXORXbyoyAk?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:35:38.339986,https://www.facebook.com/MintDentistry,https://www.instagram.com/mintdentistry,,1005,1,,10,yes,Has online booking; Single practitioner; Has online booking,1,Leaky Funnel,Solo,Fresh,60d ago,,,,,,,,,,,,,,,
"Keith W. Brewster, DDS","
1717 Main St #2480, Dallas, TX 75201, United States",Dallas Core,DFW,+1 214-761-1171,http://www.downtowndallasdentist.com/,4.9,105,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Keith+W.+Brewster,+DDS/data=!4m7!3m6!1s0x864e991f42e0ddd1:0x168ed516f7db83ef!8m2!3d32.7815619!4d-96.7965618!16s%2Fg%2F1hc28_mhc!19sChIJ0d3gQh-ZToYR74Pb9xbVjhY?authuser=0&hl=en&rclk=1",dentist Downtown Dallas TX,2026-02-27T16:35:44.716442,,,,105,11,,7,no,Large team (11 doctors); No social media; No SSL,1,Leaky Funnel,Group,Fresh,14d ago,,,,,,,,,,,,,,,
Trinity Dental Loft - Dallas,"
650 Fort Worth Ave #130, Dallas, TX 75208, United States",Dallas Core,DFW,+1 214-666-4616,https://trinitydentalloft.com/?utm_source=GmbListing&utm_medium=Organic,4.9,327,Dentist,Show open hours for the week,https://www.google.com/maps/place/Trinity+Dental+Loft+-+Dallas/data=!4m7!3m6!1s0x864e9948c972935d:0xc948f63459668959!8m2!3d32.771363!4d-96.833705!16s%2Fg%2F11fb0k6s3h!19sChIJXZNyyUiZToYRWYlmWTT2SMk?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:35:53.647347,,,,327,,,0,no,Website timeout,1,Leaky Funnel,Unknown,Fresh,21d ago,,,,,,,,,,,,,,,
Amerismiles Dental,"
3310 Live Oak St STE 200, Dallas, TX 75204, United States",Dallas Core,DFW,+1 214-827-0000,https://www.amerismiles.com/,4.8,319,Dentist,Show open hours for the week,https://www.google.com/maps/place/Amerismiles+Dental/data=!4m7!3m6!1s0x864e98da5c5d0267:0x44d891f2f09973a4!8m2!3d32.7922071!4d-96.7845931!16s%2Fg%2F1wz533cz!19sChIJZwJdXNqYToYRpHOZ8PKR2EQ?authuser=0&hl=en&rclk=1,dentist Downtown Dallas TX,2026-02-27T16:35:59.669257,https://www.facebook.com/AmeriSmiles-Dental-219792074700007,,,319,,,10,yes,Has online booking; Facebook only; Has online booking,1,Leaky Funnel,Group,Fresh,30d ago,,,,,,,,,,,,,,,
