name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at
Downtown Denver Dental,"
1050 17th St b-190, Denver, CO 80265, United States",Central Denver,Denver,+1 303-296-1825,https://downtowndenverdental.com/?utm_campaign=gmb,4.9,330,Dentist,Show open hours for the week,https://www.google.com/maps/place/Downtown+Denver+Dental/data=!4m7!3m6!1s0x876c78da63ef751f:0x3f78c2e44994cfb7!8m2!3d39.7482236!4d-104.9949529!16s%2Fg%2F11c1q7hnbs!19sChIJH3XvY9p4bIcRt8-USeTCeD8?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:26:58.200759
Comfort Dental - Downtown Denver,"
1512 Larimer St Suite 10R, Denver, CO 80202, United States",Central Denver,Denver,+1 303-872-4685,https://comfortdental.com/office/co-denver-downtown/?utm_source=google&utm_medium=organic&utm_campaign=Yext,4.6,605,Dentist,Show open hours for the week,https://www.google.com/maps/place/Comfort+Dental+-+Downtown+Denver/data=!4m7!3m6!1s0x876c792ee1a9c7d9:0x55fb461d4b2f908e!8m2!3d39.748578!4d-104.9978307!16s%2Fg%2F11f61zdjtv!19sChIJ2cep4S55bIcRjpAvSx1G-1U?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:27:04.235088
Icon Dental,"
1425 Market St Ste. 100, Denver, CO 80202, United States",Central Denver,Denver,+1 720-645-2153,https://icondentaldenver.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,4.6,663,Dentist,Show open hours for the week,https://www.google.com/maps/place/Icon+Dental/data=!4m7!3m6!1s0x876c78c5a91d8b0d:0x93aea0f30ce17177!8m2!3d39.7485634!4d-105.0004756!16s%2Fg%2F11b5wkbqlj!19sChIJDYsdqcV4bIcRd3HhDPOgrpM?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:27:12.134646
Denver Place Dentistry,"
999 18th St #1300, Denver, CO 80202, United States",Central Denver,Denver,+1 303-529-8530,https://downtowndenverdentist.com/?utm_source=extnet&utm_medium=yext&y_source=1_NTU4MzQ4MDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.8,331,Dentist,Show open hours for the week,https://www.google.com/maps/place/Denver+Place+Dentistry/data=!4m7!3m6!1s0x876c78da1ded4eab:0x61c28dad3ba759d6!8m2!3d39.7495213!4d-104.9913688!16s%2Fg%2F1tfb2h41!19sChIJq07tHdp4bIcR1lmnO62NwmE?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:27:20.727904
Metropolitan Dental Care,"
1400 Glenarm Pl Rm 200, Denver, CO 80202, United States",Central Denver,Denver,+1 303-534-2626,https://www.metrodentalcare.com/,4.9,1040,Dentist,Show open hours for the week,https://www.google.com/maps/place/Metropolitan+Dental+Care/data=!4m7!3m6!1s0x876c78d3e5744c8f:0xccc842db3930dd7!8m2!3d39.741973!4d-104.99236!16s%2Fg%2F1tfyf1l9!19sChIJj0x05dN4bIcR1w2Tsy2EzAw?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:27:24.012198
University Dental Arts,"
1675 Larimer St Suite 880, Denver, CO 80202, United States",Central Denver,Denver,+1 303-534-7797,https://stanbrick.com/location/university-dental-arts/,4.7,432,Dentist,Show open hours for the week,https://www.google.com/maps/place/University+Dental+Arts/data=!4m7!3m6!1s0x876c78d0862d5475:0x87448480238ec1ed!8m2!3d39.7501006!4d-104.9966034!16s%2Fg%2F1td38q_3!19sChIJdVQthtB4bIcR7cGOI4CERIc?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:27:33.256608
Wynkoop Dentistry,"
1501 Wazee St unit 1a, Denver, CO 80202, United States",Central Denver,Denver,+1 719-838-4914,https://denverwynkoopdentist.com/?utm_campaign=gmb&utm_medium=medium&utm_source=google,4.8,720,Dentist,Show open hours for the week,https://www.google.com/maps/place/Wynkoop+Dentistry/data=!4m7!3m6!1s0x876c78c2ffffffff:0xbfcf57c310a64784!8m2!3d39.7505283!4d-105.0011659!16s%2Fg%2F1tj3lkxv!19sChIJ_____8J4bIcRhEemEMNXz78?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:27:42.660373
Dental Elements,"
1781 15th St, Denver, CO 80202, United States",Central Denver,Denver,+1 303-309-4093,https://dentalelements.com/,4.9,379,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dental+Elements/data=!4m7!3m6!1s0x876c78c1584a580d:0x46529881d8c6414f!8m2!3d39.751465!4d-105.002539!16s%2Fg%2F1tgh815b!19sChIJDVhKWMF4bIcRT0HG2IGYUkY?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:27:49.677707
Lodo Dental,"
1435 Wazee St Ste 102, Denver, CO 80202, United States",Central Denver,Denver,+1 303-623-5636,http://www.lododental.com/,4.8,324,Dentist,Show open hours for the week,https://www.google.com/maps/place/Lodo+Dental/data=!4m7!3m6!1s0x876c78c43dbc40a9:0x73e7e0fb7eaa0ce8!8m2!3d39.7499657!4d-105.0021636!16s%2Fg%2F1thxlk91!19sChIJqUC8PcR4bIcR6Ayqfvvg53M?authuser=0&hl=en&rclk=1,dentist Downtown Denver CO,2026-03-02T13:27:59.053664
Governor's Park Dental Group,"
700 E 9th Ave, Denver, CO 80203, United States",Central Denver,Denver,+1 303-502-5883,https://govparkdental.com/?utm_source=extnet&utm_medium=yext&y_source=1_NTU4MzQ4MDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.6,308,Dentist,Closed · Opens 8 am,https://www.google.com/maps/place/Governor%27s+Park+Dental+Group/data=!4m7!3m6!1s0x876c7ed0bddc6b1d:0x2a129e581970579a!8m2!3d39.7302496!4d-104.9784068!16s%2Fg%2F1tfzsdrf!19sChIJHWvcvdB-bIcRmldwGVieEio?authuser=0&hl=en&rclk=1,dentist Capitol Hill Denver CO,2026-03-02T13:28:55.370544
