name,address,borough,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments
Downtown Houston Dental,"
910 Louisiana St Suite 190, Houston, TX 77002, United States",,Houston,+1 713-229-8100,http://www.downtownhoustondentist.com/,4.9,439,Dentist,Show open hours for the week,https://www.google.com/maps/place/Downtown+Houston+Dental/data=!4m7!3m6!1s0x8640bf3a28d021fb:0x1216240b2ecbfd68!8m2!3d29.7591146!4d-95.3676616!16s%2Fg%2F1vg_d78q!19sChIJ-yHQKDq_QIYRaP3LLgskFhI?authuser=0&hl=en&rclk=1,dentist Downtown Houston TX,2026-02-27T11:33:38.404811,https://www.facebook.com/downtownhoustondental,,,439,,,7,no,Facebook only; No SSL
Downtown Dentist,"
333 Clay St #100, Houston, TX 77002, United States",,Houston,+1 713-658-9591,http://downtowndentist.com/,5.0,80,Dentist,Show open hours for the week,https://www.google.com/maps/place/Downtown+Dentist/data=!4m7!3m6!1s0x86412738ed5bd345:0xc5c2833d4e567eaf!8m2!3d29.7574259!4d-95.3719166!16s%2Fg%2F1262jgkqz!19sChIJRdNb7TgnQYYRr35WTj2DwsU?authuser=0&hl=en&rclk=1,dentist Downtown Houston TX,2026-02-27T11:33:42.645573,https://www.facebook.com/DowntownHoustonDentist,,,80,17,,8,no,Large team (17 doctors); Facebook only; No SSL
"Dr. Gregory A. Snow, DDS","
440 Louisiana St Ste 2030, Houston, TX 77002, United States",,Houston,+1 713-652-0555,https://www.gregsnowdds.com/,4.9,245,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Dr.+Gregory+A.+Snow,+DDS/data=!4m7!3m6!1s0x8640bf397f310133:0x8c9207730dc946a9!8m2!3d29.7627516!4d-95.3647183!16s%2Fg%2F1tqg0qfb!19sChIJMwExfzm_QIYRqUbJDXMHkow?authuser=0&hl=en&rclk=1",dentist Downtown Houston TX,2026-02-27T11:33:47.881569,,,,245,4,,8,yes,Has online booking; No social media
Northpark Dental,"
3030 Northpark Dr, Kingwood, TX 77339, United States",,Houston,+1 281-361-3131,http://www.kenmcmillendds.com/,5.0,94,Dentist,Show open hours for the week,https://www.google.com/maps/place/Northpark+Dental/data=!4m7!3m6!1s0x864752cfff7c42ff:0x23c4dff634ce85b5!8m2!3d30.067769!4d-95.195821!16s%2Fg%2F1tsyq590!19sChIJ_0J8_89SR4YRtYXONPbfxCM?authuser=0&hl=en&rclk=1,dentist Downtown Houston TX,2026-02-27T11:36:32.853714,,,,94,2,,8,yes,Has online booking; No social media; No SSL; Has online booking
Nelson Family Orthodontics: Dr. Robert W. Nelson,"
9430 Fry Rd Suite 800, Cypress, TX 77433, United States",,Houston,+1 281-213-5065,https://nelsonfamilyortho.com/,5.0,74,Orthodontist,Show open hours for the week,https://www.google.com/maps/place/Nelson+Family+Orthodontics:+Dr.+Robert+W.+Nelson/data=!4m7!3m6!1s0x8640d7735616a903:0xa86956bdbbfe906!8m2!3d29.921333!4d-95.727743!16s%2Fg%2F11w7hj9n81!19sChIJA6kWVnPXQIYRBum_22uVhgo?authuser=0&hl=en&rclk=1,dentist Downtown Houston TX,2026-02-27T11:36:36.915467,https://www.facebook.com/profile.php,https://www.instagram.com/nelsonfamilyortho,,74,11,,10,yes,Has online booking; Large team (11 doctors); Has online booking
Midtown Dental - The Gallery of Smiles,"
2450 Louisiana St #700, Houston, TX 77006, United States",,Houston,+1 713-979-4127,https://www.thegalleryofsmiles.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,4.9,347,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+-+The+Gallery+of+Smiles/data=!4m7!3m6!1s0x8640bf6a470c5c79:0xab0659c6e1f73b17!8m2!3d29.7476784!4d-95.3771008!16s%2Fg%2F1tfbyvn9!19sChIJeVwMR2q_QIYRFzv34cZZBqs?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:37:24.760159,,,,347,,,4,no,No social media; Thin content
Midtown Dentistry,"
315 Westheimer Rd, Houston, TX 77006, United States",,Houston,+1 713-588-9297,https://midtowndentistry.com/locations/westheimer,4.8,1391,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dentistry/data=!4m7!3m6!1s0x8640bf6668c23fe9:0xcdc6ed30f503a94a!8m2!3d29.7443577!4d-95.385307!16s%2Fg%2F1tgwb8qb!19sChIJ6T_CaGa_QIYRSqkD9TDtxs0?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:37:28.788451,https://www.facebook.com/houstondentistry,https://www.instagram.com/midtown_dentistry,,1391,1,,10,yes,Has online booking; Single practitioner; Has online booking
URBN Dental Implants & Invisalign | Midtown,"
3510 Main St Ste E, Houston, TX 77002, United States",,Houston,+1 346-815-9997,https://urbndental.com/texas/houston-dental-services/midtown/?utm_campaign=local-listings&utm_term=midtown,4.9,874,Dentist,Show open hours for the week,https://www.google.com/maps/place/URBN+Dental+Implants+%26+Invisalign+%7C+Midtown/data=!4m7!3m6!1s0x8640bf6e6c0a0a03:0xb4458ffccf2ec99!8m2!3d29.7394979!4d-95.3792165!16s%2Fg%2F11fzf460fk!19sChIJAwoKbG6_QIYRmezyzP9YRAs?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:37:33.482236,https://www.facebook.com/tr,https://www.instagram.com/urbndental,https://www.tiktok.com/@urbndental,874,29,,10,yes,Has online booking; Large team (29 doctors); Has online booking
Smiles of Midtown,"
3600 San Jacinto St, Houston, TX 77004, United States",,Houston,+1 713-523-6848,https://smilesofmidtown.com/?utm_source=gmb,5.0,223,Dentist,Show open hours for the week,https://www.google.com/maps/place/Smiles+of+Midtown/data=!4m7!3m6!1s0x8640bf6df7793c5f:0x101a7a208595c8fd!8m2!3d29.7379496!4d-95.3777135!16s%2Fg%2F1tgcs82z!19sChIJXzx5922_QIYR_ciVhSB6GhA?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:37:37.717189,,https://www.instagram.com/smilesofmidtown,,223,14,,8,no,Large team (14 doctors)
FLOSS Dental of Houston Midtown,"
2707 Milam St Suite C, Houston, TX 77006, United States",,Houston,+1 713-900-1919,https://www.flossdentalhouston.com/,4.8,620,Dentist,Show open hours for the week,https://www.google.com/maps/place/FLOSS+Dental+of+Houston+Midtown/data=!4m7!3m6!1s0x8640bf6bbb597451:0xd71fb2ff4ff42dc5!8m2!3d29.7454832!4d-95.3763676!16s%2Fg%2F11f38l1kg0!19sChIJUXRZu2u_QIYRxS30T_-yH9c?authuser=0&hl=en&rclk=1,dentist Midtown Houston TX,2026-02-27T11:37:41.870798,https://www.facebook.com/FLOSSMidtown,,,620,6,,9,yes,Has online booking; Large team (6 doctors); Facebook only; Has online booking
