name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments
Comfy Dental Care - Dentist Las Vegas,"
803 S 7th St, Las Vegas, NV 89101, United States",Central Las Vegas,Las Vegas,+1 702-869-8200,https://comfydental.care/?utm_source=gmb,4.9,168,Dentist,Show open hours for the week,https://www.google.com/maps/place/Comfy+Dental+Care+-+Dentist+Las+Vegas/data=!4m7!3m6!1s0x80c8c3297456d2e1:0xee59be26c89eb51d!8m2!3d36.159914!4d-115.1436041!16s%2Fg%2F11qg34f5_m!19sChIJ4dJWdCnDyIARHbWeyCa-We4?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:02.062275,https://www.facebook.com/comfydentalcare,https://www.instagram.com/comfydentalcare,,168,4,,10,yes,Has online booking; Has online booking
Las Vegas Dental Group,"
2701 W Charleston Blvd, Las Vegas, NV 89102, United States",Central Las Vegas,Las Vegas,+1 702-870-5165,https://www.lasvegasdentalgroup.com/,4.8,373,Dentist,Show open hours for the week,https://www.google.com/maps/place/Las+Vegas+Dental+Group/data=!4m7!3m6!1s0x80c8c3e610622a65:0x9177c4b5b0a135c9!8m2!3d36.158374!4d-115.177857!16s%2Fg%2F1tpbc7sk!19sChIJZSpiEObDyIARyTWhsLXEd5E?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:06.689383,https://www.facebook.com/lasvegasdentalgroup,https://www.instagram.com/lasvegasdentalgroup,,373,10,,10,yes,Has online booking; Large team (10 doctors); Has online booking
Dr Azimi DDS,"
701 E Charleston Blvd, Las Vegas, NV 89104, United States",Central Las Vegas,Las Vegas,+1 702-759-0005,http://www.drazimi.com/,4.9,464,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dr+Azimi+DDS/data=!4m7!3m6!1s0x80c8c38329cfac7d:0x8ecf1edb9d4ce577!8m2!3d36.1590674!4d-115.143979!16s%2Fg%2F1td2v5bt!19sChIJfazPKYPDyIARd-VMndsez44?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:14.363376,,,,464,,,0,no,Website timeout
The Dental Center of Nevada,"
601 S Rancho Dr suite b-15, Las Vegas, NV 89106, United States",Central Las Vegas,Las Vegas,+1 702-385-1166,,4.8,323,Dentist,Show open hours for the week,https://www.google.com/maps/place/The+Dental+Center+of+Nevada/data=!4m7!3m6!1s0x80c8c3e9e5a2aaef:0x22853c2c307e5303!8m2!3d36.1632777!4d-115.1720503!16s%2Fg%2F11b7g05k33!19sChIJ76qi5enDyIARA1N-MCw8hSI?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:18.180357,,,,323,,,0,,No website
Nevada Dentistry & Braces,"
581 N Eastern Ave, Las Vegas, NV 89101, United States",Central Las Vegas,Las Vegas,+1 702-444-7810,https://nvdentalbraces.com/,4.6,812,Dentist,Show open hours for the week,https://www.google.com/maps/place/Nevada+Dentistry+%26+Braces/data=!4m7!3m6!1s0x80c8c322f0f6fa15:0xd561b9f945593e65!8m2!3d36.1732031!4d-115.1164219!16s%2Fg%2F11jpf_ljjq!19sChIJFfr28CLDyIARZT5ZRfm5YdU?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:26.870223,https://www.facebook.com/Nevada-Dentistry-Braces-640601286144005,https://www.instagram.com/nevadabraces,,812,,,9,no,
Silver Mountain Dental,"
2337 E Bonanza Rd, Las Vegas, NV 89101, United States",Central Las Vegas,Las Vegas,+1 702-307-2273,https://silvermountaindental.com/?utm_campaign=gmb,4.2,533,Dentist,Show open hours for the week,https://www.google.com/maps/place/Silver+Mountain+Dental/data=!4m7!3m6!1s0x80c8dc9955cf5b35:0xf80dd88e2c37a9de!8m2!3d36.1747084!4d-115.1179159!16s%2Fg%2F1trrdg_s!19sChIJNVvPVZncyIAR3qk3LI7YDfg?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:35.495916,,,,533,,,0,no,Website error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://s
boca Dental and Braces,"
556 N Eastern Ave, Las Vegas, NV 89101, United States",Central Las Vegas,Las Vegas,+1 702-960-4484,http://bocadentallasvegas.com/,4.6,723,Dentist,Show open hours for the week,https://www.google.com/maps/place/boca+Dental+and+Braces/data=!4m7!3m6!1s0x80c8c34182ffe791:0x1d6d0bb87d58d508!8m2!3d36.1722158!4d-115.1147469!16s%2Fg%2F11fx9cv3x2!19sChIJkef_gkHDyIARCNVYfbgLbR0?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:39.564350,https://www.facebook.com/bocadentalandbraces,,,723,2,,8,no,Facebook only; No SSL
Absolute Dental - Charleston,"
1860 E Charleston Blvd, Las Vegas, NV 89104, United States",Central Las Vegas,Las Vegas,+1 702-843-0946,https://www.absolutedental.com/locations/nevada/las-vegas/1860-e-charleston-blvd/,4.3,560,Dentist,Show open hours for the week,https://www.google.com/maps/place/Absolute+Dental+-+Charleston/data=!4m7!3m6!1s0x80c8c34182459eb7:0x6fdd508bc7d62cae!8m2!3d36.1585677!4d-115.1239714!16s%2Fg%2F1263_4d2d!19sChIJt55FgkHDyIARrizWx4tQ3W8?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:46.633360,,,,560,,,3,no,No social media; No mobile viewport; Thin content
Dee for Dentist,"
2421 W Charleston Blvd, Las Vegas, NV 89102, United States",Central Las Vegas,Las Vegas,+1 702-848-2001,https://deefordentist.com/medical-district-location/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,217,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dee+for+Dentist/data=!4m7!3m6!1s0x80c8c3e8cdd6e3e9:0xf10e4eca6331e7d7!8m2!3d36.158571!4d-115.174994!16s%2Fg%2F11b7221y50!19sChIJ6ePWzejDyIAR1-cxY8pODvE?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:51.979474,https://www.facebook.com/deefordentist,https://www.instagram.com/deefordentist,,217,6,,10,yes,Has online booking; Large team (6 doctors); Has online booking
Nu Smile Dental,"
992 E Sahara Ave, Las Vegas, NV 89104, United States",Central Las Vegas,Las Vegas,+1 702-694-4234,http://nusmilelv.com/,4.9,173,Dentist,Show open hours for the week,https://www.google.com/maps/place/Nu+Smile+Dental/data=!4m7!3m6!1s0x80c8c556bc72b54b:0x43e490305b9b5859!8m2!3d36.1449056!4d-115.1409976!16s%2Fg%2F11s65pn324!19sChIJS7VyvFbFyIARWVibWzCQ5EM?authuser=0&hl=en&rclk=1,dentist Downtown Las Vegas NV,2026-03-02T13:27:55.450182,https://www.facebook.com/wix,,,173,2,,9,yes,Has online booking; Facebook only; No SSL; Has online booking
