name,address,borough,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at
Midtown Dental Care Associates,"
12 E 41st St suite 1100, New York, NY 10017, United States",Manhattan,New York,+1 212-685-4730,https://www.midtowndentalcareassociates.com/?utm_source=gmb&utm_medium=organic,4.9,562,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Care+Associates/data=!4m7!3m6!1s0x89c2590057b78029:0xbae44c41e7ce4f2c!8m2!3d40.752382!4d-73.980661!16s%2Fg%2F1tfpqlxs!19sChIJKYC3VwBZwokRLE_O50FM5Lo?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:08:29.190980
Midtown Dental Group Fashion District,"
241 W 37th St Ground Floor, New York, NY 10018, United States",Manhattan,New York,+1 212-730-4440,http://www.midtowndentalgroup.com/,4.9,695,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Group+Fashion+District/data=!4m7!3m6!1s0x89c259acf6490b4f:0x485b24d73ac3fff4!8m2!3d40.7538706!4d-73.9909457!16s%2Fg%2F1td7v2tj!19sChIJTwtJ9qxZwokR9P_DOtckW0g?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:08:35.339288
Diamond District Dental NYC - Midtown Dentist,"
10 W 46th St #1401, New York, NY 10036, United States",Manhattan,New York,+1 212-759-5595,https://www.dddentalnyc.com/,4.9,582,Dentist,Show open hours for the week,https://www.google.com/maps/place/Diamond+District+Dental+NYC+-+Midtown+Dentist/data=!4m7!3m6!1s0x89c258e4ed67c03b:0x552a45e0a6609cc1!8m2!3d40.7563177!4d-73.9800044!16s%2Fg%2F1tdw8zvt!19sChIJO8Bn7eRYwokRwZxgpuBFKlU?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:08:42.600974
209 NYC Dental,"
209 E 56th St 1st floor, New York, NY 10022, United States",Manhattan,New York,+1 212-355-2290,https://www.209nycdental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,1767,Dentist,Show open hours for the week,https://www.google.com/maps/place/209+NYC+Dental/data=!4m7!3m6!1s0x89c258e446e4e16f:0x278f5e2c13ac9a17!8m2!3d40.7594146!4d-73.9671025!16s%2Fg%2F1thqbs3j!19sChIJb-HkRuRYwokRF5qsEyxejyc?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:08:46.180089
Expert Dental - Midtown,"
110 E 40th St #104, New York, NY 10016, United States",Manhattan,New York,+1 212-763-3383,https://www.expertdentalnyc.com/,4.5,2043,Dentist,Show open hours for the week,https://www.google.com/maps/place/Expert+Dental+-+Midtown/data=!4m7!3m6!1s0x89c2590424ca2b81:0x473ca88d15cb6018!8m2!3d40.7503706!4d-73.9780354!16s%2Fg%2F1tvw5vj7!19sChIJgSvKJARZwokRGGDLFY2oPEc?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:08:50.826194
Midtown Dental Art,"
30 E 40th St Suite 602, New York, NY 10016, United States",Manhattan,New York,+1 646-362-3368,https://www.midtowndentalartnyc.com/,5.0,212,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Art/data=!4m7!3m6!1s0x89c259a97e0f6b13:0xf6c84d2add08cd75!8m2!3d40.7511489!4d-73.9797149!16s%2Fg%2F11cp7555jn!19sChIJE2sPfqlZwokRdc0I3SpNyPY?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:08:57.568056
Midtown Dental Group Grand Central,"
20 E 46th St #803, New York, NY 10017, United States",Manhattan,New York,+1 212-972-1085,http://midtowndentalgroup.com/,4.9,345,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Group+Grand+Central/data=!4m7!3m6!1s0x89c2596dfc2f6c2d:0x1e304a4cad80142d!8m2!3d40.7553156!4d-73.9779325!16s%2Fg%2F11jpylsqzc!19sChIJLWwv_G1ZwokRLRSArUxKMB4?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:04.148132
New York Midtown Dental PC,"
1560 Broadway #601, New York, NY 10036, United States",Manhattan,New York,+1 212-278-8105,https://www.nymidtowndental.com/,5.0,107,Dentist,Show open hours for the week,https://www.google.com/maps/place/New+York+Midtown+Dental+PC/data=!4m7!3m6!1s0x89c258ffdbaecc0d:0x4ef7b326bca71037!8m2!3d40.7583413!4d-73.984189!16s%2Fg%2F1tj5rnc3!19sChIJDcyu2_9YwokRNxCnvCaz904?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:08.980224
Studio Smiles NYC,"
41 Park Ave # 1C, New York, NY 10016, United States",Manhattan,New York,+1 646-470-1376,http://www.studiosmilesnyc.com/,5.0,582,Dentist,Show open hours for the week,https://www.google.com/maps/place/Studio+Smiles+NYC/data=!4m7!3m6!1s0x89c259024a2f6ba9:0x7e689c1fb16c021a!8m2!3d40.748366!4d-73.9799504!16s%2Fg%2F11_k25n12!19sChIJqWsvSgJZwokRGgJssR-caH4?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:14.817542
Midtown Dental Wellness,"
515 Madison Ave Suite #3303, New York, NY 10022, United States",Manhattan,New York,+1 212-751-1333,https://nycdentalwellness.com/?utm_campaign=gmb,4.7,251,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Dental+Wellness/data=!4m7!3m6!1s0x89c258fb7394cc75:0xd9126b44c4ec58!8m2!3d40.7597557!4d-73.9737476!16s%2Fg%2F11c5btqsvj!19sChIJdcyUc_tYwokRWOzERGsS2QA?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:09:18.526881
