name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments
Downtown Dental,"
101 Union St N, Nashville, TN 37201, United States",Core Nashville,Nashville,+1 615-254-1393,http://www.downtowndentalnashville.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.7,404,Dentist,Show open hours for the week,https://www.google.com/maps/place/Downtown+Dental/data=!4m7!3m6!1s0x8864665750ecf543:0xe226ce94555597c1!8m2!3d36.166097!4d-86.777065!16s%2Fg%2F1tfpkk5c!19sChIJQ_XsUFdmZIgRwZdVVZTOJuI?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:26:51.195265,,,,404,,,0,no,Website timeout
Dentistry of Nashville,"
2125 Blakemore Ave, Nashville, TN 37212, United States",Core Nashville,Nashville,+1 615-383-3690,https://dentistryofnashville.com/,4.8,1028,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dentistry+of+Nashville/data=!4m7!3m6!1s0x886466a1dd900c65:0x7250f245391794d6!8m2!3d36.137544!4d-86.803203!16s%2Fg%2F1hc0ybk2x!19sChIJZQyQ3aFmZIgR1pQXOUXyUHI?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:26:56.100468,https://www.facebook.com/TheDentistryofNashville,,,1028,6,,10,yes,Has online booking; Large team (6 doctors); Facebook only; Has online booking
Midtown Smiles,"
310 23rd Ave N #101, Nashville, TN 37203, United States",Core Nashville,Nashville,+1 615-320-3210,https://www.midtownsmilestn.com/,4.9,760,Dentist,Show open hours for the week,https://www.google.com/maps/place/Midtown+Smiles/data=!4m7!3m6!1s0x886466b92b15c5c3:0xa09b2c3635364f4e!8m2!3d36.1526136!4d-86.8070657!16s%2Fg%2F11c5zph07r!19sChIJw8UVK7lmZIgRTk82NTYsm6A?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:27:00.390909,https://www.facebook.com/MidtownSmilesNashville,https://www.instagram.com/midtownsmiles,,760,17,,10,yes,Has online booking; Large team (17 doctors); Has online booking
Gulch Dental Studio,"
224 11th Ave S, Nashville, TN 37203, United States",Core Nashville,Nashville,+1 615-645-2381,https://www.gulchdentalstudio.com/,4.9,705,Dentist,Show open hours for the week,https://www.google.com/maps/place/Gulch+Dental+Studio/data=!4m7!3m6!1s0x8864668b2d5750a9:0x8efcfd0021ea73e9!8m2!3d36.154236!4d-86.7842892!16s%2Fg%2F11bw5zs330!19sChIJqVBXLYtmZIgR6XPqIQD9_I4?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:27:05.783747,https://www.facebook.com/GulchDental,https://www.instagram.com/gulchdentalstudio,,705,19,,9,yes,Has online booking; Large team (19 doctors)
Katherine Hall DDS,"
500 Church St # 430, Nashville, TN 37219, United States",Core Nashville,Nashville,+1 615-777-2600,http://www.katherinehalldds.com/,4.9,527,Cosmetic dentist,Show open hours for the week,https://www.google.com/maps/place/Katherine+Hall+DDS/data=!4m7!3m6!1s0x886466585918858d:0xcac9a63e14db6456!8m2!3d36.1631789!4d-86.7804157!16s%2Fg%2F1tdh4ls6!19sChIJjYUYWVhmZIgRVmTbFD6myco?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:27:09.895183,https://www.facebook.com/katherinehalldds,,,527,12,,9,yes,Has online booking; Large team (12 doctors); Facebook only; No SSL; Has online booking
Tennessee Family Dental Care - Midtown PLLC,"
2106 Charlotte Ave, Nashville, TN 37203, United States",Core Nashville,Nashville,+1 615-447-8519,https://www.tennesseefamilydentalcare.com/midtown-nashville-location,4.7,327,Dentist,Show open hours for the week,https://www.google.com/maps/place/Tennessee+Family+Dental+Care+-+Midtown+PLLC/data=!4m7!3m6!1s0x886466ed0dbbee75:0xa26782f23bcca7f0!8m2!3d36.1568829!4d-86.806058!16s%2Fg%2F1tdfzgd2!19sChIJde67De1mZIgR8KfMO_KCZ6I?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:27:17.039489,,,,327,12,,9,yes,Has online booking; Large team (12 doctors); No social media; Has online booking
Smiles Up Dentistry,"
1916 Patterson St Suite 712, Nashville, TN 37203, United States",Core Nashville,Nashville,+1 615-678-8965,http://nashvillesmilesup.com/,4.9,901,Dentist,Show open hours for the week,https://www.google.com/maps/place/Smiles+Up+Dentistry/data=!4m7!3m6!1s0x886467b0f1c56357:0x2f4b69ac87b478ed!8m2!3d36.1558065!4d-86.8018296!16s%2Fg%2F11k77bgqjf!19sChIJV2PF8bBnZIgR7Xi0h6xpSy8?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:27:23.170321,https://www.facebook.com/SmilesUPNashville,https://www.instagram.com/smilesupnashville,,901,2,,8,yes,Has online booking; No SSL; Has online booking
"Thomas Nabors, DDS","
401 Church St STE 910, Nashville, TN 37219, United States",Core Nashville,Nashville,+1 629-265-9219,https://www.thomasnabors.com/,5.0,524,Cosmetic dentist,Show open hours for the week,"https://www.google.com/maps/place/Thomas+Nabors,+DDS/data=!4m7!3m6!1s0x88646659a5c2c5ff:0x98762839a79279e!8m2!3d36.1632264!4d-86.7790065!16s%2Fg%2F1vgx1h7j!19sChIJ_8XCpVlmZIgRnid5moNihwk?authuser=0&hl=en&rclk=1",dentist Downtown Nashville TN,2026-03-02T13:27:28.201735,https://www.facebook.com/people/Thomas-Nabors/61556825420055,https://www.instagram.com/drthomasnabors,,524,19,,10,yes,Has online booking; Large team (19 doctors); Has online booking
East Side Smiles,"
7 N 10th St, Nashville, TN 37206, United States",Core Nashville,Nashville,+1 629-206-4771,https://www.eastsidesmiles.net/,4.9,460,Dentist,Show open hours for the week,https://www.google.com/maps/place/East+Side+Smiles/data=!4m7!3m6!1s0x886467d27f899753:0x819301f4c8fbf39c!8m2!3d36.1786291!4d-86.7516534!16s%2Fg%2F1tc_4v3c!19sChIJU5eJf9JnZIgRnPP7yPQBk4E?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:27:32.239459,https://www.facebook.com/eastsidesmilestn,https://www.instagram.com/eastsidesmiles,,460,19,,10,yes,Has online booking; Large team (19 doctors); Has online booking
"Jody Jones, DDS","
55 Music Square E Ste D, Nashville, TN 37203, United States",Core Nashville,Nashville,+1 615-259-5100,https://celebritysmilesdds.com/,4.9,447,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Jody+Jones,+DDS/data=!4m7!3m6!1s0x8864669215ee7c41:0x89e1ae4b6785a1c9!8m2!3d36.1476818!4d-86.7926449!16s%2Fg%2F1tkl4167!19sChIJQXzuFZJmZIgRyaGFZ0uu4Yk?authuser=0&hl=en&rclk=1",dentist Downtown Nashville TN,2026-03-02T13:27:39.712303,,https://www.instagram.com/jodyjones_dds,,447,6,,10,yes,Has online booking; Large team (6 doctors); Has online booking
Capitol View Dental,"
601 11th Ave N, Nashville, TN 37203, United States",Core Nashville,Nashville,+1 615-277-1087,https://www.capitolviewdental.com/,5.0,21,Dentist,Show open hours for the week,https://www.google.com/maps/place/Capitol+View+Dental/data=!4m7!3m6!1s0x8864676d611ee98f:0xc66d7d4b2fd10a60!8m2!3d36.164796!4d-86.792864!16s%2Fg%2F11ynxnhzqf!19sChIJj-keYW1nZIgRYArRL0t9bcY?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:27:46.838217,https://www.facebook.com/profile.php,https://www.instagram.com/capitolviewdental,,21,5,,10,yes,Has online booking; Has online booking
Germantown Dental,"
1324 4th Ave N, Nashville, TN 37208, United States",Core Nashville,Nashville,+1 615-742-5578,http://germantown.dental/,5.0,358,Dentist,Show open hours for the week,https://www.google.com/maps/place/Germantown+Dental/data=!4m7!3m6!1s0x8864670247bdf655:0x1086d00454c70c77!8m2!3d36.1785846!4d-86.7883327!16s%2Fg%2F1tl8lfsx!19sChIJVfa9RwJnZIgRdwzHVATQhhA?authuser=0&hl=en&rclk=1,dentist Downtown Nashville TN,2026-03-02T13:27:55.494640,http://www.facebook.com/2008/fbml,http://www.instagram.com/germantown_dental,,358,4,,8,yes,Has online booking; No SSL
"Music City Dental: Family, Cosmetic, & Implant Dentistry PLLC","
808 Kirkwood Ave, Nashville, TN 37204, United States",Core Nashville,Nashville,+1 615-953-2469,https://www.musiccitydental.com/,4.9,647,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Music+City+Dental:+Family,+Cosmetic,+%26+Implant+Dentistry+PLLC/data=!4m7!3m6!1s0x886465d142fe8c85:0xb87622e4690fd8e2!8m2!3d36.1215284!4d-86.7765328!16s%2Fg%2F12hp45wpr!19sChIJhYz-QtFlZIgR4tgPaeQidrg?authuser=0&hl=en&rclk=1",dentist Downtown Nashville TN,2026-03-02T13:28:00.407421,https://www.facebook.com/MusicCityDental,https://www.instagram.com/musiccitydental,,647,1,,9,yes,Has online booking; Single practitioner
