name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments
Downtown Phoenix Dental,"
111 W Monroe St UNIT 131, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 602-626-7952,https://www.downtownphoenixdental.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,4.9,551,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Downtown+Phoenix+Dental/data=!4m7!3m6!1s0x872b1223c0e9d0a1:0x44e1554b12adf085!8m2!3d33.4502024!4d-112.0759159!16s%2Fg%2F1vgx16hq!19sChIJodDpwCMSK4cRhfCtEktV4UQ?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:37:40.167326,https://www.facebook.com/profile.php,,,551,7,,10,yes,Has online booking; Large team (7 doctors); Facebook only; Has online booking
Downtown Smiles Phoenix Dental Care,"
45 W Jefferson St Suite L, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 602-566-9005,http://downtownsmilesphx.com/,4.9,318,Dentist,Show open hours for the week,https://www.google.com/maps/place/Downtown+Smiles+Phoenix+Dental+Care/data=!4m7!3m6!1s0x872b139d7e8b22a3:0x1e1a18d2ab986eee!8m2!3d33.4470044!4d-112.0747855!16s%2Fg%2F11s8ys4qcp!19sChIJoyKLfp0TK4cR7m6Yq9IYGh4?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:37:45.851841,https://www.facebook.com/downtownsmilesphx,https://www.instagram.com/downtownsmilesphx,,318,12,,8,yes,Has online booking; Large team (12 doctors); No SSL; Has online booking
Anytime Dental,"
10 W Adams St, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 602-207-8528,https://www.anytimedentalphx.com/?utm_campaign=gmb,4.7,328,Dentist,Show open hours for the week,https://www.google.com/maps/place/Anytime+Dental/data=!4m7!3m6!1s0x872b135c79a54e57:0x1adfd8850a95272f!8m2!3d33.4494904!4d-112.0740896!16s%2Fg%2F11j009ybq7!19sChIJV06leVwTK4cRLyeVCoXY3xo?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:37:55.069411,https://www.facebook.com/anytimedentalphx,https://www.instagram.com/anytimedentalphx,,328,11,,10,yes,Has online booking; Large team (11 doctors); Has online booking
Healing Dentistry Dental clinic,"
125 W McDowell Rd, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 602-273-0013,http://healingdentistry.com/,4.8,208,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Healing+Dentistry+Dental+clinic/data=!4m7!3m6!1s0x872b13cfcd3767c7:0x95a7594bea0cb2f2!8m2!3d33.4655298!4d-112.0770296!16s%2Fg%2F11qrkn9hz3!19sChIJx2c3zc8TK4cR8rIM6ktZp5U?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:38:14.481363,https://www.facebook.com/HealingDentistry,https://www.instagram.com/healingdentistry,https://www.tiktok.com/@healingdentistry,208,3,,8,yes,Has online booking; No SSL; Has online booking
1800 Emergency Dentist Phoenix 24 Hour,"
610 W Buckeye Rd, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 480-914-3723,https://1800dentist.com/emergency-dentist-phoenix-520651/,5.0,23,Dentist,Show open hours for the week,https://www.google.com/maps/place/1800+Emergency+Dentist+Phoenix+24+Hour/data=!4m7!3m6!1s0x872b113930009b0b:0x638fae203bd76bd1!8m2!3d33.4372582!4d-112.0818135!16s%2Fg%2F11x28lkyfc!19sChIJC5sAMDkRK4cR0WvXOyCuj2M?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:38:20.377929,https://www.facebook.com/1800dentist,,,23,,,9,no,Facebook only
Somos Dental & Orthodontics - Downtown PHX,"
1602 E Roosevelt St Ste 301, Phoenix, AZ 85006, United States",Central Phoenix,Phoenix,+1 602-888-2884,https://downtownphoenix.somosdental.com/,4.6,586,Dentist,Show open hours for the week,https://www.google.com/maps/place/Somos+Dental+%26+Orthodontics+-+Downtown+PHX/data=!4m7!3m6!1s0x872b0df78b393a67:0x6cfcda494ad23808!8m2!3d33.459685!4d-112.045445!16s%2Fg%2F11g9vy6yg2!19sChIJZzo5i_cNK4cRCDjSSkna_Gw?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:38:27.013456,,,,586,,,3,no,No social media; No mobile viewport; Thin content
West Portland Dental,"
100 W Portland St #104, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 602-580-0414,https://www.westportlanddental.com/,4.8,94,Dentist,Show open hours for the week,https://www.google.com/maps/place/West+Portland+Dental/data=!4m7!3m6!1s0x872b13a0e4606f7d:0x85e10ed37cda1e79!8m2!3d33.4601559!4d-112.0754652!16s%2Fg%2F11sv2d1ykk!19sChIJfW9g5KATK4cReR7afNMO4YU?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:38:44.059190,,,,94,,,5,no,No social media
1800 Emergency Dentist Phoenix 24 Hour,"
346 N 3rd Ave, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 480-741-9408,https://1800dentist.com/emergency-dentist-phoenix-520651/,5.0,11,Emergency dental service,,https://www.google.com/maps/place/1800+Emergency+Dentist+Phoenix+24+Hour/data=!4m7!3m6!1s0x872b13753e103e2f:0x8bcb9ca1d20ff3da!8m2!3d33.4533414!4d-112.0780579!16s%2Fg%2F11mkbhx664!19sChIJLz4QPnUTK4cR2vMP0qGcy4s?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:38:52.226436,https://www.facebook.com/1800dentist,,,11,,,9,no,Facebook only
Radiant Smiles Phoenix,"
380 E Virginia Ave, Phoenix, AZ 85004, United States",Central Phoenix,Phoenix,+1 602-461-7575,https://www.radiantsmilesphoenix.com/?link=gmb,4.9,420,Dentist,Show open hours for the week,https://www.google.com/maps/place/Radiant+Smiles+Phoenix/data=!4m7!3m6!1s0x872b1268ae9bfd09:0xb8d17d7c93292cb3!8m2!3d33.4768521!4d-112.06592!16s%2Fg%2F1tp0f3x_!19sChIJCf2brmgSK4cRsywpk3x90bg?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:39:03.142584,https://facebook.com/RadiantSmilesPhoenix,https://instagram.com/p/Bmw8wHaBS1f,,420,6,,10,yes,Has online booking; Large team (6 doctors); Has online booking
Dental on Central,"
5133 N Central Ave Suite 102, Phoenix, AZ 85012, United States",Central Phoenix,Phoenix,+1 602-266-1776,https://www.dentaloncentral.com/,4.6,1478,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dental+on+Central/data=!4m7!3m6!1s0x872b12c0e8dfa737:0x314088212bfeee04!8m2!3d33.5123294!4d-112.0734523!16s%2Fg%2F1tjpqzg9!19sChIJN6ff6MASK4cRBO7-KyGIQDE?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:39:08.834652,,,,1478,14,,8,yes,Has online booking; Large team (14 doctors); No social media
Emergency Dentists,"
631 N 1st Ave, Phoenix, AZ 85003, United States",Central Phoenix,Phoenix,+1 866-332-1510,https://emergencydentistclinics.com/state/texas/dallas/,5.0,6,Dental clinic,Show open hours for the week,https://www.google.com/maps/place/Emergency+Dentists/data=!4m7!3m6!1s0x872b123ce6c4cb81:0x998eed0a61329811!8m2!3d33.4558296!4d-112.074768!16s%2Fg%2F11y6_pk3d7!19sChIJgcvE5jwSK4cREZgyYQrtjpk?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:39:20.869024,,,,6,,,7,no,No social media
Highrise Dental,"
3003 N Central Ave #630, Phoenix, AZ 85012, United States",Central Phoenix,Phoenix,+1 602-230-1161,https://highrisedental.com/,5.0,125,Dentist,Show open hours for the week,https://www.google.com/maps/place/Highrise+Dental/data=!4m7!3m6!1s0x872b125e6af19153:0xcd9fffd4deb28e6f!8m2!3d33.4825295!4d-112.0732229!16s%2Fg%2F1tvq4lgb!19sChIJU5Hxal4SK4cRb46y3tT_n80?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:39:27.422069,,,,125,,,3,no,No social media; No mobile viewport; Thin content
Open Wide Dental - Phoenix,"
6520 N 7th Ave Suite 1, Phoenix, AZ 85013, United States",Central Phoenix,Phoenix,+1 602-806-9999,https://openwidedentalaz.com/?utm_source=GMBListing&utm_medium=Organic,4.9,850,Dentist,Show open hours for the week,https://www.google.com/maps/place/Open+Wide+Dental+-+Phoenix/data=!4m7!3m6!1s0x872b6d326d0bded5:0x5274fa89aafaa268!8m2!3d33.5314903!4d-112.0826326!16s%2Fg%2F1v9gkgmb!19sChIJ1d4LbTJtK4cRaKL6qon6dFI?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:39:33.228041,,,,850,,,0,no,Website timeout
Westwind Dental,"
3806 N 3rd St, Phoenix, AZ 85012, United States",Central Phoenix,Phoenix,+1 602-878-4584,https://www.westwindintegratedhealth.com/?utm_source=downtown-phoenix-listing&utm_medium=gmb&utm_campaign=seo&utm_content=website-link,4.3,402,Dentist,Show open hours for the week,https://www.google.com/maps/place/Westwind+Dental/data=!4m7!3m6!1s0x872b128b6b600cb1:0xacc24649db678efe!8m2!3d33.4914871!4d-112.0696878!16s%2Fg%2F1thgby0z!19sChIJsQxga4sSK4cR_o5n20lGwqw?authuser=0&hl=en&rclk=1,dentist Downtown Phoenix AZ,2026-02-27T16:39:41.881079,,,,402,,,0,no,Website timeout
