name,address,area,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age
"All Children's Dentistry, Pediatric Dental and Orthodontic Specialists","
16688 N Dale Mabry Hwy, Tampa, FL 33618, United States",Core Tampa,Tampa,+1 813-374-9695,https://www.primarytooth.com/,5.0,428,Pediatric dentist,Show open hours for the week,"https://www.google.com/maps/place/All+Children%27s+Dentistry,+Pediatric+Dental+and+Orthodontic+Specialists/data=!4m7!3m6!1s0x88c2bf6f482ea6c7:0xe2debf7e930da19c!8m2!3d28.107655!4d-82.502876!16s%2Fg%2F11c1ljjn2g!19sChIJx6YuSG-_wogRnKENk36_3uI?authuser=0&hl=en&rclk=1",dentist Downtown Tampa FL,2026-03-02T13:29:19.904825,,,,428,28,,7,no,Large team (28 doctors); No social media,1,Leaky Funnel,Group,No reviews,
Great Expressions Dental Centers - Downtown,"
114 N 12th St, Tampa, FL 33602, United States",Core Tampa,Tampa,+1 813-257-9475,https://www.greatexpressions.com/dental-offices/dentist-in-tampa-florida-n-12th-st/,4.5,537,Dentist,Show open hours for the week,https://www.google.com/maps/place/Great+Expressions+Dental+Centers+-+Downtown/data=!4m7!3m6!1s0x88c2c461fe1b0d83:0x807067110789bf6c!8m2!3d27.9477656!4d-82.4468489!16s%2Fg%2F1tc_096y!19sChIJgw0b_mHEwogRbL-JBxFncIA?authuser=0&hl=en&rclk=1,dentist Downtown Tampa FL,2026-03-02T13:29:28.219318,,,,537,,,5,no,No social media,1a,Leaky Funnel - No Booking,Group,Fresh,14d ago
Smile Design Downtown,"
101 N Franklin St UNIT E, Tampa, FL 33602, United States",Core Tampa,Tampa,+1 813-331-6934,https://thesmiledesigndowntown.com/,4.4,452,Dentist,Show open hours for the week,https://www.google.com/maps/place/Smile+Design+Downtown/data=!4m7!3m6!1s0x88c2c48c6601a5ed:0x5a6433b1482cecf0!8m2!3d27.9455636!4d-82.4566892!16s%2Fg%2F11gzr0t7w!19sChIJ7aUBZozEwogR8OwsSLEzZFo?authuser=0&hl=en&rclk=1,dentist Downtown Tampa FL,2026-03-02T13:29:39.409504,https://facebook.com/587714561375944,https://instagram.com/smiledesigndowntown,,452,2,,9,yes,Has online booking,1,Leaky Funnel,Group,Fresh,7d ago
"Ferrara Dental, PLLC","
201 E Kennedy Blvd Suite 1425 14th Floor, Tampa, FL 33602, United States",Core Tampa,Tampa,+1 813-229-8090,http://www.ferraradentaltampa.com/,4.8,359,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Ferrara+Dental,+PLLC/data=!4m7!3m6!1s0x88c2c48bf0fbc8a7:0x6bd81984e1f53af8!8m2!3d27.9471326!4d-82.4581648!16s%2Fg%2F1vxvjn44!19sChIJp8j78IvEwogR-Dr14YQZ2Gs?authuser=0&hl=en&rclk=1",dentist Downtown Tampa FL,2026-03-02T13:29:46.676278,https://www.facebook.com/ferraradentaltampa,https://www.instagram.com/ferrara.dental,,359,6,,7,yes,Has online booking; Large team (6 doctors); No SSL,1,Leaky Funnel,Group,Fresh,30d ago
Jackson Dental,"
101 E Kennedy Blvd #300, Tampa, FL 33602, United States",Core Tampa,Tampa,+1 813-701-3141,https://www.jacksondentaltampa.com/,4.9,1377,Dentist,Show open hours for the week,https://www.google.com/maps/place/Jackson+Dental/data=!4m7!3m6!1s0x88c2c489558a1a0d:0x80821f43aaad6f16!8m2!3d27.9468568!4d-82.4590997!16s%2Fg%2F1jkxmm4j5!19sChIJDRqKVYnEwogRFm-tqkMfgoA?authuser=0&hl=en&rclk=1,dentist Downtown Tampa FL,2026-03-02T13:29:55.993883,https://www.facebook.com/JacksonDentalTampa,http://instagram.com/JacksonDental,,1377,10,,9,yes,Has online booking; Large team (10 doctors),1,Leaky Funnel,Group,Fresh,30d ago
Gassler Dental,"
507 E Jackson St, Tampa, FL 33602, United States",Core Tampa,Tampa,+1 813-774-6876,https://gasslerdentaltampa.com/,4.8,117,Dentist,Show open hours for the week,https://www.google.com/maps/place/Gassler+Dental/data=!4m7!3m6!1s0x88c2c48b6c29aff3:0xd223ace7c0edfd50!8m2!3d27.9474599!4d-82.4552809!16s%2Fg%2F1tx_746h!19sChIJ868pbIvEwogRUP3twOesI9I?authuser=0&hl=en&rclk=1,dentist Downtown Tampa FL,2026-03-02T13:30:06.102748,https://www.facebook.com/Gassler-Dental-2509227759216255,,,117,1,,9,no,Single practitioner; Facebook only,1,Leaky Funnel,Solo,Fresh,30d ago
South Tampa Dentistry,"
3308 S Dale Mabry Hwy, Tampa, FL 33629, United States",Core Tampa,Tampa,+1 813-835-0090,http://southtampadentistry.com/,4.9,4123,Dentist,Show open hours for the week,https://www.google.com/maps/place/South+Tampa+Dentistry/data=!4m7!3m6!1s0x88c2c33190060703:0x56040e2a9988211a!8m2!3d27.9151115!4d-82.5056779!16s%2Fg%2F1tf2yl76!19sChIJAwcGkDHDwogRGiGImSoOBFY?authuser=0&hl=en&rclk=1,dentist South Tampa FL,2026-03-02T13:32:51.218890,https://facebook.com/368796893201829,https://www.instagram.com/southtampadentistry,,4123,5,,8,yes,Has online booking; No SSL,1,Leaky Funnel,Group,Fresh,30d ago
South Tampa Smiles,"
4315 Henderson Blvd, Tampa, FL 33629, United States",Core Tampa,Tampa,+1 863-209-7744,https://www.southtampasmiles.com/?utm_campaign=gmb,4.9,2237,Dentist,Show open hours for the week,https://www.google.com/maps/place/South+Tampa+Smiles/data=!4m7!3m6!1s0x88c2c323b0e5cea3:0x11fdac87de351381!8m2!3d27.924579!4d-82.5168702!16s%2Fg%2F1tjrqrw1!19sChIJo87lsCPDwogRgRM13oes_RE?authuser=0&hl=en&rclk=1,dentist South Tampa FL,2026-03-02T13:33:14.129479,https://www.facebook.com/SouthTampaSmiles,,,2237,28,,8,no,Large team (28 doctors); Facebook only,1,Leaky Funnel,Group,Fresh,7d ago
General and Cosmetic Dentistry of South Tampa,"
3112 W Kennedy Blvd Suite A, Tampa, FL 33609, United States",Core Tampa,Tampa,+1 813-874-5869,http://www.tampacosmeticdentist.com/,4.9,315,Dentist,Show open hours for the week,https://www.google.com/maps/place/General+and+Cosmetic+Dentistry+of+South+Tampa/data=!4m7!3m6!1s0x88c2c3725c4131d1:0x42d13559263afd93!8m2!3d27.944552!4d-82.4937767!16s%2Fg%2F1tcwxhrn!19sChIJ0TFBXHLDwogRk_06Jlk10UI?authuser=0&hl=en&rclk=1,dentist South Tampa FL,2026-03-02T13:33:36.149645,https://www.facebook.com/tr,https://www.instagram.com/drdieztampadentist,,315,5,,8,yes,Has online booking; No SSL,1,Leaky Funnel,Group,Fresh,30d ago
Tampa Smile Co. - South Tampa,"
3404 S Dale Mabry Hwy, Tampa, FL 33629, United States",Core Tampa,Tampa,+1 813-837-2380,https://tampasmileco.com/south-tampa/,4.9,1787,Dentist,Show open hours for the week,https://www.google.com/maps/place/Tampa+Smile+Co.+-+South+Tampa/data=!4m7!3m6!1s0x88c2c394aba651ef:0x120d69a61a1fc5b!8m2!3d27.9127054!4d-82.5058!16s%2Fg%2F11n_ynqz1f!19sChIJ71Gmq5TDwogRW_yhYZrWIAE?authuser=0&hl=en&rclk=1,dentist South Tampa FL,2026-03-02T13:33:53.120792,https://www.facebook.com/p/Tampa-Smile-Co-61568499699253,https://www.instagram.com/tampasmileco,,1787,13,,10,yes,Has online booking; Large team (13 doctors); Has online booking,1,Leaky Funnel,Group,Fresh,30d ago
South Tampa Dental Studio,"
4306 W Kensington Ave, Tampa, FL 33629, United States",Core Tampa,Tampa,+1 813-356-0555,https://southtampadentalstudio.com/,4.9,148,Dentist,Show open hours for the week,https://www.google.com/maps/place/South+Tampa+Dental+Studio/data=!4m7!3m6!1s0x88c2c32a957daaab:0xcf0f2e8694ff90af!8m2!3d27.9105697!4d-82.5173748!16s%2Fg%2F11cr_4gx77!19sChIJq6p9lSrDwogRr5D_lIYuD88?authuser=0&hl=en&rclk=1,dentist South Tampa FL,2026-03-02T13:34:16.395755,https://www.facebook.com/southtampadental,https://www.instagram.com/southtampadental,,148,7,,9,yes,Has online booking; Large team (7 doctors),1,Leaky Funnel,Group,Fresh,150d ago
