city_name,name,address,borough,city,phone,website,rating,review_count,categories,hours,google_maps_url,search_term,scraped_at,facebook_url,instagram_url,tiktok_url,google_review_count,doctor_count,staff_count,site_score,has_online_booking,comments,segment,segment_name,practice_type,review_recency,latest_review_age
NYC,The Midtown Dentist,"
20 E 46th St #1300, New York, NY 10017, United States",Manhattan,New York,,,4.8,59,Dentist,Show open hours for the week,https://www.google.com/maps/place/The+Midtown+Dentist/data=!4m7!3m6!1s0x89c25901c2943e61:0xd93460e5c71f4166!8m2!3d40.755406!4d-73.9780062!16s%2Fg%2F1tdq210f!19sChIJYT6UwgFZwokRZkEfx-VgNNk?authuser=0&hl=en&rclk=1,dentist Midtown Manhattan New York,2026-02-25T17:14:41.504145,,,,59,,,0,,No website,4b,Invisible Good - High Reviews,Unknown,Stale,5yr ago
NYC,Dentist Upper East Side NYC,"
101 E 79th St, New York, NY 10075, United States",Manhattan,New York,+1 212-535-1201,,4.7,111,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dentist+Upper+East+Side+NYC/data=!4m7!3m6!1s0x89c259fc2c215b2d:0x53ee109e3c7e85b7!8m2!3d40.7757433!4d-73.9600821!16s%2Fg%2F11hy_zkl5r!19sChIJLVshLPxZwokRt4V-PJ4Q7lM?authuser=0&hl=en&rclk=1,dentist Upper East Side Manhattan New York,2026-02-25T17:22:08.725331,,,,111,,,0,,No website,4b,Invisible Good - High Reviews,Unknown,Fresh,30d ago
NYC,Dental Avenue - E Harlem,"
1667 Lexington Ave, New York, NY 10029, United States",Manhattan,New York,+1 212-289-4131,,4.9,320,Dentist,Show open hours for the week,https://www.google.com/maps/place/Dental+Avenue+-+E+Harlem/data=!4m7!3m6!1s0x89c2f705608cc30f:0x2acacd9ea7a2fc4f!8m2!3d40.7912902!4d-73.9467396!16s%2Fg%2F11h5_snd_r!19sChIJD8OMYAX3wokRT_yip57Nyio?authuser=0&hl=en&rclk=1,dentist Upper East Side Manhattan New York,2026-02-25T17:29:20.195147,,,,320,,,0,,No website,4b,Invisible Good - High Reviews,Unknown,Fresh,120d ago
NYC,Mansoor Lyris DDS,"
125 E 64th St Ofc 1, New York, NY 10065, United States",Manhattan,New York,+1 212-486-2233,,4.9,103,Dentist,Show open hours for the week,https://www.google.com/maps/place/Mansoor+Lyris+DDS/data=!4m7!3m6!1s0x89c258ef74b77e1d:0xf6e4abb2079e3c32!8m2!3d40.7658061!4d-73.9664431!16s%2Fg%2F1tht2c8w!19sChIJHX63dO9YwokRMjyeB7Kr5PY?authuser=0&hl=en&rclk=1,dentist Upper East Side Manhattan New York,2026-02-25T17:29:27.965304,,,,103,,,0,,No website,4b,Invisible Good - High Reviews,Solo,Fresh,14d ago
NYC,Manhattan Dental Concepts,"
923 5th Ave, New York, NY 10021, United States",Manhattan,New York,+1 212-935-1220,,5.0,56,Medical clinic,,https://www.google.com/maps/place/Manhattan+Dental+Concepts/data=!4m7!3m6!1s0x89c258e8e18f1819:0xc32485402376535!8m2!3d40.7731887!4d-73.9660641!16s%2Fg%2F11g81x6v2n!19sChIJGRiP4ehYwokRNWU3AlRIMgw?authuser=0&hl=en&rclk=1,dentist Upper East Side Manhattan New York,2026-02-25T17:29:34.134178,,,,56,,,0,,No website,4b,Invisible Good - High Reviews,Unknown,Fresh,150d ago
NYC,"Dr. Michael S. Seiden, DDS","
301 E 87th St Suite 1E, New York, NY 10128, United States",Manhattan,New York,+1 212-289-4087,,5.0,11,Dentist,Show open hours for the week,"https://www.google.com/maps/place/Dr.+Michael+S.+Seiden,+DDS/data=!4m7!3m6!1s0x89c258bb1b9eec69:0x43fde7357b39c84a!8m2!3d40.778589!4d-73.950792!16s%2Fg%2F1tdz5r1h!19sChIJaeyeG7tYwokRSsg5ezXn_UM?authuser=0&hl=en&rclk=1",dentist Upper East Side Manhattan New York,2026-02-25T17:30:33.347510,,,,11,,,0,,No website,4b,Invisible Good - High Reviews,Solo,Stale,6yr ago
NYC,Ariella Kepecs DDS,"
1317 3rd Ave, New York, NY 10021, United States",Manhattan,New York,+1 212-348-5492,,5.0,5,Dentist,Show open hours for the week,https://www.google.com/maps/place/Ariella+Kepecs+DDS/data=!4m7!3m6!1s0x89c259cb712525ad:0xd409fd14edcce7fc!8m2!3d40.7718654!4d-73.9586489!16s%2Fg%2F11kq7wyrwl!19sChIJrSUlcctZwokR_OfM7RT9CdQ?authuser=0&hl=en&rclk=1,dentist Upper East Side Manhattan New York,2026-02-25T17:31:41.752489,,,,5,,,0,,No website,4a,Invisible Good - Some Reviews,Solo,Recent,12mo ago
NYC,Papadakis & Gonzalez DDS,"
47 E 77th St #216, New York, NY 10075, United States",Manhattan,New York,+1 212-689-7199,,4.2,55,Dentist,Show open hours for the week,https://www.google.com/maps/place/Papadakis+%26+Gonzalez+DDS/data=!4m7!3m6!1s0x89c25894518f82bb:0xb1a3ab64ef9402ed!8m2!3d40.7751388!4d-73.9626235!16s%2Fg%2F119tt8l_z!19sChIJu4KPUZRYwokR7QKU72Sro7E?authuser=0&hl=en&rclk=1,dentist Upper East Side Manhattan New York,2026-02-25T17:31:46.453745,,,,55,,,0,,No website,4b,Invisible Good - High Reviews,Solo,Recent,7mo ago
NYC,Dr. Robert Eyckmans DDS,"
1931 3rd Ave, New York, NY 10029, United States",Manhattan,New York,+1 212-348-8824,,4.8,26,Dentist,,https://www.google.com/maps/place/Dr.+Robert+Eyckmans+DDS/data=!4m7!3m6!1s0x89c2f603ae72e775:0xf4a6f062f30a8fd8!8m2!3d40.7919315!4d-73.9440769!16s%2Fg%2F1tg7sywk!19sChIJdedyrgP2wokR2I8K82LwpvQ?authuser=0&hl=en&rclk=1,dentist Upper East Side Manhattan New York,2026-02-25T17:32:27.030415,,,,26,,,0,,No website,4b,Invisible Good - High Reviews,Solo,Fresh,7d ago
NYC,Gentle Dental Center,"
693 Columbus Ave, New York, NY 10025, United States",Manhattan,New York,+1 212-663-6800,,4.0,285,Dentist,Show open hours for the week,https://www.google.com/maps/place/Gentle+Dental+Center/data=!4m7!3m6!1s0x89c2589d73fbc6af:0xb5ed94f96c3b4aad!8m2!3d40.7911079!4d-73.9683978!16s%2Fg%2F11b5yrsbc4!19sChIJr8b7c51YwokRrUo7bPmU7bU?authuser=0&hl=en&rclk=1,dentist Upper West Side Manhattan New York,2026-02-25T17:37:33.825408,,,,285,,,0,,No website,4b,Invisible Good - High Reviews,Group,Fresh,60d ago
