Category,Niche,Est_Businesses_US,Avg_Revenue_Range,ARPU_Monthly_Realistic,CAC_Realistic,Annual_Churn,Competition_Density,Market_Maturity,Sales_Complexity,Switching_Cost,Discovery_Difficulty,Integration_Burden,Opportunity_Score,Key_Insight
Construction Trades,HVAC contractors,88000,"$1.2M-$4.5M","$299-$699","$1800-$4500",28%,6,Developing,Medium,Medium,Low,Medium,84,"ServiceTitan dominates but 60% still use QuickBooks. Dispatch/scheduling pain is acute."
Logistics,Local trucking (5-20 trucks),75000,"$2M-$12M","$399-$899","$2500-$6000",32%,5,Early,Medium-High,Low,Medium,High,83,"Rose Rocket targets fleets 20+. Small trucking uses spreadsheets + TMS hate. Compliance pain (ELD, IFTA) is forcing digitization."
Construction Trades,Plumbing contractors,120000,"$900K-$3.5M","$249-$599","$1500-$4000",30%,6,Developing,Medium,Medium,Low,Medium,82,"Jobber, Housecall Pro, ServiceTitan compete but 50%+ still use pen & paper dispatch. High ghosting rate."
B2B Distribution,Wholesalers/distributors (SMB),85000,"$3M-$18M","$399-$1200","$3000-$8000",25%,4,Early,High,High,Medium-High,Very High,81,"NetSuite too expensive. QuickBooks + spreadsheets is the norm. Inventory + order management pain is massive. Long sales cycles but sticky."
Construction Trades,Electrical contractors,95000,"$1M-$4M","$249-$599","$1500-$4000",30%,6,Developing,Medium,Medium,Low,Medium,80,"Same dynamics as HVAC/plumbing. Permitting + inspection tracking is a unique pain point."
Logistics,Warehousing/3PL (regional),28000,"$3M-$15M","$499-$1500","$3500-$9000",27%,5,Developing,High,Medium,High,Very High,79,"ShipBob, Flexport dominate enterprise. Regional 3PLs use Fishbowl or worse. WMS is painful but necessary."
Professional Services,IT Services/MSPs (5-25 employees),110000,"$800K-$6M","$399-$999","$2500-$8000",22%,7,Mature,High,High,Medium,High,77,"ConnectWise, Autotask, Datto PSA own the market. But 40% of small MSPs still use disparate tools. RMM + PSA + documentation gap."
Construction Trades,Roofing contractors,50000,"$1.5M-$8M","$349-$799","$2000-$5000",35%,5,Developing,Medium,Low,Low,Medium,76,"AccuLynx, JobNimbus exist but adoption is weak. Estimating + photo documentation + insurance claims workflow is painful."
Auto Services,Collision/body shops,32000,"$1.5M-$5M","$299-$699","$1800-$4500",24%,6,Mature,Medium,High,Low,High,75,"CCC ONE, Mitchell dominate with insurance integration lock-in. But shops hate them. Estimating software is mandatory evil."
Healthcare,Physical therapy clinics,42000,"$900K-$3.5M","$399-$899","$2500-$7000",26%,8,Mature,High,Very High,Medium,Very High,74,"WebPT, Clinicient, Prompt dominate. HIPAA + insurance billing creates huge switching costs. Hard to break in without clearinghouse partnerships."
Home Services,Commercial janitorial,110000,"$500K-$3M","$199-$499","$1200-$3000",38%,4,Early,Low-Medium,Low,Medium,Low,74,"Janitorial Manager, CleanTelligence exist but penetration is <20%. Workforce management + supply tracking pain. High churn business."
